"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","yearIdentified","monthIdentified","locality","coordinatePrecision","individualCount","occurrenceRemarks","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","minimumElevationInMeters","maximumElevationInMeters","typeStatus","infraspecificEpithet","dayIdentified","class","relatedCatalogItem","fieldNumber","sex"
"1","2021-04-05 14:33:37-03","UNESC","CRI","936","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","B. E. Irgang","Vanilde Citadini-Zanette; A. J. Aguiar","1988","09","26","Brasil","Santa Catarina","Içara","-49.308889","-28.713611","49º18'32''W","28º42'49''S","CRI003805","CRI003805",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-06-10 10:10:34-03","FZB-BH","CVJBFZB","1953","S","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","Leandro L. Giacomin","Juliana Ordones Rego; Albina Carvalho de Oliveira Nogueira, Márcia Bacelar Fonseca, Leandro Lacerda Giacomin, Cláudia Márcia Silva do Carmo","2006","09","16","Brasil","Minas Gerais","Marliéria","-42.7322006225586","-19.7122001647949",NA,NA,NA,NA,"Magnoliophyta","Lamiales","2006","11","Lagoa Dom Helvécio","28215","1","254","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:56-03","E","E","315760","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa",NA,NA,"Harley, Raymond M.","1980","04","16","BR",NA,NA,NA,NA,NA,NA,"E00315760",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00315760 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,"21433","E. Tropical South America","herbarium specimen of unspecif","BGBASE:319543",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","02674787","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"P. da C. Gadelha Neto","2015","04","20","Brazil","Paraíba","Aguiar","-38.107222","-7.034444",NA,NA,"NY02674787","NY02674787_01","Magnoliophyta","Lamiales",NA,NA,"Serra de Santa Catarina",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952524' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"3999","South America","sheet",NA,"291",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01173235","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","E. Lleras","1973","07","13","Brazil","Amazonas",NA,"-64.8792887","-3.4491668",NA,NA,"NY01173235","NY01173235_01","Magnoliophyta","Lamiales",NA,NA,"Lago de Tefé, Manua",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387551' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"P16658","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","3857249","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"J. S. de la Cruz","1921","08","27","Guyana","Pomeroon-Supenaam",NA,NA,NA,NA,NA,"NY03857249",NA,"Magnoliophyta","Lamiales",NA,NA,"Pasahalley Island",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4133942' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"1087","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01173231","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.",NA,"I. L. do Amaral","1982","11","28","Brazil","Amazonas","Alvarães","-64.83","-3.216667",NA,NA,"NY01173231","NY01173231_01","Magnoliophyta","Lamiales",NA,NA,"Rio Solimões, margem direita, igarapé do Anuaã.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387544' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"646","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01173244","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","S. R. Hill","S. R. Hill","1983","07","18","Brazil","Amazonas",NA,"-57.583333","-3.666667",NA,NA,"NY01173244","NY01173244_01","Magnoliophyta","Lamiales",NA,NA,"Rio Urupadí between igarapé Quininha and rio Maués-Açu, São Raimundo.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387575' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"13120","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","500667","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","S. A. Mori","S. A. Mori","2001","05","10","French Guiana",NA,NA,"-52.42267","4.78395",NA,NA,"NY00500667",NA,"Magnoliophyta","Lamiales",NA,NA,"Emerald Jungle Village. Ca. 20 km SW of Cayenne.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=592421' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"25365","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","1145423","PreservedSpecimen","Plantae","Lentibulariaceae","Utricularia","foliosa","Utricularia foliosa","L.","P. G. Taylor","P. J. Edwards","1987","03","06","Brazil","Roraima","Alto Alegre","-61.4975","2.8958",NA,NA,"NY01145423",NA,"Magnoliophyta","Lamiales",NA,NA,"Reserva ecológica de Maracá. Borrow pit linear pond, NW part. Secretária Especial do Meio Ambiente (SEMA) research station.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1317003' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"2474","South America","sheet",NA,"80","80",NA,NA,NA,NA,NA,NA,NA
