"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","geoFlag","class","relatedCatalogItem","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","319004","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.","holotype","L. Riedel","1864","1825","01","South America","Brazil","Serra da Caranca","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417423' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319004","NY00319004_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","319005","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.","isotype","L. Riedel","1464","1825","01","South America","Brazil","Carassa","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=417424' target='other'> <mi>dwc_moreinfo</mi></a>","NY00319005","NY00319005_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-26 18:07:40-03","CPAN-UFMS","COR","13860","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Damasceno Júnior,G.A.;Ferreira,V.L.","1491","1998","06",NA,"Brasil","Estrada da Manga próx. a faz. Bandalta. Bancada Laterítica (Lagedo); Litólico e rico em Fe; Plano - levemente inclinado.",NA,NA,NA,NA,"R. S. Bianchini","03","Mato Grosso do Sul","Ladário","-57.6016998291016","-19.0046997070312","23141","150","150","auto",NA,NA,NA,NA,NA,NA,NA
"4","2020-11-26 18:07:40-03","CPAN-UFMS","COR","13612","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Damasceno Júnior,G.A.","1680","1998","10",NA,"Brasil","Fazenda Bandalta. Bancada Laterítica (Lajedo); rico em minério de ferro; Plano.",NA,"Com Flor: lilás",NA,NA,"R. S. Bianchini","01","Mato Grosso do Sul","Ladário","-57.6016998291016","-19.0046997070312","23141",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:34:08-03","NBC","NL-BOTANY","U 0003134","PreservedSpecimen","Plantae",NA,"Solanales","Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.","isotype","Riedel L",NA,NA,NA,"Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200003134 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0003134","NL-U0003134","Ooststroom SJ van",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","14391 A",NA,NA,NA,NA,NA
"6","2021-03-01 16:28:37-03","UNICAMP","UEC","55548","S","Plantae","Magnoliopsida",NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Meira Neto, JAA; Martins, E; Siqueira, MF","681","1990","10",NA,"Brazil","Estado Ecológico de Santa Bábara.",NA,"Flores liláses, erva no campo sujo.; Cerrado.","UEC094969","UEC094969","Simão-Bianchini, R","09","São Paulo","Águas de Santa Bárbara","-49.238899230957","-22.8805999755859","18363",NA,NA,"auto",NA,NA,"1997","05","14",NA,NA
"7","2019-11-05 16:46:47-03","UFOP","OUPR","32359","PreservedSpecimen","Plantae",NA,NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Pedrosa, L.G.","1002","2018","11",NA,"Brasil","Lavras Novas",NA,"Erva, ca. 15cm. Flores azuladas. Cerrado rupestre.",NA,NA,"Simão-Bianchini, R.","08","Minas Gerais","Ouro Preto","-43.5080986022949","-20.2875003814697","44599",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA
"8","2015-09-04 12:47:58-03","MNHN","RECOLNAT_MNHN_P","P03546827","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Hassler, E.",NA,"1901",NA,NA,"Paraguay","Iter ad Paraguariam septentrionalem : In regione cursus superioris fluminis Apa","hb","Reçu le 8 janvier 1903 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03546827' target='other'> <mi>dwc_moreinfo</mi></a>","P03546827","P03546827_01 P03546827_02","Simao-Bianchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7936",NA
"9","2015-09-04 12:49:40-03","MNHN","RECOLNAT_MNHN_P","P03545669","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Weddell, H.A.",NA,"1844","1",NA,"Brasil","Brésil. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545669' target='other'> <mi>dwc_moreinfo</mi></a>","P03545669","P03545669_01",NA,"1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2015-09-04 12:49:40-03","MNHN","RECOLNAT_MNHN_P","P03545670","PreservedSpecimen",NA,NA,NA,"Convolvulaceae","Evolvulus","chrysotrichos","Evolvulus chrysotrichos","Meisn.",NA,"Balansa, B.",NA,NA,NA,NA,"Paraguai",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03545670' target='other'> <mi>dwc_moreinfo</mi></a>","P03545670","P03545670_01",NA,NA,NA,NA,"-57.10132","-26.17403",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1173",NA
