"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","individualCount","fieldNumber","minimumDepthInMeters","maximumDepthInMeters"
"1","2021-04-05 14:33:32-03","UNESC","CRI","3433","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","Vanilde Citadini-Zanette & M. Sobral","1995","01","01","Robson dos Santos","180","1994","11","13","Brasil","Rio Grande do Sul","Cambará do Sul","Aparados da Serra. Itaimbezinho","-50.144167","-29.047778","50º8'39''W","29º2'52''S","1019","1019","Com flores amarelas. Habito: Arbustivo","CRI012939","CRI012939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:25:20-03","UNESC","CRI","4077","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","M. Sobral","1997","04","24","Valdemar Boff","109","1995","09","07","Brasil","Santa Catarina","São Joaquim",NA,"-49.931944","-28.294444","49º55'55''W","28º17'40''S",NA,NA,"Habitat: margem da estrada Habito: árvore","CRI003173","CRI003173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:20-03","UNESC","CRI","6235","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","Vanilde Citadini- Zanette",NA,NA,NA,"Átila Portal",NA,"1997","01","07","Brasil","Santa Catarina","Praia Grande","Borda Canyon Malacara.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,NA,"Habito: arbusto","CRI003171","CRI003171",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:20-03","UNESC","CRI","2661","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","A. Burkart",NA,NA,NA,"Reitz; Klein","15736","1963","07","14","Brasil","Santa Catarina","Lages",NA,"-50.326389","-27.816389","50º19'35''W","27º48'59''S","900","900",NA,"CRI003172","CRI003172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01055239","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","R. C. Barneby",NA,NA,NA,"L. Scur","174","1999","11","18","Brazil","Rio Grande do Sul","Caxias do Sul",NA,"-51.1792","-29.1683",NA,NA,"780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1180482' target='other'> <mi>dwc_moreinfo</mi></a>","NY01055239","NY01055239_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","623508","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","J. C. Lindeman",NA,NA,NA,"J. C. Lindeman","2442",NA,NA,NA,"Brazil","Paraná","Curitiba",NA,"-49.2731","-25.4281",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623508","NY00623508_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","02679252","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"M. Kuhlmann","2508","1950","06","12","Brazil","São Paulo",NA,"Cultivada na Fazenda do Charco, Serra da Mantiqueira",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2945750' target='other'> <mi>dwc_moreinfo</mi></a>","NY02679252","NY02679252_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","623507","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.","R. C. Barneby",NA,NA,NA,"M. P. Lemos","9443","1993","09","08","Brazil","Rio Grande do Sul","Caxias do Sul","JBCS.","-51.1792","-29.1683",NA,NA,"750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=80512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00623507","NY00623507_01","Magnoliophyta","Fabales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-02-18 09:29:52-03","UNESP-IBB","BOTU","17408","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Amaral Jr., A.",NA,"1982",NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,"9999","9999",NA,NA,NA,"BOTU017408",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-02-08 11:08:59-03","UNESP-IBB","BOTU","12891","PreservedSpecimen","Plantae","Fabaceae","Ulex","europaeus","Ulex europaeus","L.",NA,NA,NA,NA,"Amaral Jr., A.","74","1985","05","18","Brasil","São Paulo","Campos do Jordão",NA,"-45.5","-22.75","45°30'w","22°45's",NA,NA,"Arbusto de até 2 m de altura, flor amarela","BOTU012891",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
