"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","dayIdentified","individualCount","class"
"1","2021-03-15 16:37:00-03","NY","NYBG","02012804","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","M. Reginato","1345","2012","02","16","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras","-44.658333","-22.384444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500278' target='other'> <mi>dwc_moreinfo</mi></a>","NY02012804","NY02012804_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","520801","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","P. Occhioni","7038","1975","03","14","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Estrada para o planalto, km. 14, prox. a Maceiras","-44.5631","-22.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535687' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520801","NY00520801_01","J. J. Wurdack",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01874738","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","A. Q. Lobão","1833","2012","01","12","South America","Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia, Parte alta, estrada que leva à guarita do parque.","-44.70689","-22.37286","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2704330' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874738","NY01874738_01","M. Reginato; F. A. Michelangeli","2000","2300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","520802","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","A. C. Brade","17529","1945","02","26","South America","Brazil","Rio de Janeiro",NA,"Rio de Janeiro - Itatiaia Km. 15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535686' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520802","NY00520802_01","A. C. Brade","1850","1850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","520804","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","A. Löfgren","4754","1896","12","27","South America","Brazil","São Paulo",NA,"S. Fr. dos Campos, Sao Paulo",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535688' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520804","NY00520804_01","F. C. Hoehne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01874451","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","M. Reginato","1447","2013","02","10","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras","-44.62903","-22.385714","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085258' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874451","NY01874451_01","M. Reginato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01874827","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","M. Reginato","1345","2012","02","16","South America","Brazil","Rio de Janeiro","Itatiaia","P.N. do Itatiaia, Agulhas Negras","-44.658333","-22.384444","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2085156' target='other'> <mi>dwc_moreinfo</mi></a>","NY01874827","NY01874827_01","M. Reginato",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","520803","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","L. B. Smith","1766","1929","01","09","South America","Brazil","Rio de Janeiro","Itatiaia","Vicinity of Macieiras, Mt. Itatiaya, Estaçao Biologica","-44.67","-22.43","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=535689' target='other'> <mi>dwc_moreinfo</mi></a>","NY00520803","NY00520803_01","J. J. Wurdack","1960","1960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-13 09:20:16-03","UFRJ","RFA","23155","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","F. Segadas-Vianna",NA,"1945","03","06",NA,"Brasil","Rio de Janeiro","Itatiaia","Macieiras","-44.5633010864258","-22.4960994720459",NA,NA,"RFA18888",NA,"J.J. Wurdack",NA,NA,"1959","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2013-07-03 11:13:29-03","EBDA","BAH","10","S","Plantae",NA,NA,"Melastomataceae","Leandra","vesiculosa","Leandra vesiculosa","Cogn.","Campos Porto","2750","1935","11","01",NA,"Brasil","Rio de Janeiro","Itatiaia","Rio Dauro.","-44.5633","-22.4961",NA,"Arbusto grande, flores alvas.",NA,NA,"Markgraf",NA,NA,"1935","19648","auto",NA,NA,NA,NA,NA,NA,NA,NA
