"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","recordNumber","year","month","stateProvince","county","locality","decimalLongitude","decimalLatitude","imagecode","day","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2020-09-23 10:36:02-03","E","E","192000","PreservedSpecimen","Plantae","Anemiaceae","Anemia","caudata","Anemia caudata","Day, J.","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:198008","<a href=http://data.rbge.org.uk/herb/E00192000 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00192000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","2514504","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","J. N. Rose","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806817' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514504","Pteridophyta","Schizaeales","J.Sm.","21255","1915","07","Rio de Janeiro","Rio de Janeiro","On Corcovado.","-43.212076","-22.951842","NY02514504_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","2514506","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","J. N. Rose","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806819' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514506","Pteridophyta","Schizaeales","J.Sm.","21249","1915","07","Rio de Janeiro",NA,"On Corcovado.","-43.212076","-22.951842","NY02514506_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","2514507","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","J. N. Rose","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806820' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514507","Pteridophyta","Schizaeales","J.Sm.","20784","1915","08","Rio de Janeiro",NA,"Organ Mountains.","-43.073169","-22.496706","NY02514507_01","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","2514499","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","B. D. Sucre","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806812' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514499","Pteridophyta","Schizaeales","J.Sm.","2296","1968","02","Rio de Janeiro","Rio de Janeiro","Alto da Boa Vista, propriedade do Sr. Frans Ikem.","-43.251886","-22.960856","NY02514499_01","04",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","2514508","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","W. A. Murrill","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806821' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514508","Pteridophyta","Schizaeales","J.Sm.","s.n.","1924","02","Rio de Janeiro","Rio de Janeiro","Corcovado Mountain.","-43.211815","-22.952661","NY02514508_01",NA,"457","457",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","2514498","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","Almeida","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806811' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514498","Pteridophyta","Schizaeales","J.Sm.",NA,"1919","05","Rio de Janeiro",NA,"Três Irmãos.",NA,NA,"NY02514498_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","2514501","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","L. Hartt","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806814' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514501","Pteridophyta","Schizaeales","J.Sm.","s.n.",NA,NA,NA,NA,NA,NA,NA,"NY02514501_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","02514497","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806808' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514497","Pteridophyta","Schizaeales","J.Sm.",NA,NA,NA,"Rio de Janeiro",NA,NA,NA,NA,"NY02514497_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","2514505","PreservedSpecimen","Plantae","Anemiaceae","Anemia","blechnoides","Anemia blechnoides","P. von Luetzelburg","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2806818' target='other'> <mi>dwc_moreinfo</mi></a>","NY02514505","Pteridophyta","Schizaeales","J.Sm.","135","1910",NA,"Rio de Janeiro",NA,"Serra dos Órgãos, Gruta Paulo Emílio.",NA,NA,"NY02514505_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
