"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","class","order","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","preparationType"
"1","2019-12-12 15:31:47-03","UFABC","HUFABC","000975","PreservedSpecimen","Plantae","Angiospermas","Orchidaceae","Christensonella","ferdinandiana","Christensonella ferdinandiana","(Barb.Rodr.) Szlach., Mytnik, Górniak & Smiszek","Bicalho, H D","s.n.","1962","03","22","Brasil","Minas Gerais","Camanducaia","arredores da Vila Monte Verde","-46.1446990966797","-22.7553005218506","22140","Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação Ibt1487, coletada em 2018 por Moraes, A. P.","HUFABC000975","HUFABC000975","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2019-12-12 15:31:47-03","UFABC","HUFABC","001162","PreservedSpecimen","Plantae","Angiospermas","Orchidaceae","Christensonella","ferdinandiana","Christensonella ferdinandiana","(Barb.Rodr.) Szlach., Mytnik, Górniak & Smiszek","Bicalho, H D","s.n.","1965","07","19","Brasil","Minas Gerais","Santana do Riacho","Serra do Cipó","-43.7144012451172","-19.1688995361328","26557","Planta em cultivo na Coleção do Orquidário Frederico Hoehne do Instituto de Botânica de São Paulo sob o número de identificação IbtP5056","HUFABC001162","HUFABC001162","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:41:08-03","MN","R","201032","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","Spannagel, C.","106","1928","08","27","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Koehler, S.","2007","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:41:08-03","MN","R","36497","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","Rosa, M.",NA,"1943","08",NA,"Brasil","Espírito Santo",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Koehler, S.","2007","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:41:08-03","MN","R","24814","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","Brade, A.C.","9408","1929","09","24","Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539",NA,NA,NA,"auto","Koehler, S.","2007","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-31 13:41:08-03","MN","R","86496","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","Vidal, J.","II - 4780","1952","11",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344","38539",NA,NA,NA,"auto","Pabst, G.F.J.","1962",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-31 13:41:08-03","MN","R","35792","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","Sampaio, A.J.","4540",NA,NA,NA,"Brasil","São Paulo","Amparo","Três Pontes","-46.7599983215332","-22.7000007629395","18036",NA,NA,NA,"auto","Koehler, S.","2007","01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2019-08-27 13:26:35-03","IAP","PACA-AGP","2743","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","C. Orth SJ",NA,"1936","12","05","Brasil","RS","São Leopoldo","Portão","-51.1472015380859","-29.7602996826172","10287","Habitat: In silva campestri, epiphytica Fenofase: flor","PACA002743",NA,"auto","Pabst","1956","02","Liliatae","Orchidales","19",NA,NA,NA,NA,NA,NA,NA
"9","2019-08-27 13:26:35-03","IAP","PACA-AGP","71115","PreservedSpecimen","Plantae","Magnoliophyta","Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb. Rodr.","V. F. Nunes et al.","1223","1990","12","09","Brasil","RS","Sapiranga","Recanto da Cascata, Picada Verão","-51.0069007873535","-29.6380996704102","11711","Planta pendente, flores castanhas. Habitat: Epífita, higrófita, ombrófita ou luz difusa","PACA071115",NA,"auto","V. F. Nunes","1990","12","Liliatae","Orchidales","09",NA,NA,NA,NA,NA,NA,NA
"10","2020-12-20 21:18:46-03","UFV","VIC","005162","PreservedSpecimen","Plantae",NA,"Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb.Rodr.","Shimoya, C.","s.n.","1954","11","29","Brasil","Minas Gerais","Viçosa","Esa-Ripado do jardim Botânico","-42.8819007873535","-20.7539005279541","13937","Cultivada em vaso com xaxim.","VIC005162","VIC005162","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","2016-07-05 11:14:16-03","FFCLRP","LBMBP","280","S","Plantae",NA,"Orchidaceae","Christensonella","ferdinandiana","Christensonella ferdinandiana","(Barb. Rodr.) Szlach., Mytnik, Górniak & Smiszek","E.R. Pansarin",NA,NA,NA,NA,"Brasil","São Paulo","Jundiaí",NA,"-46.883333","-23.183333",NA,NA,NA,NA,NA,"E.R. Pansarin",NA,NA,NA,NA,NA,"46°53'W","23°11'S",NA,NA,NA,NA,NA
"12","2019-08-20 10:00:37-03","UNICAMP","UEC","153151","S","Plantae","Liliopsida","Orchidaceae","Christensonella","ferdinandiana","Christensonella ferdinandiana","(Barb.Rodr.) Szlach., Mytnik, Górniak & Smiszek","Mayer, JLM","3","2008",NA,NA,"Brazil","São Paulo",NA,NA,NA,NA,NA,NA,"UEC064602","UEC064602",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-08-20 10:00:54-03","UNICAMP","UEC","29751","S","Plantae","Liliopsida","Orchidaceae","Maxillaria","ferdinandiana","Maxillaria ferdinandiana","Barb.Rodr.","Tamashiro, JY; Martins, FR","1657-A",NA,NA,NA,"Brazil","Minas Gerais","Poços de Caldas","Mata da Colina","-46.564722","-21.838889",NA,"Epífita. Cultivada no IBt., florescem 27/10/1981. Pétalas e sépalas amareladas, labelo vinoso.","UEC034181","UEC034181",NA,"Koehler, S","2007","01",NA,NA,NA,"-46.564722","-21.838889",NA,NA,NA,NA,NA
