"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","scientificNameAuthorship","continentOcean","preparationType","occurrenceRemarks","typeStatus","coordinatePrecision","geoFlag","yearIdentified","class","monthIdentified","dayIdentified","relationshipType","relatedCatalogItem","individualCount","fieldNumber","sex"
"1","2021-04-05 14:25:32-03","UNESC","CRI","9167","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","Daniel B. Falkenberg","Daniel B. Falkenberg","6254","1993","10","09","Brasil","Santa Catarina","Ilhota","Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S","820","820","CRI004324","CRI004324",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","1016804","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","G. G. Hatschbach","E. Barbosa","525","2000","10","04","Brazil","Paraná","Tijucas do Sul","Palermo.","-49.1989","-25.9283",NA,NA,NA,NA,"NY01016804","NY01016804_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1193405' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","685436","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","R. Goldenberg","R. Goldenberg","802","2005","10","24","Brazil","Paraná","Campina Grande do Sul","Subida para o Pico Paraná","-49.0553","-25.3058",NA,NA,"1480","1480","NY00685436","NY00685436_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=894866' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","229225","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii",NA,"L. B. Smith","7878","1956","11","23","Brazil","Santa Catarina",NA,"Mun. Bom Retiro: Pinheiral, Riozinho",NA,NA,NA,NA,"1000","1000","NY00229225","NY00229225_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487377' target='other'> <mi>dwc_moreinfo</mi></a>","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","521845","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","R. Goldenberg","F. C. Hoehne","4708","1920","12","23","Brazil","São Paulo","Ribeirao Pires","Alto da Serra. Arb. Matta da Estaçao Biologica","-46.4097","-23.71",NA,NA,NA,NA,"NY00521845","NY00521845_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487376' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","521676","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","M. K. Caddah","G. G. Hatschbach","13132","1965","11","11","Brazil","Paraná","Sao José dos Pinhais","Barro Branco","-49.2064","-25.5347",NA,NA,NA,NA,"NY00521676","NY00521676_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=610156' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","521847","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","J. J. Wurdack","G. G. Hatschbach","6582","1959","11","22","Brazil","Paraná","Guaratuba","Serra de Araçtuba","-48.5744","-25.8831",NA,NA,"1100","1100","NY00521847","NY00521847_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487374' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","1795757","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii",NA,"R. Goldenberg","1496","2011","01","22","Brazil","Minas Gerais","Santa Bárbara","Caraçal Trilha para a Bocaina","-43.4152984619141","-19.959400177002",NA,NA,NA,NA,"NY01795757","NY01795757_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2024121' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"33136","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","521844","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","R. Goldenberg","B. Maguire","44559","1959","12","06","Brazil","São Paulo","Sao Paulo","Biological Station (Sao Paulo) at Paranapiacaba","-46.3","-23.75",NA,NA,"792","853","NY00521844","NY00521844_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487375' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","521846","PreservedSpecimen","Plantae","Melastomataceae","Miconia","lymanii","Miconia lymanii","J. J. Wurdack","R. Reitz","8994","1959","08","21","Brazil","Santa Catarina","Blumenau","Morro Spitzkopf","-49.132229","-27.025081",NA,NA,"950","950","NY00521846","NY00521846_01","Magnoliophyta","Myrtales","Wurdack","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=487373' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
