"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","class","minimumElevationInMeters","maximumElevationInMeters","individualCount","fieldNumber","verbatimLongitude","verbatimLatitude"
"1","2021-03-15 16:37:00-03","NY","NYBG","867579","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.","T. D. Pennington","C. A. Cid Ferreira","10887","1992","03","21","South America","Brazil","Acre","Porto Walter","Upper Rio Juruá, left bank, Igarapé Viseu","-72.73","-8.3","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=17229' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867579","NY00867579_01",NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","867580","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.","T. D. Pennington","C. A. Cid Ferreira","10887","1992","03","21","South America","Brazil","Acre","Porto Walter","Upper Rio Juruá, left bank, Igarapé Viseu","-72.73","-8.3","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=992993' target='other'> <mi>dwc_moreinfo</mi></a>","NY00867580",NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01174605","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","24021A",NA,NA,NA,"South America","Brazil","Amazonas",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392263' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174605","NY01174605_01",NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01174606","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.","T. D. Pennington","R. de Lemos Fróes","293",NA,NA,NA,"South America","Brazil","Amazonas","São Paulo de Olivença","Basin of Rio Solimoes. Rio Tonantins.","-68.1439233","-2.7150365","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1392265' target='other'> <mi>dwc_moreinfo</mi></a>","NY01174606","NY01174606_01 NY01174606_02 NY01174606_03 NY01174606_04",NA,NA,NA,NA,NA,NA,NA
"5","2020-02-08 09:03:58-03","NBC","NL-BOTANY","L.4161541","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.",NA,"Bèrgeron S; Román I",NA,NA,NA,NA,"Southern America","Colombia",NA,NA,"N. Witoto: Jipicona. Caqueta, rio Caqueta, Araracuara camino de cazeria. terraza antigua.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4161541 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4161541","NL-L4161541","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"6","2020-02-08 09:03:58-03","NBC","NL-BOTANY","L.4222028","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.",NA,"Pennington TD; Ruiz J; Grandes C; Vásquez Chávez R",NA,"1989","07","08","Southern America","Peru",NA,NA,"Loreto, Iquitos, Puerto Almendras. SW0373.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.4222028 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L4222028","NL-L4222028","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"7","2020-02-08 09:03:58-03","NBC","NL-BOTANY","U.1592450","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.",NA,"Pennington TD; Ruiz J",NA,"1989","02","22","Southern America","Peru",NA,NA,"Loreto, Rd. Iquitos-Nauta km 25 Allpahuayo. SW 0373 Streamside, mixed forest on non-flooded land.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592450 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592450","NL-U1592450","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"8","2020-02-08 09:03:58-03","NBC","NL-BOTANY","U.1592451","PreservedSpecimen","Plantae",NA,"Ericales","Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D.Penn.",NA,"Pennington TD; Ruiz J",NA,"1989","02","22","Southern America","Peru",NA,NA,"Loreto, Rd. Iquitos-Nauta km 25 Allpahuayo. SW 0373 Streamside, mixed forest on non-flooded land.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1592451 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1592451","NL-U1592451","Magnoliopsidae",NA,NA,NA,NA,NA,NA
"9","2009-11-06 09:38:00-02","MO","MOBOT","100226311","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D. Penn.",NA,"Sidney T. McDaniel|Manuel Rimachi Y.","McDaniel 32174","1994","1","12","South America","Peru","Loreto","Maynas","Dtto. Iquitos. Carretera Iquitos-Nauta, km 16, upland vareal, mature forest.",NA,NA,NA,NA,NA,NA,NA,"140.00000000","160.00000000","1",NA,NA,NA
"10","2013-03-28 12:44:00-03","MO","MOBOT","1235067","PreservedSpecimen","Plantae",NA,NA,"Sapotaceae","Chrysophyllum","bombycinum","Chrysophyllum bombycinum","T.D. Penn.","T.D. Pennington","Alwyn H. Gentry|Camilo Díaz S.|Juan Celedonia Ruiz M.","Gentry 22446","1978","5","30","South America","Peru","Loreto","Maynas","Mishana, Río Nanay halfway between Iquitos and Santa Maria de Nanay. Non-inundated lowland forest on trail to Campamento 1. Transect. 3.",NA,NA,NA,NA,NA,NA,NA,"180.00000000",NA,"1","1429",NA,NA
