"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","continentOcean","locality","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks"
"1","2020-11-04 11:14:28-03","ESALQ","ESA","80007","PreservedSpecimen","Plantae","Magnoliophyta","Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Mazine, F.F.","holotypus","Silva, J.M. ; Sobral, M.","1206.0","1993","01","14","Brasil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","ESA080007","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-12-21 16:36:28-03","MBM","MBM","134170","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine",NA,"PARATYPE","Ribas, O.S.; Nicolack, V.; Nicolack, V.","227","1990","01","30","Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","MBM134170","auto","Southern America","Morro Sete","MBM134170",NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-12-21 16:36:28-03","MBM","MBM","425002","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Brotto, M.L.",NA,"Brotto, M.L.","3222","2019","01","27","Brazil","Paraná","Piraquara","-49.015556","-25.4475",NA,"MBM425002",NA,"Southern America","Recreio da Serra",NA,"2019","11","05","-49.015556","-25.4475","990","990","árvore com 10 m de altura; flores recém fecundadas, pilosidade brunea na inflorescência.; Transição entre Floresta Ombrófila Densa e Floresta Ombrófila Mista."
"4","2020-12-21 16:36:28-03","MBM","MBM","156534","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine",NA,"ISOTYPE","Silva, J.M.; Sobral, M.; Sobral, M.","1206","1993","01","14","Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","MBM156534","auto","Southern America","Morro Sete","MBM156534",NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:36:28-03","MBM","MBM","135983","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Mazine, F.F.","PARATYPE","Kuniyoshi, Y.S.; Galvão, F.; Galvão, F.","5519","1990","04","06","Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","MBM135983","auto","Southern America","Serra da Baitaca","MBM135983","2008",NA,NA,NA,NA,"1100","1100","Árvore 5m, casca lisa, fruto vermelho.; Floresta montana."
"6","2019-12-09 17:30:21-03","UFPR","EFC","2157","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Sobral, M.","PARATIPO","Kuniyoshi, Y.S.; Galvão, F.","5519","1990","04","06","Brasil","Paraná","Quatro Barras","-49.0036","-25.3887",NA,"EFC002157",NA,NA,"Serra da Baitaca",NA,"2015","05","08","-49.0036","-25.3887","1100","1100","Árvore com 5 m, casca lisa, fruto vermelho, 1100m s.n.m.Paratypus v. Novon 19:80-84. 2009"
"7","2019-11-13 11:26:42-03","USP","SPF","185578","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Stadnik, A",NA,"Forzza, RC","4841","2007","11","14","Brasil","Minas Gerais","Alvorada de Minas","-43.466389","-18.807222",NA,"SPF00185578",NA,NA,"Itapanhoacanga",NA,"2019","07",NA,"-43.466389","-18.807222","1084","1084",NA
"8","2019-11-13 11:26:42-03","USP","SPF","156389","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Mazine, FF","paratype","Ribas, OS","227","1990","01","30","Brasil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","SPF00156389","auto",NA,NA,NA,"2018","06",NA,NA,NA,NA,NA,NA
"9","2019-11-13 11:26:42-03","USP","SPF","153326","PreservedSpecimen","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Mazine, FF","isotype","Silva, JM","1206","1993","01","14","Brasil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375","17116","SPF00153326","auto",NA,NA,NA,"2018","06",NA,NA,NA,NA,NA,NA
"10","2020-05-07 17:15:52-03","IBt","SP","338049","S","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Mazine, FF",NA,"Barbosa, E; Silva, JM; Ferreira, LA","236","1998","12","08","Brasil","Paraná","Morretes","-48.834400177002","-25.476900100708","30514","SP024066","auto",NA,"Serra da Prata, Próximo a Torre da Prata","SP024066","2013","02","07",NA,NA,NA,NA,"Arvoreta 3m alt., frutos pretos, mata nebular"
"11","2020-05-07 17:15:52-03","IBt","SP","314067","S","Plantae",NA,"Myrtaceae","Eugenia","brunneopubescens","Eugenia brunneopubescens","Mazine","Mazine, FF",NA,"Moraes, PLR","777","1993","01","20","Brasil","São Paulo","São Miguel Arcanjo","-47.9900016784668","-23.8700008392334","27904","SP036462","auto",NA,"Parque Estadual Carlos Botelho","SP036462","2017","07","25",NA,NA,NA,NA,"Árvore ca. 4m alt., tronco liso, botões esbranquiçados, subosque"
