"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","stateProvince","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","phylum","order","scientificNameAuthorship","identifiedBy","recordNumber","minimumElevationInMeters","maximumElevationInMeters","imagecode","typeStatus","county","infraspecificEpithet","yearIdentified","coordinatePrecision","geoFlag","class","relatedCatalogItem","monthIdentified","eventTime","dayIdentified","fieldNumber","individualCount","sex"
"1","2020-09-23 10:40:11-03","E","E","105318","PreservedSpecimen","Plantae","Labiatae","Vitex","panshiniana","Vitex panshiniana","Gottsberger, I.S. & Gottsberger, G.K.","1975","12","17","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:114919","<a href=http://data.rbge.org.uk/herb/E00105318 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00105318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:11-03","E","E","100505","PreservedSpecimen","Plantae","Labiatae","Vitex","panshiniana","Vitex panshiniana","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","04","20","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109844","<a href=http://data.rbge.org.uk/herb/E00100505 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:11-03","E","E","100029","PreservedSpecimen","Plantae","Labiatae","Vitex","panshiniana","Vitex panshiniana","Bridgewater, S., Ratter, J.A. & Filho, J.F.","1999","08","15","E. Tropical South America","BR","herbarium specimen of unspecif","BGBASE:109299","<a href=http://data.rbge.org.uk/herb/E00100029 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00100029","Rondônia","On road between Pimenta Bueno and Espigão do Oeste.","-60.616667","-11.683333","-60.616667","-11.683333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","00956750","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana","B. Maguire","1963","08","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081679' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956750","Tocantins","Between Cristalandia and Gurupi, Belem-Brasília Highway.",NA,NA,NA,NA,"Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","56153","300","300","NY00956750_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","138391","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana","G. Gardner","1838","08",NA,"South America","Brazil","sheet",NA,"Comm. am. Shuttleworth 1840 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285912' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138391","Ceará",NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","Moldenke",NA,"1817",NA,NA,"NY00138391_01","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","00956748","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana","W. A. Ducke","1955","09","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081676' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956748","Ceará","Parangaba, n'um sítio velho.","-38.5431","-3.7172",NA,NA,"Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","2488",NA,NA,"NY00956748_01",NA,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01871253","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana","J. W. H. Trail",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2125150' target='other'> <mi>dwc_moreinfo</mi></a>","NY01871253","Amazonas",NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","Moldenke",NA,"671",NA,NA,"NY01871253_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","138390","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana","G. Gardner","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=285911' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138390",NA,"Brasilia",NA,NA,NA,NA,"Magnoliophyta","Lamiales","Moldenke",NA,"1817",NA,NA,"NY00138390_01","holotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","00956749","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana","G. T. Prance","1964","08","09","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1081678' target='other'> <mi>dwc_moreinfo</mi></a>","NY00956749","Maranhão","Road Carolina to Estreita, 2-15 km. from Estreita.","-47.4508","-6.5608",NA,NA,"Magnoliophyta","Lamiales","Moldenke","H. N. Moldenke","58615",NA,NA,"NY00956749_01",NA,"Estreito",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","138392","PreservedSpecimen","Plantae","Lamiaceae","Vitex","panshiniana","Vitex panshiniana pulchra","A. Löfgren",NA,NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=32279' target='other'> <mi>dwc_moreinfo</mi></a>","NY00138392","Ceará",NA,NA,NA,NA,NA,"Magnoliophyta","Lamiales","Moldenke",NA,"349",NA,NA,"NY00138392_01","possible holotype",NA,"pulchra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
