"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","year","month","day","continentOcean","country","stateProvince","county","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","recordNumber","typeStatus","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","scientificNameAuthorship","identifiedBy","coordinatePrecision","geoFlag","imagecode","class","order","yearIdentified","monthIdentified","dayIdentified","individualCount","infraspecificEpithet"
"1","2020-09-23 10:35:52-03","E","E","147294","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Balfour Gourlay, William","1905","03","22","Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso","herbarium specimen of unspecif","BGBASE:154934","<a href=http://data.rbge.org.uk/herb/E00147294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00147294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:35:52-03","E","E","147313","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Matthews, A.",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso",NA,"herbarium specimen of unspecif","BGBASE:154878","<a href=http://data.rbge.org.uk/herb/E00147313 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00147313","317",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:35:52-03","E","E","147312","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Cuming, Hugh",NA,NA,NA,"Temperate South America","CL","Región V [Valparaíso]","Prov. de Valparaíso","Valparaíso","herbarium specimen of unspecif","BGBASE:154877","<a href=http://data.rbge.org.uk/herb/E00147312 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00147312","568","isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:35:52-03","E","E","147310","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","King, Thomas",NA,NA,NA,"Temperate South America","CL",NA,NA,NA,"herbarium specimen of unspecif","BGBASE:154760","<a href=http://data.rbge.org.uk/herb/E00147310 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00147310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:35:52-03","E","E","12938","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Gardner, Martin F. & Knees, Sabina G.","1995","10","05","Temperate South America","CL","Región IV [Coquimbo]","Prov. de Choapa","Coast at Pichidangui","herbarium specimen of unspecif","BGBASE:15963","<a href=http://data.rbge.org.uk/herb/E00012938 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00012938","5936",NA,"-71.533333","-32.133333","-71.533333","-32.133333","10","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:35:52-03","E","E","212786","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Darwin Chilean Initiative (2002 - 2005)","2004","11","29","Temperate South America","CL","Región V [Valparaíso]","Provincia de Petorca","Ruta 5 at Puente Chivato","herbarium specimen of unspecif","BGBASE:211258","<a href=http://data.rbge.org.uk/herb/E00212786 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00212786","1713",NA,"-71.496389","-32.233056","-71.496389","-32.233056","15","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2019-12-04 15:26:22-03","PUCPR","HUCP","15928","S","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Selusniaki, M","2004","08","17",NA,"Brasil","Paraná","Curitiba","Fazendinha",NA,NA,NA,NA,"087",NA,"-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,"Monocotiledonea","Jacq.","Selusniaki, M","25180","auto",NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-02-08 21:33:33-03","UFBA","ALCB","11243","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","fluminensis","Alstroemeria fluminensis","s.col.",NA,NA,NA,"Southern America","Brasil",NA,NA,"Do Brasil meridional",NA,NA,"ornamental","ALCB015984","PHs/n",NA,NA,NA,NA,NA,NA,NA,"Monocotyledon","(Vell.) M. Roem.",NA,NA,NA,"ALCB015984",NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 09:37:24-03","NBC","NL-BOTANY","L.1454606","PreservedSpecimen","Plantae","Liliaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Alleizette AC d'","1907","10","01","Southern America","Peru",NA,NA,"M arvic je. Lima.",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1454606 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1454606",NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,"NL-L1454606","Magnoliopsidae","Liliales",NA,NA,NA,NA,NA
"10","2020-11-04 10:54:31-03","ESALQ","ESA","137528","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","G.M.A. Matos","2011","07","27",NA,"Brasil","Sergipe","Nossa Senhora da Glória","Mariane",NA,NA,NA,"ESA137528","11.0",NA,"-37.4202995300293","-10.2182998657227",NA,NA,NA,NA,NA,"Jacq.","G.M.A. Matos","39088","auto",NA,NA,NA,"2011","07","27",NA,NA
"11","2021-01-14 15:19:08-03","MN","R","50323","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Hoehne, F.C.","1913","07",NA,NA,"Brasil","Rio de Janeiro",NA,"Silvestre",NA,NA,NA,"R010071424",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jacq.","Assis, M.C.",NA,NA,NA,NA,NA,"2000","12",NA,NA,NA
"12","2021-03-31 13:35:11-03","MN","R","50324","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Mosén, C.W.H.","1875","05","10",NA,"Brasil","São Paulo","Santos",NA,NA,NA,"Ex. Herb. Brasil Reg. Mus. Bot. Stockhohm.","R010071423",NA,NA,"-46.3300018310547","-23.9599990844727",NA,NA,NA,NA,NA,"Jacq.",NA,"26836","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-31 13:35:11-03","MN","R","195962","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Trece, V.G.","1999","05","22",NA,"Brasil","Rio de Janeiro","Niterói","Alto Mourão",NA,NA,NA,"R010071501",NA,NA,"-43.1035995483398","-22.88330078125",NA,NA,NA,NA,NA,"Jacq.","Assis, M.C.","14785","auto",NA,NA,NA,"2000","12",NA,NA,NA
"14","2021-03-31 13:35:11-03","MN","R","197559","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","caryophyllaea","Alstroemeria caryophyllaea","Trece, V.G.","2000","04","19",NA,"Brasil","Rio de Janeiro","Niterói","Alto Mourão",NA,NA,NA,"R010071503",NA,NA,"-43.1035995483398","-22.88330078125",NA,NA,NA,NA,NA,"Jacq.",NA,"14785","auto",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-01-14 15:19:28-03","MN","R","188693","PreservedSpecimen","Plantae","Alstroemeriaceae","Alstroemeria","pelegrina","Alstroemeria pelegrina","Netto, L.S.M.",NA,NA,NA,NA,"Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"L.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
