"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","continentOcean","country","stateProvince","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordNumber","year","month","day","county","imagecode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","order"
"1","2020-09-23 10:43:34-03","E","E","399822","PreservedSpecimen","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Tweedie, John","Temperate South America","AR","Provincia de Buenos Aires","Buenos Ayres","herbarium specimen of unspecif","BGBASE:444915","<a href=http://data.rbge.org.uk/herb/E00399822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00399822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:41:34-03","UNICAMP","UEC","69826","S","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Stehmann, JR; Dutilh, JHA; Sobral, M; Haussen, M; Nilson, AD",NA,"Brazil","Rio Grande do Sul","Estrada Quaraí -> Livramento.",NA,NA,"Erva, formando uma touceira; flores alvas.; Barranco na beira da estrada","UEC082683","Magnoliopsida","Miers","Stehmann, JR","1995","05","1573","1994","12","03","Livramento","UEC082683",NA,NA,NA,NA,NA
"3","2021-03-01 16:41:34-03","UNICAMP","UEC","77392","S","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Stehmann, JR; Semir, J; Dutilh, JHA",NA,"Brazil","Rio Grande do Sul","BR 293, km 385.",NA,NA,"Erva; flores brancas, centro amarelo.; Barranco pedregoso.","UEC082682","Magnoliopsida","Miers",NA,NA,NA,"2082","1995","11","05","Santana Do Livramento","UEC082682","-55.5327987670898","-30.8908004760742","79795","auto",NA
"4","2015-09-04 13:22:11-03","MNHN","RECOLNAT_MNHN_P","P00476949","PreservedSpecimen",NA,"Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Isabelle",NA,"Brésil",NA,"Rio Grande do Sul","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00476949' target='other'> <mi>dwc_moreinfo</mi></a>","P00476949",NA,"Miers","Cocucci",NA,NA,NA,"1835",NA,NA,NA,"P00476949_01",NA,NA,NA,NA,NA
"5","2020-12-11 11:41:53-03","UFMG","BHCB","31336","PreservedSpecimen","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Stehmann, JR; Semir, J; Dutilh, JHA","Southern America","Brasil","Rio Grande do Sul","BR 293, Km 385",NA,NA,"Erva, flores brancas, centro amarelo.; Barranco pedregoso.","BHCB037405","Dicotyledon","Miers",NA,"2004","04","2082","1995","11","05","Santana do Livramento",NA,"-55.5327987670898","-30.8908004760742","79795","auto",NA
"6","2020-12-11 11:41:53-03","UFMG","BHCB","125362","PreservedSpecimen","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Vignoli-Silva, M","Southern America","Brasil","Rio Grande do Sul","BR293, Km 385, em paredão rochoso na beira de estrada em frente a entrada da Fazenda Santa Gertrudes.",NA,NA,"Flores brancas.Ápice das folhas pungente.","BHCB022498","Dicotyledon","Miers",NA,"2002",NA,"125","2002","12","06","Santana do Livramento",NA,"-55.5327987670898","-30.8908004760742","79795","auto",NA
"7","2020-12-11 11:41:53-03","UFMG","BHCB","126622","PreservedSpecimen","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Stehmann, JR; Dutilh, JHA; Sobral, M; Haussen, M; Nilson, AD","Southern America","Brasil","Rio Grande do Sul","Estrada Quaraí - Livramento, Na beira da estrada",NA,NA,"Erva, formando uma touceira em barranco na beira da estrada; flores alvas; Erva formando uma touceira, flores alvas; Barranco","BHCB002705","Dicotyledon","Miers",NA,"1995","03","1573","1994","12","03","Santana do Livramento","BHCB002705","-55.5327987670898","-30.8908004760742","79795","auto",NA
"8","2020-08-20 15:00:38-03","UFSC","FLOR","37013","PreservedSpecimen","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Vignoli-Silva, M.",NA,"Brasil","Rio Grande do Sul","BR 293, km 385, em paredão rochoso na beira da estrada em frente à entrada da Fazenda Santa Gertrudes.",NA,NA,"flor branca. Ápice das folhas pungente","FLOR0037013",NA,"Miers",NA,NA,NA,"125","2002","12","06","Santana do Livramento",NA,"-55.5327987670898","-30.8908004760742","79795","auto","Solanales"
"9","2020-08-20 15:00:38-03","UFSC","FLOR","37003","PreservedSpecimen","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","Vignoli-Silva, M.",NA,"Brasil","Rio Grande do Sul","BR 293, km 385, na beira da estrada em frente à entrada da Fazenda Santa Gertrudes.",NA,NA,"flor branca. Ápice das folhas pungente","FLOR0037003",NA,"Miers",NA,NA,NA,"125","2002","12","06","Santana do Livramento",NA,"-55.5327987670898","-30.8908004760742","79795","auto","Solanales"
"10","2017-09-11 17:14:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Solanaceae","Nierembergia","pinifolia","Nierembergia pinifolia","?",NA,"?",NA,"In prov. Rio Grande do Sul",NA,NA,"Herb. Hook., teste Miers.",NA,NA,"Miers",NA,NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
