"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","fieldNumber","individualCount","typeStatus","previousCatalogNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","01416839","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Derris","latifolia","Derris latifolia","Prain","G. T. Prance","G. T. Prance","23442","1975","05","12","South America","Brazil","Amazonas","Jamamadi Indian Village, W of Rio Purus","-65.28","-7.47","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1650916' target='other'> <mi>dwc_moreinfo</mi></a>","NY01416839",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01460170","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","G. A. Black","48-3492","1948","11","13","South America","Brazil","Pará","Ilha do Marajó. Estrada de Salvaterra para Jubim","-48.5356879","-0.7789539","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702592' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460170","NY01460170_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","01460166","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","W. A. Ducke","771","1941","08","24","South America","Brazil","Pará","Mosqueiro, ad ripam inundatam fluvii","-48.3828","-1.1458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702586' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460166","NY01460166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","01405055","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","O. Kosovsky","M. Colella","1476","1989","09","16","South America","Venezuela","Bolívar","3-12 km al SE del Campo. CVG-Las FLores.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1422435' target='other'> <mi>dwc_moreinfo</mi></a>","NY01405055",NA,"Sifontes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","01460167","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","E. de Oliveira","1264","1961","02","02","South America","Brazil","Pará","Rio Anapú, região de Ig. Miri",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702588' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460167","NY01460167_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-03-15 16:37:00-03","NY","NYBG","01460168","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","J. M. Pires","1394","1948","11","17","South America","Brazil","Pará",NA,"-48.1417007446289","-0.858332991600037","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702590' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460168","NY01460168_01","Vigia","33395","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-03-15 16:37:00-03","NY","NYBG","01460171","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","E. de Oliveira","3459","1965","09","30","South America","Brazil","Pará","Rio Genipapo, retiro São José.","-50.7972222","-3.3722222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702594' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460171","NY01460171_01","Ilha de Marajó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-03-15 16:37:00-03","NY","NYBG","01460164","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","W. A. Ducke","608","1940","10","19","South America","Brazil","Pará","Mosqueiro, fluvii Pará","-48.3828","-1.1458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702583' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460164","NY01460164_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-03-15 16:37:00-03","NY","NYBG","01460163","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","E. P. Killip","30566","1929","11","03","South America","Brazil","Pará","Ilha do Mosqueiro, near Para","-48.3828","-1.1458","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702581' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460163","NY01460163_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","01460165","PreservedSpecimen","Plantae","Magnoliophyta","Fabales","Fabaceae","Lonchocarpus","heptaphyllus","Lonchocarpus heptaphyllus","(Poir.) DC.","H. Poppendieck","E. de Oliveira","3457","1965","09","30","South America","Brazil","Pará","Rio Genipapo, retiro São José.","-50.7972222","-3.3722222","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1702584' target='other'> <mi>dwc_moreinfo</mi></a>","NY01460165","NY01460165_01","Ilha de Marajó",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
