"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","occurrenceRemarks","phylum","order","continentOcean","preparationType","infraspecificEpithet","coordinatePrecision","geoFlag","class","relatedCatalogItem","fieldNumber","individualCount","typeStatus"
"1","2021-04-05 14:25:32-03","UNESC","CRI","13024","PreservedSpecimen","Plantae","Melastomataceae","Pleroma","trichopodum","Pleroma trichopodum","DC.","Oliveira, A. A.","2017","08","31","Funez, L.A.","3358","2015","01","05","Brasil","Santa Catarina","Navegantes","Gravatá, instalações do Condomínio Praia de Gravatá. Gravatá, instalações do Condomínio Praia de Gravatá.","-48.638333","-26.831111","48º38'18''W","26º49'52''S","6","6","CRI011733","CRI011733",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:42-03","UNESC","CRI","1545","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","R. Negrelle",NA,NA,NA,"R. Negrelle; et al.",NA,"1992","01","11","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","9","9","CRI004542","CRI004542","Habito: arbustiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:25:33-03","UNESC","CRI","11072","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","A. A. de Oliveira","2011","03","22","A. Korte","5791","2011","02","24","Brasil","Santa Catarina","Navegantes","Bairro Costa Azul.","-48.654444","-26.899444","48º39'16''W","26º53'58''S","8","8","CRI004545","CRI004545","FOD terras baixas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:25:33-03","UNESC","CRI","46","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","Marcos Sobral",NA,NA,NA,"R. dos Santos",NA,"1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S",NA,NA,"CRI004544","CRI004544","Restinga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:25:33-03","UNESC","CRI","13491","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","Renato Colares","2018","05","29","Renato Colares; Thuany Machado",NA,"2018","03",NA,"Brasil","Santa Catarina","Treviso","Campo Morozini","-49.4475","-28.541389","49º26'51''W","28º32'29''S","161","161","CRI012098",NA,"Habitat: Terrestre Habito: Arbustivo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:25:33-03","UNESC","CRI","3088","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","Daniel de Barcellos Falkenberg",NA,NA,NA,"Robson dos Santos","72","1994","05","13","Brasil",NA,"Brasil","Proximidades da Escola Técnico Federal Agrícola.","-49.700278","-29.136667","49º42'1''W","29º8'12''S","30","30","CRI004541","CRI004541",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:25:33-03","UNESC","CRI","3125","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","Daniel de Barcellos Falkenberg",NA,NA,NA,"Robson dos Santos; Sebastião Aleques Macedo Waltrick","18","1994","05","13","Brasil","Santa Catarina","Içara","Esplanada.","-49.3","-28.7","49º18'W","28º42'S","5","5","CRI004540","CRI004540",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:42-03","UNESC","CRI","6061","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","trichopoda","Tibouchina trichopoda","(DC.) Baill.","Daniel B. Falkenberg",NA,NA,NA,"Robson dos Santos","277","1996","02","17","Brasil","Santa Catarina","Governador Celso Ramos",NA,"-48.559444","-27.315278","48º33'34''W","27º18'55''S","24","24","CRI004543","CRI004543",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2016-09-29 12:36:00-03","NY","NYBG","558287","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps",NA,"F. Markgraf",NA,NA,NA,"R. Reitz","893","1953","08","10","Brazil","Santa Catarina","Araquari","Barra do Sul","-48.7219","-26.3703",NA,NA,"5","5","NY00558287","NY00558287_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412472' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
"10","2016-09-29 12:36:00-03","NY","NYBG","558286","PreservedSpecimen","Plantae","Melastomataceae","Tibouchina","multiceps","Tibouchina multiceps",NA,"E. Pereira",NA,NA,NA,"A. P. Duarte","3403","1950","12","08","Brazil","Santa Catarina","Florianópolis","Canavieiras. Ilha de Santa Catarina","-48.4686756","-27.4355461",NA,NA,NA,NA,"NY00558286","NY00558286_01","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=412475' target='other'> <mi>dwc_moreinfo</mi></a>","Magnoliophyta","Myrtales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA
