"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","typeStatus","individualCount","fieldNumber"
"1","2021-03-15 16:37:00-03","NY","NYBG","615857","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata","(D.Legrand) Landrum","L. R. Landrum","R. Reitz","7427","1958","10","23","South America","Brazil","Santa Catarina","Sao Joaquim","Serra do Oratório, Bom Jardim, Sao Joaquim","-49.9317","-28.2942","1400","1400","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429393' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615857","NY00615857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","615856","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata","(D.Legrand) Landrum","L. R. Landrum","R. Reitz","7807","1958","12","11","South America","Brazil","Santa Catarina","Sao Joaquim","Curral Falso, Bom Jardim, Sao Joaquim","-49.9317","-28.2942","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615856","NY00615856_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","615855","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata","(D.Legrand) Landrum","L. R. Landrum","L. R. Landrum","3014.5","1977","12","28","South America","Brazil","Rio Grande do Sul","Cambará do Sul","Tambescinho, at eastern edge of Plan Alto","-50","-29.17","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429391' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615855","NY00615855_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","615854","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata","(D.Legrand) Landrum","L. R. Landrum","L. R. Landrum","3013","1977","12","28","South America","Brazil","Rio Grande do Sul","Cambará do Sul","Tambescinho, at eastern edge of Plan Alto","-50","-29.17","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429390' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615854","NY00615854_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","615853","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata","(D.Legrand) Landrum","L. R. Landrum","L. R. Landrum","3012","1977","12","28","South America","Brazil","Rio Grande do Sul","Cambará do Sul","Tambescinho, at eastern edge of Plan Alto","-50","-29.17","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=429389' target='other'> <mi>dwc_moreinfo</mi></a>","NY00615853","NY00615853_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-02-18 09:30:15-03","UNESP-IBB","BOTU","33942","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","acutata",NA,"Myrceugenia acutata","D.Legrand","Soares-Silva, L.H.","Soares-Silva, L.H.","633","1996","09","19",NA,"Brasil","Paraná","Tibagi","Brejo na fazenda Batavo",NA,NA,NA,NA,NA,NA,"BOTU033942",NA,"2016","9999","9999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-06-29 11:31:39-03","UFRJ","RFA","4360","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata","(D. Legrand) Landrum","W.G. Lima","P. Occhioni","629","1944","12","14",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Estrada da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,NA,NA,"Árvore mediana; flor branca","RFA25073",NA,"2003",NA,NA,"05","08","57442","auto",NA,NA,NA,NA,NA,NA
"8","2020-11-24 17:10:53-03","UTFPR","DVPR","5249","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrceugenia","acutata",NA,"Myrceugenia acutata","D.Legrand","Estevan, DA","Souza, PR; et al.","87","2017","02","23",NA,"Brasil","Paraná","São Jorge d' Oeste","RPPN Salto Chopim","-53.0445","-25.3611",NA,NA,NA,"Árvore 8 m , com frutos verdes.; Floresta Estacional Semidecidual","DVPR005249",NA,"2017","-53.0445","-25.3611",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.2527262","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata",NA,NA,"Reitz R; Klein RM",NA,"1958","10","23","Southern America","Brazil",NA,NA,"Plantas de Santa Catarina, Serra de Cratório, Bom jardim, S.Joaquin.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527262 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527262","NL-L2527262",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"10","2020-02-08 10:06:48-03","NBC","NL-BOTANY","U.1451289","PreservedSpecimen","Plantae",NA,"Myrtales","Myrtaceae","Myrceugenia","ovata","acutata","Myrceugenia ovata acutata",NA,NA,"Martinelli G; Simonis JE",NA,"1983","02","02","Southern America","Brazil",NA,NA,"Estado do Rio de Janeiro, Município de Teresópolis, Parque Nacional da Serra dos Orgãos, margens Rio Beija-Flor, 900-1000m/s.m.",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451289 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1451289","NL-U1451289",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
