"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","barcode","imagecode","typeStatus","county","phylum","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","occurrenceRemarks","relatedCatalogItem"
"1","2020-09-12 05:00:02-03","US","US","3431261","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Lepidaploa","almasensis","Lepidaploa almasensis","(D.J.N. Hind) H. Rob.","R. M. Harley, D. J. N. Hind, E. Nic Lughadha, R. Queiroz & W. Ganev","H50591","1991","12","31","South America - Neotropics","Brazil","Bahia","Bahia. Mun. Abaira: Campo de Ouro Fino","-41.9","13.25","1600","1700","1","US01629308","US01629308_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-12 05:00:02-03","US","US","3278417","PreservedSpecimen","Plantae","Dicotyledonae","Asterales","Asteraceae","Vernonia","almasensis","Vernonia almasensis","D.J.N. Hind","R. M. Harley, A. M. Giulietti, B. L. Stannard & D. J. N. Hind","26328","1988","11","10","South America - Neotropics","Brazil","Bahia","Pico das Almas, Vertente Leste, subida do Pico do Campo do Queiroz.","-41.9667","-13.5333","1580","1580","1","US00432889","US00432889_01","Isotype","Rio de Contas",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-10-07 09:11:35-03","UEFS","HUEFS","58820","PreservedSpecimen","Plantae","Asteranae","Asterales","Asteraceae","Lepidaploa","almasensis","Lepidaploa almasensis","(D.J.N.Hind) H.Rob.","Harley, R.M.","H50591","1991","12","31",NA,"Brasil","Bahia","Campo de Ouro Fino (alto).","-41.9","-13.25","1600","1700",NA,"HUEFS0058820",NA,NA,"Abaíra","Angiospermae","N.Roque","2003","11","41W54'","13S15'",NA,NA
"4","2019-10-07 09:11:35-03","UEFS","HUEFS","66702","PreservedSpecimen","Plantae","Asteranae","Asterales","Asteraceae","Lepidaploa","almasensis","Lepidaploa almasensis","(D.J.N.Hind) H.Rob.","Harley, R.M.","26328","1988","11","10",NA,"Brasil","Bahia","Pico das Almas. Vertente leste. Subida do pico do campo norte do Queiroz.","-41.966667","-13.533333","1580","1580",NA,"HUEFS0066702",NA,"Isótipo","Rio de Contas","Angiospermae","N.Roque","2003","11","41W58'","13S32'","Campo rupestre",NA
"5","2020-07-23 11:59:10-03","CEPLAC","CEPEC","48867","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","almasensis","Lepidaploa almasensis",NA,"R. M. Harley","26328","1988","11","10",NA,"Brasil","Bahia","Vertente leste. Pico das Almas. Subida do pico do Campo N do Queiroz.","-41.966667","-13.533333",NA,NA,NA,NA,NA,"Holótipo","RIO DE CONTAS",NA,"SpeciesLink/lacunas",NA,NA,"41W58'0","13S32'0",NA,"30/12/1993"
"6","2020-07-23 11:59:10-03","CEPLAC","CEPEC","95915","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Lepidaploa","almasensis","Lepidaploa almasensis",NA,"R. M. Harley",NA,"1991","12","31",NA,"Brasil","Bahia","Campo de Ouro Fino.","-41.9","13.25",NA,NA,NA,NA,NA,NA,"ABAÍRA",NA,"SpeciesLink/lacunas",NA,NA,"41W54'","13N15'",NA,"30/12/1991"
