"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","class","order","dayIdentified","coordinatePrecision","geoFlag","minimumElevationInMeters","maximumElevationInMeters","individualCount","typeStatus","fieldNumber","sex","preparationType"
"1","2019-10-09 11:27:32-03","UFBA","ALCB","047417","PreservedSpecimen","Plantae","Monocotyledon","Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Smith.","Martinelli, G","2000","12","Guedes, ML; et al.","7362","2000","06","08","Southern America","Brasil","Bahia","Entre Rios","Litoral Norte, Sauípe, Empreendimento da Odebrecht","-38.083333","-11.933333","-38.083333","-11.933333","perene. Folhas em rosetas verdes ou vináceas, margem com espinhos. Inflorescência com flores alvas.","ALCB011042","ALCB011042 ALCB011042_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 10:12:11-03","NBC","NL-BOTANY","U.1178337","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.",NA,NA,NA,"Harley RM",NA,"1977","01","25","Southern America","Brazil",NA,NA,"Estado da Bahia. Coastal Zone. 3 km North of Comandatuba, SE of Una.","-39","-15.333333","-39.0","-15.333333","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1178337 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1178337","NL-U1178337","Magnoliopsidae","Poales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-02-15 11:35:36-02","IPA","IPA","24671","S","Plantae","Plantae","Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B. Sm.",NA,NA,NA,"Harley","18251","1977","01","25","Southern America","Brasil","Bahia",NA,"Coastal Zone. 3 Km North of Comandatuba, SE of Una. Flooded restinga forest by small river. Alt. sea level.","-39","-15.333333","-39","-15.333333","Rhizomatous tank bromeliad, with glossy dark green leaves. Basal leaves and leaves on vegetative shoots very narrow, channeled, reddish-purple at base. Fertile shoots with very broad leaves, reddish-purple-tinged. Corollas pure white.","IPA0024671",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-04-27 16:09:05-03","UFES","VIES","5625","S","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.","Gomes, J.M.L.","1991","03","Gomes, J.M.L.","1452","1991","03","18",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual de Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES005625","VIES005625",NA,NA,"18","28401","auto",NA,NA,NA,NA,NA,NA,NA
"5","2020-04-27 16:09:05-03","UFES","VIES","10694","S","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.","Gomes, J.M.L.","1998","03","Gomes, J.M.L.","2408","1988","03","10",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual de Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES010694","VIES010694",NA,NA,"10","28401","auto",NA,NA,NA,NA,NA,NA,NA
"6","2020-04-27 16:09:05-03","UFES","VIES","10693","S","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.","Gomes, J.M.L.","1991","04","Gomes, J.M.L.","1497","1991","04","10",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual de Setiba.","-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES010693","VIES010693",NA,NA,"10","28401","auto",NA,NA,NA,NA,NA,NA,NA
"7","2020-04-27 16:09:05-03","UFES","VIES","5748","S","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.","Gomes, J.M.L.","1998","06","Gomes, J.M.L.","1621","1998","07","18",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES005748","VIES005748",NA,NA,"18","28401","auto",NA,NA,NA,NA,NA,NA,NA
"8","2020-04-27 16:09:05-03","UFES","VIES","10695","S","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.","Gomes, J.M.L.","1998","01","Gomes, J.M.L.","2401","1998","01","22",NA,"Brasil","Espírito Santo","Guarapari","Parque Estadual Paulo César Vinha.","-40.5110015869141","-20.6580009460449",NA,NA,NA,"VIES010695","VIES010695",NA,NA,"22","28401","auto",NA,NA,NA,NA,NA,NA,NA
"9","2020-07-10 09:44:30-03","MBML","MBML-HERBARIO","41105",NA,"Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B.Sm.","T.S. Coser/21-06-2011",NA,NA,"L. Kollmann; & R. Cribari","12205","2011","03","01",NA,"Brasil","Espírito Santo","Serra","Mestre Alvaro","-40.306667","-20.164167","40W18'24","20S9'51","Erva terrestre na sombra, folhas verdes de base vinacea, flores brancas.","MBML041105","MBML041105",NA,NA,NA,NA,NA,"300","300",NA,NA,NA,NA,NA
"10","2020-09-12 05:00:02-03","US","US","2198829","PreservedSpecimen","Plantae",NA,"Bromeliaceae","Cryptanthus","maritimus","Cryptanthus maritimus","L.B. Sm.",NA,NA,NA,"B. Pickel","909","1927","5",NA,"South America","Brazil","Pernambuco",NA,"Escola. Mata do corrige da bexiga.",NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","Bromeliales",NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
