X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,identifiedBy,name,institutionKey,gadm,coordinateUncertaintyInMeters,continent,typeStatus,references,georeferencedDate,verbatimEventDate,institutionID,nomenclaturalCode,georeferenceProtocol,endDayOfYear,county,preparations,startDayOfYear,collectionID,georeferenceSources,occurrenceRemarks,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.8392,-23.2835,"2459853149",Piper hoehnei (Trel.) Yunck.,-23.2835,-46.8392,"gass84,preswcd,ambinst,colmafu",cbf8c968-37d6-45be-bf5c-e22914a384dc,a88bec5c-1cbf-47a2-8c3e-6081804d80a5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:19:59Z,2021-04-08T12:22:43Z,"210",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4186092","6","7707728","220","404","6678","3075433","4186092","4186092",Piper hoehnei (Trel.) Yunck.,Plantae,Tracheophyta,Piperales,Piperaceae,Piper,Piper hoehnei,Piper,hoehnei,SPECIES,ACCEPTED,2013-01-01T00:00:00Z,"868","0",São Paulo,"2013","2","19",2013-02-19T00:00:00Z,2020-11-04T15:18:12Z,2021-04-08T12:22:43Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,51c61583-68fb-4e49-bc5d-729aa098bc43,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,BRA:ESALQ:ESA:130269,"35472.0",Fragmento 10 (TAV). Floresta Estacional Semidecidual,Franco da Rocha,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,"2459853149",pt,ESA,BRA:ESALQ:ESA:130269,Collection,"130269","Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.",Universidade de São Paulo,Universidade de São Paulo,"Colletta, G.D.",Piper hoehnei (Trel.) Yunck.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.1439,-24.3178,"1090563573",Piper hoehnei (Trel.) Yunck.,-24.3178,-49.1439,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:52Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4186092","6","7707728","220","404","6678","3075433","4186092","4186092",Piper hoehnei (Trel.) Yunck.,Plantae,Tracheophyta,Piperales,Piperaceae,Piper,Piper hoehnei,Piper,hoehnei,SPECIES,ACCEPTED,2012-04-15T00:00:00Z,NA,NA,São Paulo,"1997","12","15",1997-12-15T00:00:00Z,2019-01-25T17:44:20Z,2021-03-30T09:40:52Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:36611,"666","estrada Bom Sucesso de Itararé, 2 km antes da Mineração São Judas",Bom Sucesso de Itararé,IAC - Herbário do Instituto Agronômico de Campinas,"1090563573",pt,IAC,BRA:IAC:IAC:36611,Collection,"36611","J.M. Torezan; L.I.A. Arima; J.A. Pimenta; J.C.F. Resende; D.V.O. Sifuentes; R.R. Rodrigues; V.C. Souza; J.Y. Tamashiro; N.M. Ivanauskas; J. Paula-Souza & A. Vanini",IAC,Instituto Agronômico de Campinas,P.R.F. Amorim,Piper hoehnei (Trel.) Yunck.,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.017404,-23.798221,"1927901581",Piper hoehnei (Trel.) Yunck.,-23.798221,-46.017404,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:20Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4186092","6","7707728","220","404","6678","3075433","4186092","4186092",Piper hoehnei (Trel.) Yunck.,Plantae,Tracheophyta,Piperales,Piperaceae,Piper,Piper hoehnei,Piper,hoehnei,SPECIES,ACCEPTED,NA,NA,NA,São Paulo,"1940","6","11",1940-06-11T00:00:00Z,NA,2021-03-30T13:06:20Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,b2190553-4505-4fdd-8fff-065c8ca26f72,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,The New York Botanical Garden,09780519-3f9d-406a-933d-03f8098dc784,s.n.,Bertioga,NA,Vascular plants,"1927901581",en,NY,09780519-3f9d-406a-933d-03f8098dc784,PhysicalObject,"251369",F. C. Hoehne,NY,NA,NA,Piper hoehnei (Trel.) Yunck.,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,"20636.57",SOUTH_AMERICA,ISOTYPE,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=705462,2016-03-03,11 Jun 1940,http://biocol.org/urn:lsid:biocol.org:col:15556,ICN,"Georeferencing Quick Reference Guide, Version 2012","16",Bertioga,sheet,"16",http://biocol.org/urn:lsid:biocol.org:col:15556,"Google Maps (map data 2016), Manis Georef. Calculator",NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
