X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,elevation,elevationAccuracy,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,name,dateIdentified,identifiedBy,individualCount,preparations,gadm,otherCatalogNumbers,fieldNotes,identificationQualifier,institutionKey,georeferencedDate,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,georeferenceRemarks,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,institutionID,nomenclaturalCode,higherClassification,nomenclaturalStatus,taxonID,bibliographicCitation,collectionID,references,habitat,verbatimEventDate,endDayOfYear,county,startDayOfYear,verbatimElevation,higherGeography,eventRemarks,taxonRemarks,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,identificationRemarks,georeferenceSources,verbatimCoordinateSystem,http...unknown.org.recordId,rights,reproductiveCondition,fieldNumber,coordinateUncertaintyInMeters,accessRights,informationWithheld,dataGeneralizations,typeStatus,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.37175,-23.185333,"2452938572",Ichnanthus bambusiflorus (Trin.) Döll,-23.185333,-46.37175,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:16Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4108737","6","7707728","196","1369","3073","2704498","4108737","4108737",Ichnanthus bambusiflorus (Trin.) Döll,Plantae,Tracheophyta,Poales,Poaceae,Ichnanthus,Ichnanthus bambusiflorus,Ichnanthus,bambusiflorus,SPECIES,ACCEPTED,"814","0",NA,São Paulo,"2013","2","7",2013-02-07T00:00:00Z,2019-11-21T13:15:45Z,2021-04-12T14:22:16Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,ef48401a-d9e5-467c-b40a-0146618d38de,FALSE,WGS84,Liliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:454403,"3036",Rodoanel trecho Norte. Possível área para compensação ambiental.,Nazaré Paulista,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452938572",pt,SP,BRA:IBT:SP:454403,Collection,"454403","Shirasuna, RT",Instituto de Botânica,Instituto de Botânica,NA,Ichnanthus bambusiflorus (Trin.) Döll,2013-01-01T00:00:00Z,"Shirasuna, RT",NA,NA,NA,NA,NA,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-49.689478,-20.050928,"1087652986",Ichnanthus bambusiflorus (Trin.) Döll,-20.050928,-49.689478,"gass84,ambinst,colmafu",d2470ef8-edfa-4ba7-821e-c3e1a537bdba,4265f332-341c-45f6-b30b-5dc2e39b86e8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:19:16Z,2021-04-08T12:21:52Z,"251",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4108737","6","7707728","196","1369","3073","2704498","4108737","4108737",Ichnanthus bambusiflorus (Trin.) Döll,Plantae,Tracheophyta,Poales,Poaceae,Ichnanthus,Ichnanthus bambusiflorus,Ichnanthus,bambusiflorus,SPECIES,ACCEPTED,"1596","0",SOUTH_AMERICA,Minas Gerais,"2011","1","13",2011-01-13T00:00:00Z,2020-12-11T14:45:08Z,2021-04-08T12:21:52Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,b5e442dc-03c0-45f5-b326-1b481914dfde,FALSE,WGS84,Liliopsida,BR,none,none,Brazil,BHCB - Herbário da Universidade Federal de Minas Gerais,BRA:UFMG:BHCB:149188,"4965","Serra Gandarela, Projeto Mina Apolo",Santa Bárbara,BHCB - Herbário da Universidade Federal de Minas Gerais,"1087652986",pt,BHCB,BRA:UFMG:BHCB:149188,Collection,"149188","Tameirão Neto, E; Mansur, T",Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais,"Erva; Campo rupestre sobre canga couraçada",Ichnanthus bambusiflorus (Trin.) Döll,2011-03-01T00:00:00Z,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.660556,-22.743806,"2452929898",Ichnanthus bambusiflorus (Trin.) Döll,-22.743806,-44.660556,"gass84,colmafu,inmafu",17efa320-7312-4b55-bf0a-a4cfc4613169,2437c128-bf8c-4f53-b668-da95fb2e40b7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-12T14:19:10Z,2021-04-12T14:22:13Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4108737","6","7707728","196","1369","3073","2704498","4108737","4108737",Ichnanthus bambusiflorus (Trin.) Döll,Plantae,Tracheophyta,Poales,Poaceae,Ichnanthus,Ichnanthus bambusiflorus,Ichnanthus,bambusiflorus,SPECIES,ACCEPTED,NA,NA,NA,São Paulo,"2009","3","26",2009-03-26T00:00:00Z,2019-11-21T13:15:45Z,2021-04-12T14:22:13Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,ef48401a-d9e5-467c-b40a-0146618d38de,FALSE,WGS84,Liliopsida,BR,none,none,Brazil,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas",BRA:IBT:SP:412436,"2310","Serra da Bocaina, Estrada Campos da Bocaina a Silveiras.",São José do Barreiro,"SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","2452929898",pt,SP,BRA:IBT:SP:412436,Collection,"412436","Shirasuna, RT; et al.",Instituto de Botânica,Instituto de Botânica,NA,Ichnanthus bambusiflorus (Trin.) Döll,2009-04-01T00:00:00Z,"Shirasuna, RT",NA,NA,NA,NA,NA,NA,95c82c2d-a9e0-4aa5-8a40-6c589bfd6822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.63,-23.6,"3005737776",Ichnanthus bambusiflorus (Trin.) Döll,-23.6,-46.63,"gass84,osiic,colmafu,inmafu",821cc27a-e3bb-4bc5-ac34-89ada245069d,bc092ff0-02e4-11dc-991f-b8a03c50a862,b2ff19b5-d74f-40d2-82f1-ec5db01e8e31,US,DWC_ARCHIVE,2021-03-29T08:59:35Z,2021-03-30T11:28:13Z,"200",bc092ff0-02e4-11dc-991f-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"4108737","6","7707728","196","1369","3073","2704498","4108737","4108737",Ichnanthus bambusiflorus (Trin.) Döll,Plantae,Tracheophyta,Poales,Poaceae,Ichnanthus,Ichnanthus bambusiflorus,Ichnanthus,bambusiflorus,SPECIES,ACCEPTED,"790","30",SOUTH_AMERICA,São Paulo,"1963","10","16",1963-10-16T00:00:00Z,NA,2021-03-30T11:28:13Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,151c91ba-a521-4735-8c11-5abf8db7fb67,FALSE,WGS84,Liliopsida,BR,none,none,Brazil,NA,http://n2t.net/ark:/65665/341ae6211-eac6-484b-acec-13ea9e2d9f85,"157","Município de São Paulo: Parque do Estado (on old maps ""Parque de Agua Funda""), grounds of the Instituto de Botânica. Ca. 10 km. south and 0.8-1.0km. east of center of São Paulo (Praça da Sé).",NA,NMNH Extant Biology,"3005737776",NA,Botany,http://n2t.net/ark:/65665/341ae6211-eac6-484b-acec-13ea9e2d9f85,PhysicalObject,"2588050",B. V. Skvortzov,US,NA,NA,Ichnanthus bambusiflorus (Trin.) Döll,NA,NA,"1",NA,NA,NA,NA,NA,586ee56e-b0fe-4dff-b7f9-aeb104f3308a,NA,NA,NA,NA,NA,NA,http://biocol.org/urn:lsid:biocol.org:col:34871,NA,"Plantae, Monocotyledonae, Poales, Poaceae, Panicoideae",NA,NA,NA,NA,NA,NA,NA,"289",NA,"289",NA,"South America - Neotropics, Brazil, São Paulo",NA,NA,99d66b6c-9087-452f-a9d4-f15f2c2d0e7e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
