X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,infraspecificEpithet,taxonRank,taxonomicStatus,dateIdentified,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,collectionKey,continent,institutionKey,otherCatalogNumbers,gadm,individualCount,preparations,higherGeography,georeferenceProtocol,dynamicProperties,fieldNumber,higherClassification,fieldNotes,county,accessRights,coordinateUncertaintyInMeters,references,institutionID,verbatimElevation,georeferencedDate,verbatimEventDate,nomenclaturalCode,endDayOfYear,startDayOfYear,collectionID,georeferenceSources,habitat,datasetID,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,nomenclaturalStatus,taxonID,bibliographicCitation,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,coordinatePrecision,verbatimTaxonRank,georeferenceVerificationStatus,identificationID,identificationQualifier,georeferencedBy,http...unknown.org.recordId,rights,http...unknown.org.recordEnteredBy,identificationRemarks,eventRemarks,verbatimLocality,previousIdentifications,reproductiveCondition,projectId,namePublishedInYear,nameAccordingTo,acceptedNameUsage,verbatimCoordinateSystem,locationID,parentNameUsage,typeStatus,georeferenceRemarks,organismID,taxonRemarks,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,typifiedName,iucnRedListCategory,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.012778,-23.230833,"2452711659",Miconia cinerascens Miq.,-23.230833,-45.012778,"gass84,colmafu,inmano",a51fa32f-831d-49d6-8b8a-c7b52ae65b3b,f6e2efc9-42a3-47ea-99c6-3eda8d653cc9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:13:16Z,2021-04-08T12:13:55Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3869874","6","7707728","220","690","6683","3188558","3869874","3869874",Miconia cinerascens Miq.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,NA,SPECIES,ACCEPTED,2019-01-01T00:00:00Z,"1103","0",São Paulo,"2018","3","30",2018-03-30T00:00:00Z,2021-02-11T20:19:56Z,2021-04-08T12:13:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UPCB - Herbário do Departamento de Botânica,BRA:UFPR:UPCB:95099,"1089",Sítio Vivenda das Meninas,Cunha,UPCB - Herbário do Departamento de Botânica,"2452711659",pt,UPCB,BRA:UFPR:UPCB:95099,Collection,"95099","Maruyama, A. | Cicco, L.",UFPR,Universidade Federal do Paraná,"Floresta Aluvial. Arbusto ca. 2,5 m alt. Frutos coloração bege","Goldenberg, R.",Miconia cinerascens Miq.,984ad7e0-f17d-4980-9d12-2c3c9509162e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.501111,-24.005,"2452711885",Miconia cinerascens Miq.,-24.005,-46.501111,"gass84,colmafu,inmano",a51fa32f-831d-49d6-8b8a-c7b52ae65b3b,f6e2efc9-42a3-47ea-99c6-3eda8d653cc9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:13:16Z,2021-04-08T12:13:55Z,"252",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3869874","6","7707728","220","690","6683","3188558","3869874","3869874",Miconia cinerascens Miq.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,NA,SPECIES,ACCEPTED,2019-01-01T00:00:00Z,"14","0",São Paulo,"2017","1","24",2017-01-24T00:00:00Z,2021-02-11T20:19:56Z,2021-04-08T12:13:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UPCB - Herbário do Departamento de Botânica,BRA:UFPR:UPCB:95437,"709",Floresta da Planície Costeira,Praia Grande,UPCB - Herbário do Departamento de Botânica,"2452711885",pt,UPCB,BRA:UFPR:UPCB:95437,Collection,"95437","Maruyama, A. | Cicco, L.",UFPR,Universidade Federal do Paraná,"Restinga Arbórea. Arbusto ca. 2,5 m alt. Frutos imaturos de coloração esverdeada. Folhas discolores","Goldenberg, R.",Miconia cinerascens Miq.,984ad7e0-f17d-4980-9d12-2c3c9509162e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48.476133,-22.204289,"1055835122",Miconia cinerascens Miq.,-22.204289,-48.476133,"gass84,incomis,inmafu",7e380070-f762-11e1-a439-00145eb45e9a,19456090-b49a-11d8-abeb-b8a03c50a862,60277b56-f762-11e1-a439-00145eb45e9a,GB,DWC_ARCHIVE,2021-04-18T11:46:08Z,2021-04-18T12:15:51Z,"227",19456090-b49a-11d8-abeb-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3869874","6","7707728","220","690","6683","3188558","3869874","3869874",Miconia cinerascens Miq.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,NA,SPECIES,ACCEPTED,NA,NA,NA,São Paulo,"2017","10","17",2017-10-17T00:00:00Z,NA,2021-04-18T12:15:51Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,NA,"2496825","727",NA,NA,NA,"1055835122",NA,BOT,851c92b1-6ed3-4c83-8082-0e9f2688af79,NA,BM000949874,Frederico Carlos Hoehne,NHMUK,NA,NA,Mayara K. Caddah,Miconia cinerascens Miq.,NA,SOUTH_AMERICA,1d808a7c-1f9e-4379-9616-edb749ecf10e,NHMUK:ecatalogue:2496825,NA,NA,NA,"South America; Brazil; São Paulo",Google Earth,"{""determinationfiledas"": [""Yes"", ""No""], ""collectionkind"": ""Sheet"", ""gbifissue"": [""GEODETIC_DATUM_ASSUMED_WGS84""], ""created"": 1348827276000, ""gbifid"": 1055835122, ""determinationnames"": [""Miconia cinerascens Miq."", ""Miconia  paulensis Naudin""], ""plantdescription"": ""Arb. de fl. alvas."", ""subdepartment"": ""Gen Herb""}","727",Melastomataceae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.608333,-22.724167,"1424483171",Miconia cinerascens var. cinerascens,-22.724167,-44.608333,"cdround,gass84,rdativ,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:22Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"7932516","6","7707728","220","690","6683","3188558","3869874","7932516",Miconia cinerascens var. cinerascens,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,cinerascens,VARIETY,ACCEPTED,NA,"1785",NA,São Paulo,"2014","6","3",2014-06-03T00:00:00Z,NA,2021-04-06T14:39:22Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:858580,"1333","Na zona de Amortecimento do PARNA Serra da Bocaina, na trilha que se inicia próxima a Pousada Campos da Bocaina em direção a Pedra da Bacia (ou pedra Alta), antes do mirante.",São José do Barreiro,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1424483171",NA,RB,urn:catalog:JBRJ:RB:858580,Physical Object,RB00858580,"J.F.A. Baumgratz; M.G. Bovini et M. Nadruz",JBRJ,NA,"Arvoreta cerca de 1,8 metros de altura, heliófila; ramos, pecíolos, face abaxial das folhas e ramos da frutescência pardacentos a cinéreos; frutos jovens alaranjados a vermelhos, adultos roxos-nigrescentes.",J.F.A. Baumgratz,Miconia cinerascens var. cinerascens,NA,NA,NA,RB 599587,NA,NA,NA,NA,NA,NA,NA,NA,"Floresta Ombrófila Montana e Alto-Montana alteradas, em formação campestre graminóide com arbustos e subarbustos esparsos, sobre latossolo amarelado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.616389,-22.747222,"1424483221",Miconia cinerascens var. cinerascens,-22.747222,-44.616389,"cdround,gass84,rdativ,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:21Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"7932516","6","7707728","220","690","6683","3188558","3869874","7932516",Miconia cinerascens var. cinerascens,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,cinerascens,VARIETY,ACCEPTED,NA,"1475",NA,São Paulo,"2014","6","4",2014-06-04T00:00:00Z,NA,2021-04-06T14:39:21Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:858693,"1347",Estrada Trilha do Ouro.,São José do Barreiro,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1424483221",NA,RB,urn:catalog:JBRJ:RB:858693,Physical Object,RB00858693,"J.F.A. Baumgratz; M.G. Bovini et M. Nadruz",JBRJ,NA,"Arvoreta cerca de 2,5 metros de altura, semi-heliófila; ramos, pecíolos, face abaxial das folhas e ramos da inflorescência pardacentos a cinéreos; folhas discolores, face adaxial verde, brilhosa, face abaxial pardacenta a cinérea; frutos jovens amarelados a alaranjados a vinosos, maduros roxos-nigrescentes.",J.F.A. Baumgratz,Miconia cinerascens var. cinerascens,NA,NA,NA,RB 599631,NA,NA,NA,NA,NA,NA,NA,NA,Em formação de Floresta Ombrófila Densa Montana alterada.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.625,-22.721389,"1424484181",Miconia cinerascens var. cinerascens,-22.721389,-44.625,"cdround,gass84,rdativ,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:34Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"7932516","6","7707728","220","690","6683","3188558","3869874","7932516",Miconia cinerascens var. cinerascens,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,cinerascens,VARIETY,ACCEPTED,NA,"1557",NA,São Paulo,"2014","6","4",2014-06-04T00:00:00Z,NA,2021-04-06T14:39:34Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:860562,"1366",Na zona de Amortecimento do Parque Nacional da Serra da Bocaina.,São José do Barreiro,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1424484181",NA,RB,urn:catalog:JBRJ:RB:860562,Physical Object,RB00860562,"J.F.A. Baumgratz; M.G. Bovini et M. Nadruz",JBRJ,NA,"Arvoretas cera de 2,5-3,0 metros de altura, esciófilas; ramos, pecíolos, face abaxial das folhas e ramos da inflorescência pardacentos a cinéreos; folhas discolores, face adaxial verde, brilhosa, face abaxial pardacenta a cinérea; frutos jovens amarelados a alaranjados a vinosos, maduros roxos-nigrescentes.",J.F.A. Baumgratz,Miconia cinerascens var. cinerascens,NA,NA,NA,RB 600336,NA,NA,NA,NA,NA,NA,NA,NA,"Crescendo na entrada da estrada para Pousada Campos da Bocaina, logo após sair da Trilha do Ouro, na borda de Mata Ombrófila Densa Alto-Montana alterada, no lado esquerdo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.608333,-22.724167,"2252465680",Miconia cinerascens Miq.,-22.724167,-44.608333,"gass84,ambinst,colmafu",d2470ef8-edfa-4ba7-821e-c3e1a537bdba,4265f332-341c-45f6-b30b-5dc2e39b86e8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:19:16Z,2021-04-08T12:21:54Z,"251",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3869874","6","7707728","220","690","6683","3188558","3869874","3869874",Miconia cinerascens Miq.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,NA,SPECIES,ACCEPTED,2014-07-01T00:00:00Z,"1785","0",São Paulo,"2014","6","3",2014-06-03T00:00:00Z,2020-12-11T14:38:22Z,2021-04-08T12:21:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,BHCB - Herbário da Universidade Federal de Minas Gerais,BRA:UFMG:BHCB:195386,"1333","Serra da Bocaina, Na zona de Amortecimento do PARNA, na trilha que se inicia próxima a Pousada Campos da Bocaina em direção a Pedra da Bacia (ou pedra Alta) antes do mirante.",São José do Barreiro,BHCB - Herbário da Universidade Federal de Minas Gerais,"2252465680",pt,BHCB,BRA:UFMG:BHCB:195386,Collection,"195386","Baumgratz, JFA; Bovini, MG; Nadruz, M",Universidade Federal de Minas Gerais,Universidade Federal de Minas Gerais,"Arvoreta, 1,80 m, heliófila; ramos, pecíolos, face abaxial das folhas e ramos da frutescência pardacentos a cinéreos; frutos jovens alaranjados a vermelhos, adultos roxos-nigrescentes.; Floresta Ombrófila Montana e Alto-Montana altera",NA,Miconia cinerascens Miq.,b5e442dc-03c0-45f5-b326-1b481914dfde,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.608333,-22.724167,"2365712227",Miconia cinerascens Miq.,-22.724167,-44.608333,"cdround,gass84,colmano,inmafu",318730e8-4140-4297-b03c-4d34d0b6e0bd,4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,43d575e8-6726-46a9-9464-dca8952b0758,BR,DWC_ARCHIVE,2021-03-27T02:05:00Z,2021-03-30T10:11:05Z,"133",4f1aa16c-ac1f-4e25-95fa-70bd71b7a0b4,PRESERVED_SPECIMEN,PRESENT,"3869874","6","7707728","220","690","6683","3188558","3869874","3869874",Miconia cinerascens Miq.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,NA,SPECIES,ACCEPTED,2014-07-01T00:00:00Z,NA,NA,São Paulo,"2014","6","3",2014-06-03T00:00:00Z,NA,2021-03-30T10:11:05Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,Museu Paraense Emílio Goeldi (MPEG),MG236479,"1333","Na zona de amortecimento do PARNA, serra da Bocaina",NA,NA,"2365712227",NA,HERBMG,MG236479,NA,MG236479,"Baumgraz, J.F.A.; Bovini, M.G.; Nadruz, M.",MPEG,NA,NA,"Baumgratz, J.F.A.",Miconia cinerascens Miq.,NA,SOUTH_AMERICA,bd096872-1315-4d9a-87e9-152e4af6eee9,NA,NA,NA,exsicata,"São Paulo, São José do Barreiro",NA,NA,NA,NA,NA,São José do Barreiro,Creative Commons Attribution Non Commercial (CC-BY-NC) 4.0 License.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.625,-22.721389,"2521072627",Miconia cinerascens var. cinerascens,-22.721389,-44.625,"gass84,colmafu,inmano",1e0f3d99-eb02-4806-b6a4-e903568129ec,b7ea834f-8d60-40ea-ab2c-5057000f0afd,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:27:34Z,2021-04-08T12:27:54Z,"257",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7932516","6","7707728","220","690","6683","3188558","3869874","7932516",Miconia cinerascens var. cinerascens,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,cinerascens,VARIETY,ACCEPTED,2014-07-01T00:00:00Z,"1557","0",São Paulo,"2014","6","4",2014-06-04T00:00:00Z,2021-03-01T14:49:12Z,2021-04-08T12:27:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,UFP - Herbário UFP - Geraldo Mariz,BRA:UFPE:UFP:85328,"1366",NA,São José do Barreiro,UFP - Herbário UFP - Geraldo Mariz,"2521072627",pt,UFP,BRA:UFPE:UFP:85328,Collection,"85328","Baumgratz, JFA; Bovini, MG; Nadruz, M",UFPE,Universidade Federal de Pernambuco,"Arvoretas cerca de 2,5 - 3,0 metros de altura, esciófilas; ramos, pecíolos, face abaxial das folhas e ramos da inflorescência pardacentos a cinéreos; folhas discolores, face adaxial verde, brilhosa, face adaxial verde, brilhosa, face a","et al.; Baumgratz, JFA",Miconia cinerascens var. cinerascens,95fa703f-a328-45a6-8ead-e4fa7042ef2d,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.616389,-22.747222,"3013435572",Miconia cinerascens Miq.,-22.747222,-44.616389,"gass84,colmafu,diffown",3b8e9d83-b2d4-4a97-973c-31d98b67b1e9,ab5c0b99-5af3-4958-b03c-0b7e85481cc1,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:42:12Z,2021-04-08T12:46:29Z,"244",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3869874","6","7707728","220","690","6683","3188558","3869874","3869874",Miconia cinerascens Miq.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia cinerascens,Miconia,cinerascens,NA,SPECIES,ACCEPTED,2017-07-01T00:00:00Z,"1475","0",São Paulo,"2014","6","4",2014-06-04T00:00:00Z,2020-12-21T19:34:33Z,2021-04-08T12:46:29Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,MBM - Herbário do Museu Botânico Municipal,BRA:MBM:MBM:425690,"1347","Parque Nacional da Serra da Bocaina, Estrada da trilha do ouro",São José do Barreiro,MBM - Herbário do Museu Botânico Municipal,"3013435572",pt,MBM,BRA:MBM:MBM:425690,Collection,"425690","Baumgratz, J.F.A.; Nadruz, M.; Bovini, M.G.; Nadruz, M.; Bovini, M.G.",MBM,Museu Botânico Municipal de Curitiba,"Arvoreta cerca de 2,5 metros de altura, semi-heliófila; ramos, pecíolos e ramos da inflorescência pardacentos e cinéreos; folhas verdes discolores face adaxial berde brilhosa e face abaxial pardacenta e cinérea; frutos jovens amarel","Baumgratz, J.F.A.",Miconia cinerascens Miq.,d3b42067-b567-4d47-a136-bb5d52ed32fc,SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
