X,Y,key,scientificName,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,elevation,year,month,day,eventDate,lastInterpreted,license,identifiers,facts,relations,gadm,institutionKey,isInCluster,class,countryCode,recordedByIDs,identifiedByIDs,country,identifier,catalogNumber,recordedBy,institutionCode,locality,gbifID,collectionCode,occurrenceID,name,typeStatus,modified,collectionKey,recordNumber,habitat,georeferenceProtocol,taxonRemarks,occurrenceRemarks,higherClassification,elevationAccuracy,continent,stateProvince,rightsHolder,datasetName,language,type,ownerInstitutionCode,municipality,otherCatalogNumbers,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,references,geodeticDatum,institutionID,preparations,verbatimElevation,georeferencedDate,verbatimEventDate,nomenclaturalCode,endDayOfYear,startDayOfYear,collectionID,georeferenceSources,identificationRemarks,fieldNotes,individualCount,dateIdentified,nomenclaturalStatus,taxonID,bibliographicCitation,identifiedBy,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,higherGeography,dynamicProperties,fieldNumber,verbatimLocality,disposition,accessRights,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.676361,-22.842145,"1927824857",Leandra uliginosa Brade,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:05Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3860759","6","7707728","220","690","6683","3188558","10846763","10846763",Miconia uliginosa (Brade) R.Goldenb.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia uliginosa,Leandra,uliginosa,SPECIES,SYNONYM,"1600","1957","10","10",1957-10-10T00:00:00Z,2021-03-30T13:07:05Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,TRUE,Magnoliopsida,BR,none,none,Brazil,040965bc-d93d-4bd4-b24c-320c5df71c58,"228736",A. C. Brade,NY,Serra de la Bocaina,"1927824857",NY,040965bc-d93d-4bd4-b24c-320c5df71c58,Leandra uliginosa Brade,ISOTYPE,NA,b2190553-4505-4fdd-8fff-065c8ca26f72,"21187","Varzea patanosa, nas toceiras de Cortadeira e Xyridaceae associada com Shagnum","Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,"0",SOUTH_AMERICA,São Paulo,The New York Botanical Garden,Vascular plants,en,PhysicalObject,NA,NA,NA,-22.842145,-44.676361,"16776.57",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761648,WGS84,http://biocol.org/urn:lsid:biocol.org:col:15556,sheet,5249.3 ft,2016-02-09,10 Oct 1957,ICN,"28","28",http://biocol.org/urn:lsid:biocol.org:col:15556,"Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.676361,-22.842145,"1929292544",Leandra uliginosa Brade,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:41Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3860759","6","7707728","220","690","6683","3188558","10846763","10846763",Miconia uliginosa (Brade) R.Goldenb.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia uliginosa,Leandra,uliginosa,SPECIES,SYNONYM,"1600","1957","10","10",1957-10-10T00:00:00Z,2021-03-30T13:06:41Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,TRUE,Magnoliopsida,BR,none,none,Brazil,6bde9108-b0c7-4a09-a473-81e2ca3fcaa9,"1477596",A. C. Brade,NY,Serra da Bocaina,"1929292544",NY,6bde9108-b0c7-4a09-a473-81e2ca3fcaa9,Leandra uliginosa Brade,ISOTYPE,NA,b2190553-4505-4fdd-8fff-065c8ca26f72,21187[= herb. 75917],"Varzea pantanosa, nas touceiras de Cortaderia e Xyridaceae","Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,NA,SOUTH_AMERICA,São Paulo,The New York Botanical Garden,Vascular plants,en,PhysicalObject,NA,NA,NA,-22.842145,-44.676361,"16776.57",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1833715,WGS84,http://biocol.org/urn:lsid:biocol.org:col:15556,sheet,5249 ft,2016-02-09,10 Oct 1957,ICN,"28","28",http://biocol.org/urn:lsid:biocol.org:col:15556,"Google Maps (map data 2016), Manis Georef. Calculator",Basionym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.676361,-22.842145,"1929460460",Leandra uliginosa Brade,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:07:20Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"3860759","6","7707728","220","690","6683","3188558","10846763","10846763",Miconia uliginosa (Brade) R.Goldenb.,Plantae,Tracheophyta,Myrtales,Melastomataceae,Miconia,Miconia uliginosa,Leandra,uliginosa,SPECIES,SYNONYM,"1600","1957","10","10",1957-10-10T00:00:00Z,2021-03-30T13:07:20Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,TRUE,Magnoliopsida,BR,none,none,Brazil,77cefe1d-e4c3-4009-95da-b94d8ef93462,"228737",A. C. Brade,NY,Serra de la Bocaina,"1929460460",NY,77cefe1d-e4c3-4009-95da-b94d8ef93462,Leandra uliginosa Brade,ISOTYPE,NA,b2190553-4505-4fdd-8fff-065c8ca26f72,"21187","Varzea patanosa, nas toceiras de Cortadeira e Xyridaceae associada com Shagnum","Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,"0",SOUTH_AMERICA,São Paulo,The New York Botanical Garden,Vascular plants,en,PhysicalObject,NA,NA,NA,-22.842145,-44.676361,"16776.57",http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=761649,WGS84,http://biocol.org/urn:lsid:biocol.org:col:15556,sheet,5249.3 ft,2016-02-09,10 Oct 1957,ICN,"28","28",http://biocol.org/urn:lsid:biocol.org:col:15556,"Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
