X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,name,dateIdentified,gadm,collectionKey,identifiedBy,elevation,elevationAccuracy,continent,otherCatalogNumbers,fieldNotes,institutionKey,identificationQualifier,habitat,higherGeography,higherClassification,references,verbatimEventDate,institutionID,nomenclaturalCode,endDayOfYear,preparations,startDayOfYear,verbatimElevation,collectionID,county,georeferenceProtocol,eventRemarks,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,individualCount,lifeStage,coordinateUncertaintyInMeters,georeferencedDate,georeferenceSources,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,fieldNumber,verbatimLocality,dynamicProperties,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.221944,-23.955556,"1086903812",Rodriguezia obtusifolia (Lindl.) Rchb.f.,-23.955556,-47.221944,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:45Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5313665","6","7707728","196","1169","7689","2813498","5313665","5313665",Rodriguezia obtusifolia (Lindl.) Rchb.f.,Plantae,Tracheophyta,Asparagales,Orchidaceae,Rodriguezia,Rodriguezia obtusifolia,Rodriguezia,obtusifolia,SPECIES,ACCEPTED,Sp,"2005","8","4",2005-08-04T00:00:00Z,2021-03-04T18:42:07Z,2021-04-08T12:14:45Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Liliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:35127,"905",Parque Estadual de Jurupará,Ibiúna,SPSF - Herbário Dom Bento José Pickel,"1086903812",pt,SPSF,BRA:IF:SPSF:35127,Collection,"35127",F.A.R.D.P.Arzolla & F.E.S.P.Vilela & G.C.R.de Paula,IF,Instituto Florestal,"COLETA: Floresta Ombrófila Densa Montana.&nf;Herbácea; labelo branco; guia de nectário amarelo com traços róseos; demais pétalas brancas e roseas.; GEOGRAFIA: Margem da estrada França-Fumaça; borda de mata.;",Rodriguezia obtusifolia (Lindl.) Rchb.f.,2010-11-30T00:00:00Z,NA,835c4b58-e96d-49cc-b711-0f3de04547c0,L.E.M.Catharino,"600","0",SOUTH_AMERICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.698324,-23.591462,"1928578184",Rodriguezia obtusifolia (Lindl.) Rchb.f.,-23.591462,-46.698324,colmafu,d415c253-4d61-4459-9d25-4015b9084fb0,ae447c50-b8a8-11d8-92a4-b8a03c50a862,17017c2c-036b-45d9-b045-606d21b00771,US,DWC_ARCHIVE,2021-03-29T19:05:10Z,2021-03-30T13:06:26Z,"221",ae447c50-b8a8-11d8-92a4-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5313665","6","7707728","196","1169","7689","2813498","5313665","5313665",Rodriguezia obtusifolia (Lindl.) Rchb.f.,Plantae,Tracheophyta,Asparagales,Orchidaceae,Rodriguezia,Rodriguezia obtusifolia,Rodriguezia,obtusifolia,SPECIES,ACCEPTED,São Paulo,"1931","8","15",1931-08-15T00:00:00Z,NA,2021-03-30T13:06:26Z,http://creativecommons.org/publicdomain/zero/1.0/legalcode,none,none,none,FALSE,WGS84,Liliopsida,BR,none,none,Brazil,The New York Botanical Garden,393f9222-dbec-469e-8128-cd91b0eb6c12,"28138",Cidade Jardim,NA,Vascular plants,"1928578184",en,NY,393f9222-dbec-469e-8128-cd91b0eb6c12,PhysicalObject,"547343",A. Gehrt,NY,NA,NA,Rodriguezia obtusifolia (Lindl.) Rchb.f.,NA,NA,b2190553-4505-4fdd-8fff-065c8ca26f72,F. C. Hoehne,NA,NA,SOUTH_AMERICA,NA,NA,ab83e5ab-f4f7-4c9b-a1d5-eb779dfb9377,NA,Mata de brejo,NA,NA,http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=31962,15 Aug 1931,http://biocol.org/urn:lsid:biocol.org:col:15556,ICN,"22",sheet,"22",NA,http://biocol.org/urn:lsid:biocol.org:col:15556,Sao Paulo,"Georeferencing Quick Reference Guide, Version 2012",NA,NA,NA,NA,"1006.57",2016-03-03,"Google Maps (map data 2016), Manis Georef. Calculator",NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
