X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,elevation,elevationAccuracy,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,occurrenceRemarks,identifiedBy,name,dateIdentified,continent,recordNumber,institutionKey,collectionKey,gadm,otherCatalogNumbers,fieldNotes,references,created,associatedSequences,higherClassification,taxonID,institutionID,county,rights,habitat,verbatimEventDate,nomenclaturalCode,endDayOfYear,preparations,startDayOfYear,verbatimElevation,collectionID,dynamicProperties,http...unknown.org.recordId,http...unknown.org.recordEnteredBy,higherGeography,accessRights,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,individualCount,nomenclaturalStatus,bibliographicCitation,georeferenceProtocol,georeferenceSources,coordinateUncertaintyInMeters,georeferencedDate,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,identificationQualifier,reproductiveCondition,georeferencedBy,georeferenceVerificationStatus,verbatimCoordinateSystem,fieldNumber,verbatimLocality,identificationRemarks,datasetID,identificationID,projectId,namePublishedInYear,nameAccordingTo,acceptedNameUsage,locationID,parentNameUsage,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,typeStatus,typifiedName,organismID,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.545556,-24.157222,"1089115093",Cordia silvestris Fresen.,-24.157222,-47.545556,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:54Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"96","0",São Paulo,"2013","4","2",2013-04-02T00:00:00Z,2021-03-01T19:26:58Z,2021-04-08T12:43:54Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:180731,"Reserva particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da igrejinha.",Tapiraí,UEC - Herbário da Universidade Estadual de Campinas,"1089115093",pt,UEC,BRA:UNICAMP:UEC:180731,Collection,"180731","Bettinardi, ML; Moreno, VS; Girão, VJ; Oliveira, DB; Florido, FG; Braga, DPP",UNICAMP,Universidade Estadual de Campinas,"Arbusto. 1,8m de altura. Fruto baga, com cálice persistente, fruto amarelo, inflorescência espiralada, folha diminuta nas ramificações.","Souza, VC",Cordia silvestris Fresen.,2013-01-01T00:00:00Z,NA,"39",NA,a995cf02-345c-46db-8674-3415572615a6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47,-24,"1424483383",Cordia silvestris Fresen.,-24,-47,"gass84,rdativ,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:34Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"96",NA,São Paulo,"2013","4","2",2013-04-02T00:00:00Z,NA,2021-04-06T14:39:34Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:859044,"Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha.",Tapiraí,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1424483383",NA,RB,urn:catalog:JBRJ:RB:859044,Physical Object,RB00859044,"M.L. Bettinardi; et al",JBRJ,NA,"Arbusto, 1,8m de altura. Fruto baga, com cálice persistente, fruto amarelo, inflorescência espiralada, folha diminuta nas ramificações",V.C. Souza,Cordia silvestris Fresen.,2013-01-01T00:00:00Z,NA,"39",NA,NA,NA,RB 599753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.54551,-24.1571,"2459849490",Cordia silvestris Fresen.,-24.1571,-47.54551,"gass84,ambinst,colmafu",cbf8c968-37d6-45be-bf5c-e22914a384dc,a88bec5c-1cbf-47a2-8c3e-6081804d80a5,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:19:59Z,2021-04-08T12:22:42Z,"210",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"96","0",São Paulo,"2013","4","2",2013-04-02T00:00:00Z,2020-11-04T14:03:30Z,2021-04-08T12:22:42Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,BRA:ESALQ:ESA:128207,"Reserva Particular da Votorantim (CBA). UHE da Barra, UHE Serraria, trilha da Igrejinha",Tapiraí,ESA - Herbário da Escola Superior de Agricultura Luiz de Queiroz,"2459849490",pt,ESA,BRA:ESALQ:ESA:128207,Collection,"128207","Bettinardi, M.L.",Universidade de São Paulo,Universidade de São Paulo,"arbusto. 1,8m de altura. Fruto baga, com cálice persistente, fruto amarelo, inflorescencia espiralada, folha diminuta nas ramificações","Souza, V.C.",Cordia silvestris Fresen.,2013-01-01T00:00:00Z,NA,"39.0",NA,51c61583-68fb-4e49-bc5d-729aa098bc43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.92,-24.18,"2305261561",Cordia silvestris Fresen.,-24.18,-47.92,"cudc,gass84",ad43e954-dd79-4986-ae34-9ccdbd8bf568,ada9d123-ddb4-467d-8891-806ea8d94230,9e4f3516-2b98-4700-a39a-3f109252508c,GB,DWC_ARCHIVE,2019-08-05T13:47:28Z,2021-03-30T12:22:19Z,"128",ada9d123-ddb4-467d-8891-806ea8d94230,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"400",NA,NA,"2012","6","1",2012-06-01T00:00:00Z,2018-10-04T00:00:00Z,2021-03-30T12:22:19Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,NA,MG718628,"Brazil:Parcela permanente 10.24ha, Parque Estadual Carlos Botelho, Sete Barras county, Sao Paulo State",NA,NA,"2305261561",NA,NA,MG718628,NA,NA,R.A.F. Lima,NA,NA,NA,NA,Cordia silvestris Fresen.,NA,NA,NA,NA,NA,NA,NA,NA,http://www.ebi.ac.uk/ena/data/view/MG718628,2018-10-04,MG718628,"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliopsida;eudicotyledons;Gunneridae;Pentapetalae;asterids;lamiids;Boraginales;Cordiaceae;Cordia","2072230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.834444,-23.335556,"1086917072",Cordia silvestris Fresen.,-23.335556,-44.834444,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:46Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"64","11",Sp,"2009","1","7",2009-01-07T00:00:00Z,2021-03-04T18:43:42Z,2021-04-08T12:14:46Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:49042,Parque Estadual da Serra do Mar - Núcleo Picinguaba,Ubatuba,SPSF - Herbário Dom Bento José Pickel,"1086917072",pt,SPSF,BRA:IF:SPSF:49042,Collection,"49042",V.A. Kamimura & M.A.Assis,IF,Instituto Florestal,"COLETA: Árvore nº 0034.; GEOGRAFIA: Localizada ao longo da Trilha do Corisco, no Sertão da Casa da Farinha.&nf;Floresta Ombrófila Densa de Terras Baixas.;",M.A.Assis,Cordia silvestris Fresen.,2009-01-07T00:00:00Z,SOUTH_AMERICA,"07",NA,835c4b58-e96d-49cc-b711-0f3de04547c0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.834444,-23.335556,"1090699123",Cordia silvestris Fresen.,-23.335556,-44.834444,"gass84,txmatfuz,ambinst,colmafu",fdf55163-54d8-4bc7-862d-7e41068589e3,6215eac7-a176-4a7f-9bba-552b3f5ba9a3,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:23:12Z,2021-04-08T12:23:26Z,"257",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"53","0",São Paulo,"2009","1","7",2009-01-07T00:00:00Z,2020-06-15T18:29:37Z,2021-04-08T12:23:26Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,HRCB - Herbário Rioclarense,BRA:UNESP-RC:HRCB:60338,"Núcleo Picinguaba, localizada ao longo da Trilha do Corisco, no Sertão da Casa da Farinha.",Ubatuba,HRCB - Herbário Rioclarense,"1090699123",pt,HRCB,BRA:UNESP-RC:HRCB:60338,Collection,"60338","Kamimura, V.A.",Universidade Estadual Paulista,Universidade Estadual Paulista,Indivíduo nº C 348,"Assis, M.A.",Cordia silvestris Fresen.,NA,NA,"7",NA,fbe9447d-917e-497a-b3c5-090dbeb64222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.343611,-22.791944,"1086910829",Cordia silvestris Fresen.,-22.791944,-44.343611,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:44Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,"1146","0",Sp,"2008","3","28",2008-03-28T00:00:00Z,2021-03-04T18:43:42Z,2021-04-08T12:14:44Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:42269,Estação Ecológica de Bananal,Bananal,SPSF - Herbário Dom Bento José Pickel,"1086910829",pt,SPSF,BRA:IF:SPSF:42269,Collection,"42269",R.T. Polisel & N.M.Ivanauskas & R.P.S.Lattore & E.Rocha,IF,Instituto Florestal,"COLETA: Árvore de 7 m. Frutos alaranjados e imaturos verdes.; GEOGRAFIA: Na porção conhecida como sertão do Barbosa, na beira da estrada.;",L.Rossi,Cordia silvestris Fresen.,2018-06-30T00:00:00Z,SOUTH_AMERICA,"599",NA,835c4b58-e96d-49cc-b711-0f3de04547c0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-45.083511,-23.367009,"1090577151",Cordia silvestris Fresen.,-23.367009,-45.083511,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:51Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,NA,NA,São Paulo,"2007","12","30",2007-12-30T00:00:00Z,2020-02-20T17:37:12Z,2021-03-30T09:40:51Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:50293,"Fazenda Capricórnio, Parcela I (Parque Estadual da Serra do Mar, Núcleo Picinguaba)",Ubatuba,IAC - Herbário do Instituto Agronômico de Campinas,"1090577151",pt,IAC,BRA:IAC:IAC:50293,Collection,"50293","J.A.M.A. Gomes; O.A. Santos; S. Santos & F.J. Benedetti",IAC,Instituto Agronômico de Campinas,"subparcela 6 , indivíduo I 0140","J.A.M.A. Gomes; L.C. Bernacci & R.B. Torres et al.",Cordia silvestris Fresen.,2007-12-30T00:00:00Z,NA,"469",841aebec-2beb-4b59-96f1-fdf9d91ccff8,cb38d6b5-89fd-4aac-9ea7-7d37201df368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48.141944,-25.0775,"1086904877",Cordia silvestris Fresen.,-25.0775,-48.141944,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:44Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,NA,NA,Sp,"2005","3","31",2005-03-31T00:00:00Z,2021-03-04T18:43:42Z,2021-04-08T12:14:44Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:36186,P.E.Jacupiranga,Cananéia,SPSF - Herbário Dom Bento José Pickel,"1086904877",pt,SPSF,BRA:IF:SPSF:36186,Collection,"36186",A.C.C.Destefani,IF,Instituto Florestal,"COLETA: XLS: SPSFNovo; GEOGRAFIA: floresta ombrofila densa baixo montana&nf;;",NA,Cordia silvestris Fresen.,NA,SOUTH_AMERICA,"222",NA,835c4b58-e96d-49cc-b711-0f3de04547c0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48.064444,-25.0025,"1086905055",Cordia silvestris Fresen.,-25.0025,-48.064444,"gass84,colmafu,inmano",16ed67e5-fd70-4fd4-85c3-70ea2da627fe,52603cfd-d564-4e89-a466-5e71813677be,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:14:05Z,2021-04-08T12:14:44Z,"260",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5660678","6","7707728","220","7226464","4923856","2900865","5660678","5660678",Cordia silvestris Fresen.,Plantae,Tracheophyta,Boraginales,Ehretiaceae,Cordia,Cordia silvestris,Cordia,silvestris,SPECIES,ACCEPTED,NA,NA,Sp,"2005","3","29",2005-03-29T00:00:00Z,2021-03-04T18:43:42Z,2021-04-08T12:14:44Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPSF - Herbário Dom Bento José Pickel,BRA:IF:SPSF:36362,"P.E.Jacupiranga, Nucleo Caverna do Diabo",Cananéia,SPSF - Herbário Dom Bento José Pickel,"1086905055",pt,SPSF,BRA:IF:SPSF:36362,Collection,"36362",M.Carboni,IF,Instituto Florestal,"COLETA: XLS: SPSFNovo; GEOGRAFIA: floresta sobre restinga&nf;;",NA,Cordia silvestris Fresen.,NA,SOUTH_AMERICA,"190",NA,835c4b58-e96d-49cc-b711-0f3de04547c0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
