X,Y,key,scientificName,decimalLatitude,decimalLongitude,issues,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,elevation,elevationAccuracy,continent,stateProvince,year,month,day,eventDate,modified,lastInterpreted,license,identifiers,facts,relations,collectionKey,isInCluster,geodeticDatum,class,countryCode,recordedByIDs,identifiedByIDs,country,rightsHolder,identifier,recordNumber,locality,municipality,datasetName,gbifID,language,collectionCode,occurrenceID,type,catalogNumber,recordedBy,institutionCode,ownerInstitutionCode,name,dateIdentified,institutionKey,occurrenceRemarks,identifiedBy,references,verbatimEventDate,institutionID,county,verbatimLocality,higherClassification,collectionID,gadm,individualCount,nomenclaturalStatus,nomenclaturalCode,taxonID,bibliographicCitation,X.99d66b6c.9087.452f.a9d4.f15f2c2d0e7e.,lifeStage,habitat,higherGeography,endDayOfYear,preparations,startDayOfYear,vernacularName,previousIdentifications,datasetID,dynamicProperties,reproductiveCondition,identificationID,fieldNumber,otherCatalogNumbers,organismID,locationID,accessRights,projectId,depth,depthAccuracy,namePublishedInYear,namePublishedIn,nameAccordingTo,acceptedNameUsage,verbatimCoordinateSystem,georeferenceSources,parentNameUsage,verbatimElevation,created,associatedSequences,organismQuantity,organismQuantityType,eventID,http...rs.tdwg.org.dwc.terms.organismQuantity,http...rs.tdwg.org.dwc.terms.organismQuantityType,disposition,verbatimTaxonRank,locationRemarks,X.17abcf75.2f1e.46dd.bf75.a5b21dd02655.,fieldNotes,identificationQualifier,http...unknown.org.recordId,rights,samplingProtocol,coordinateUncertaintyInMeters,georeferencedDate,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,http...unknown.org.recordEnteredBy,eventTime,locationAccordingTo,verbatimSRS,materialSampleID,parentNameUsageID,acceptedNameUsageID,island,georeferenceRemarks,informationWithheld,identificationRemarks,typeStatus,islandGroup,eventRemarks,higherGeographyID,typifiedName,taxonRemarks,recordedByIDs.type,recordedByIDs.value,X.3aee7756.565e.4dc5.b22c.f997fbd7105c.,X.1f2c0cbe.40df.43f6.ba07.e76133e78c31.,identificationVerificationStatus,infraspecificEpithet,latestEraOrHighestErathem,geologicalContextID,latestEonOrHighestEonothem,earliestEonOrLowestEonothem,latestPeriodOrHighestSystem,earliestEraOrLowestErathem,earliestEpochOrLowestSeries,earliestPeriodOrLowestSystem,latestEpochOrHighestSeries,coordinatePrecision,associatedTaxa,identifiedByIDs.type,identifiedByIDs.value,data_cleaning_note,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.971389,-24.065278,"1316183690",Nectandra leucantha Griseb.,-24.065278,-47.971389,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7304159","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,leucantha,SPECIES,SYNONYM,NA,"800","0",NA,São Paulo,"2015","3","23",2015-03-23T00:00:00Z,2021-03-01T19:32:27Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:189080,"307",Parque Estadual Carlos Botelho,São Miguel Arcanjo,UEC - Herbário da Universidade Estadual de Campinas,"1316183690",pt,UEC,BRA:UNICAMP:UEC:189080,Collection,"189080","Silva, BG; Castello, ACD",UNICAMP,Universidade Estadual de Campinas,Nectandra leucantha Griseb.,NA,NA,"Árvore, 6 m de altura e 10,2 cm de DAP; Floresta Ombrófila Densa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-52.883333,-22.583333,"1089272685",Nectandra hihua (Ruiz & Pav.) Rohwer,-22.583333,-52.883333,"gass84,colmafu,inmano",08a179fe-9cd1-4d33-afef-266dd55c59cf,6cfcf69e-9ec1-48e1-be34-5201bdb63bd7,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:11:52Z,2021-04-08T12:12:08Z,"263",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5371733","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,hihua,SPECIES,ACCEPTED,LC,"292","0",NA,Paraná,"2009","9","11",2009-09-11T00:00:00Z,2020-11-04T20:29:13Z,2021-04-08T12:12:08Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,d4c2a220-e300-4ffa-9004-f6d98ac5a9b2,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,HUEM - Herbário UEM,BRA:UEM:HUEM:16369,"2058","Estação Ecológica do Caiuá, Mata do Ribeirão Conceição.",Diamante do Norte,HUEM - Herbário UEM,"1089272685",pt,HUEM,BRA:UEM:HUEM:16369,Collection,"16369","Romagnolo, MB",UEM,Universidade Estadual de Maringá,Nectandra hihua (Ruiz & Pav.) Rohwer,2010-06-23T00:00:00Z,NA,"Arbórea, ca. 6m de altura, flroes de coloração branca, botões de coloração verde, frutos imaturos de coloração verde.; Floresta Estacional Semidicidual.",M.L. Brotto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.726944,-22.640833,"1252620464",Nectandra hihua (Ruiz & Pav.) Rohwer,-22.640833,-44.726944,"gass84,incomis,diffown",1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3,76dbcb10-efc5-4d5f-87a5-bcd409fc92c8,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-25T18:05:03Z,2021-03-30T09:57:30Z,"256",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5371733","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,hihua,SPECIES,ACCEPTED,LC,"813","0",NA,São Paulo,"2008","5","20",2008-05-20T00:00:00Z,2019-11-13T14:21:04Z,2021-03-30T09:57:30Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,NA,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,SPF - Herbário da Universidade de São Paulo,BRA:USP:SPF:200350,"260",Fazenda São Domingos. Acesso pelo km 237 da rodovia dos Tropeiros (SP 068).,Areias,SPF - Herbário da Universidade de São Paulo,"1252620464",pt,SPF,BRA:USP:SPF:200350,Collection,"200350","Freitas, HS",USP,Universidade de São Paulo,Nectandra hihua (Ruiz & Pav.) Rohwer,2009-01-01T00:00:00Z,NA,NA,"Freitas, HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-44.726944,-22.640833,"1424407166",Nectandra hihua (Ruiz & Pav.) Rohwer,-22.640833,-44.726944,"cdround,gass84,ambcol,inmano",4300f8d5-1ae5-49e5-a101-63894b005868,838537fc-4aeb-4980-8b58-97fbdcd1d91a,da7fe11a-b42c-46cb-9e9d-02243edb738a,BR,DWC_ARCHIVE,2021-04-06T14:13:20Z,2021-04-06T14:39:32Z,"343",838537fc-4aeb-4980-8b58-97fbdcd1d91a,PRESERVED_SPECIMEN,PRESENT,"5371733","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,hihua,SPECIES,ACCEPTED,LC,"813",NA,NA,São Paulo,"2008","5","20",2008-05-20T00:00:00Z,NA,2021-04-06T14:39:32Z,http://creativecommons.org/licenses/by/4.0/legalcode,none,none,none,NA,TRUE,WGS84,Magnoliopsida,BR,none,none,Brazil,Rio de Janeiro Botanical Garden,urn:catalog:JBRJ:RB:704339,"260",Fazenda São Domingos. Acesso pelo km 237 da rodovia dos Tropeiros (SP 068).,Areias,RB - Rio de Janeiro Botanical Garden Herbarium Collection,"1424407166",NA,RB,urn:catalog:JBRJ:RB:704339,Physical Object,RB00704339,"H.Serafim; M.F.Santos",JBRJ,NA,Nectandra hihua (Ruiz & Pav.) Rohwer,2009-01-01T00:00:00Z,NA,"Árvore 19m alt., 49 cm de perímetro à altura do peito.",H.Serafim,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,RB 544723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interior de mata.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-48.386111,-24.5675,"1089085749",Nectandra leucantha Griseb.,-24.5675,-48.386111,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:56Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7304159","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,leucantha,SPECIES,SYNONYM,NA,"400","0",NA,Mato Grosso do Sul,"2005","3","28",2005-03-28T00:00:00Z,2021-03-01T19:32:27Z,2021-04-08T12:43:56Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:143863,"168","Parque Estadual do Jacupiranga, Núcleo Caverna do Diabo.",Eldorado,UEC - Herbário da Universidade Estadual de Campinas,"1089085749",pt,UEC,BRA:UNICAMP:UEC:143863,Collection,"143863","Destefani, ACC; Lima, RAF; Vosgueritchian, SB; Jacovac, ACC; Campos-Filho, EM; et al.",UNICAMP,Universidade Estadual de Campinas,Nectandra leucantha Griseb.,2018-09-01T00:00:00Z,NA,"Árvore com botão esverdeado, corola creme e pedúnculo vinho.","Brotto, ML",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-46.381944,-23.405556,"1089107612",Nectandra leucantha Griseb.,-23.405556,-46.381944,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:57Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7304159","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,leucantha,SPECIES,SYNONYM,NA,NA,NA,NA,São Paulo,"1996","4","30",1996-04-30T00:00:00Z,2021-03-01T19:32:27Z,2021-04-08T12:43:57Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:171400,"840","Mata das Sete Cruzes, caminho entre Sao Paulo (Cidade Tiradentes) e Suzano (rio Guaió).",Ferraz de Vasconcelos,UEC - Herbário da Universidade Estadual de Campinas,"1089107612",pt,UEC,BRA:UNICAMP:UEC:171400,Collection,"171400","Garcia, RJF; Pereira, GMP; Ogata, H; Sordi, SJ; Pimentel, CMA",UNICAMP,Universidade Estadual de Campinas,Nectandra leucantha Griseb.,1997-05-22T00:00:00Z,NA,"Árvore, 15 m de altura, botões verdes, flores brancas.","Baitello, JB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-51.5328,-21.4825,"1090558484",Nectandra hihua (Ruiz & Pav.) Rohwer,-21.4825,-51.5328,"gass84,colmafu,inmafu",1064b787-c882-493e-b17d-4ffba363b776,c47cd3b0-2178-4a4b-87a6-740b482970a9,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-03-24T16:45:47Z,2021-03-30T09:40:49Z,"266",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"5371733","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,hihua,SPECIES,ACCEPTED,LC,NA,NA,NA,São Paulo,"1995","9","6",1995-09-06T00:00:00Z,2019-01-25T17:35:12Z,2021-03-30T09:40:49Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,cb38d6b5-89fd-4aac-9ea7-7d37201df368,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,IAC - Herbário do Instituto Agronômico de Campinas,BRA:IAC:IAC:30957,"2068",Estância Boa Esperanca,Dracena,IAC - Herbário do Instituto Agronômico de Campinas,"1090558484",pt,IAC,BRA:IAC:IAC:30957,Collection,"30957",L.C. Bernacci et al.,IAC,Instituto Agronômico de Campinas,Nectandra hihua (Ruiz & Pav.) Rohwer,1998-03-26T00:00:00Z,841aebec-2beb-4b59-96f1-fdf9d91ccff8,NA,J.B. Baitello,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
-47.84175,-24.900806,"1089034025",Nectandra leucantha Griseb.,-24.900806,-47.84175,"gass84,colmafu,inmano",7741a517-ab3d-4b85-ae58-56322e44c8ce,d073b448-6b80-4364-8c38-18d08b88797f,b38ff2b7-c8af-454e-b5af-ee760f0d5bca,BR,DWC_ARCHIVE,2021-04-08T12:41:01Z,2021-04-08T12:43:55Z,"245",8595cd50-87c0-11dc-bb35-b8a03c50a862,PRESERVED_SPECIMEN,PRESENT,"7304159","6","7707728","220","407","6688","3034018","5371733","5371733",Nectandra hihua (Ruiz & Pav.) Rohwer,Plantae,Tracheophyta,Laurales,Lauraceae,Nectandra,Nectandra hihua,Nectandra,leucantha,SPECIES,SYNONYM,NA,NA,NA,NA,São Paulo,"1994","9","6",1994-09-06T00:00:00Z,2021-03-01T19:32:27Z,2021-04-08T12:43:55Z,http://creativecommons.org/licenses/by-nc/4.0/legalcode,none,none,none,a995cf02-345c-46db-8674-3415572615a6,FALSE,WGS84,Magnoliopsida,BR,none,none,Brazil,UEC - Herbário da Universidade Estadual de Campinas,BRA:UNICAMP:UEC:74997,"70","Estrada Cananéia - Pariquera-Açu (via ponte), ca. 19 km de Cananéia.",Cananéia,UEC - Herbário da Universidade Estadual de Campinas,"1089034025",pt,UEC,BRA:UNICAMP:UEC:74997,Collection,"74997","Ferreira, VF; Sanches, CD; Bastos, EB; Gorenstein, MR; Hoffmann, JR",UNICAMP,Universidade Estadual de Campinas,Nectandra leucantha Griseb.,NA,NA,"Árvore, ca. 10 m alt. Frutos verdes, cúpula verde.; Extensa área de transição mata de restinga mata atlântica.","Baitello, JB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,subset a sinonimos da FB2020,"35",São Paulo,SP,Sudeste
