"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","continentOcean","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","typeStatus","phylum","class","order"
"1","2015-07-02 14:03:39-03","JBP","HPL","8343","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","R. Tsuji","2007","04","24","R. Tsuji","1941","2005","09","29","Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2015-07-02 14:42:50-03","JBP","HPL","5312","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","L. Bernacci","2005","10","14","H. Lorenzi","5715","2005","10","14","Brasil","SC","Urubici","Coletado em beira de rodovia próximo as pinturas rupestres, no início da trilha.","-49.61375","-28.027833",NA,NA,"Cervi","49° 36' 49,5 W","28° 01' 40,2 S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2015-07-02 14:03:39-03","JBP","HPL","6440","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","H. Lorenzi","2006","01","11","H. Lorenzi","6042","2006","01","11","Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2015-07-02 14:03:39-03","JBP","HPL","8349","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","R. Tsuji","2007","04","24","R. Tsuji","1935","2005","12","15","Brasil","SP","Nova Odessa","Coletado e cultivado no Instituto Plantarum.","-47.29","-22.77","8440","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-12-21 16:39:19-03","MBM","MBM","299721","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.",NA,NA,NA,"Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","78721","2004","10","17","Brazil","Santa Catarina","Urubici","Bairro Bahia","-49.5917015075684","-28.0149993896484","30102","auto","Cervi",NA,NA,"Southern America","MBM299721","MBM299721",NA,NA,NA,NA,NA,NA,NA
"6","2020-12-21 16:39:19-03","MBM","MBM","386876","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2013","12","03","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10053","2013","11","05","Brazil","Santa Catarina","Urubici","Subida para o Morro da Igreja","-49.488233","-28.055736",NA,NA,"Cervi","-49.488233","-28.055736","Southern America","MBM386876","MBM386876","1155","1155","Trepadeira, flores de pétalas brancas. Filamentos na base roxos, seguidos alvos e 2/3 roxos.",NA,NA,NA,NA
"7","2020-12-21 16:39:19-03","MBM","MBM","386876","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2013","12","03","Cervi, A.C.; Barboza, E.; Cordeiro, J.; Barboza, E.; Cordeiro, J.","10053","2013","11","05","Brazil","Santa Catarina","Urubici","Subida para o Morro da Igreja","-49.488233","-28.055736",NA,NA,"Cervi","-49.488233","-28.055736","Southern America","MBM386876","MBM386876","1155","1155","Trepadeira, flores de pétalas brancas. Filamentos na base roxos, seguidos alvos e 2/3 roxos.",NA,NA,NA,NA
"8","2020-12-21 16:39:19-03","MBM","MBM","305600","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2001","01",NA,"Cervi, A.C.; Hatschbach, G.; Barboza, E.; Hatschbach, G.; Barboza, E.","8111","2000","12","09","Brazil","Santa Catarina","Urubici","Cascata do Avencal","-49.5917015075684","-28.0149993896484","30102","auto","Cervi",NA,NA,"Southern America","MBM305600","MBM305600",NA,NA,"Escandente com flores de pétalas alvas, cinco séries de filamentos lilases, bandeados de branco. Beira do rio; Escandente com flores de pétalas alvas; cinco séries de filamentos lilases bandeados de branco.; Beira do rio.","HOLOTYPE",NA,NA,NA
"9","2020-12-21 16:39:19-03","MBM","MBM","253861","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2004","08","13","Cervi, A.C.; Hatschbach, G.; Barboza, E.; Hatschbach, G.; Barboza, E.","8111","2000","12","09","Brazil","Santa Catarina","Urubici","Cascata do Avencal","-49.5917015075684","-28.0149993896484","30102","auto","Cervi",NA,NA,"Southern America","MBM253861","MBM253861",NA,NA,"Escandente, com flores de pétalas alvas. Quatro séries de filamebtos lilases bandeados de branco. Beira do rio; Escandente com flores de pétalas alvas. Quatro séries de filamentos lilases bandeados de branco.; Beira do rio.","ISOTYPE",NA,NA,NA
"10","2021-02-11 17:21:10-03","UFPR","UPCB","44040","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2001","01",NA,"Cervi, A.C.","8111","2000","12","09","Brasil","Santa Catarina","Urubici","Cascata do Avencal","-49.5917015075684","-28.0149993896484","30102","auto","Cervi",NA,NA,NA,"UPCB0002350","UPCB0002350",NA,NA,"Escandente com flores de pétalas alvas, com cinco séries de filamentos liláses bandeados de branco, na beira do rio..","Isotype",NA,NA,NA
"11","2021-02-11 17:21:10-03","UFPR","UPCB","51099","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2004","11","09","Hatschbach, G.","71591","2000","12","07","Brasil","Santa Catarina","Urubici","Rod. SC 430, 10km S de Vaca Gorda","-49.5917015075684","-28.0149993896484","30102","auto","Cervi",NA,NA,NA,NA,NA,NA,NA,"Escandente, fruto imaturo verde, base de paredão de arenito..",NA,NA,NA,NA
"12","2021-02-11 17:21:10-03","UFPR","UPCB","60756","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2008","01","01","Muller, G.",NA,"2006","09","20","Brasil","Rio Grande do Sul","Morro Reuter","RS 373, pto 33.","-51.0807991027832","-29.5380992889404","12924","auto","Cervi",NA,NA,NA,NA,NA,NA,NA,"Beira da estrada..",NA,NA,NA,NA
"13","2021-02-11 17:21:10-03","UFPR","UPCB","45674","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Bernacci, L.C.","2016","04","20","Hatschbach, G.","72526","2001","11","09","Brasil","Santa Catarina","Urubici","Salto do Rio Vacariano","-49.5917015075684","-28.0149993896484","30102","auto","Cervi",NA,NA,NA,NA,NA,NA,NA,"Escandente. Orla da mata. Alt.: 700m s.n.m..",NA,NA,NA,NA
"14","2021-02-11 17:21:10-03","UFPR","UPCB","63457","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2008","01","01","Cervi, A.C.","9372","2008","11","07","Brasil","São Paulo","Campinas","Unicamp.","-47.060001373291","-22.8999996185303","23900","auto","Cervi",NA,NA,NA,NA,NA,NA,NA,"Flores com sépalas e pétalas vermelhas, corona bandeada de alvo e róseo. Cultivada de estacas..",NA,NA,NA,NA
"15","2019-10-07 09:32:33-03","UEFS","HUEFS","210755","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis",NA,NA,NA,NA,"Cervi, A.C.","10053","2013","11","05","Brasil","Santa Catarina","Urubici","Subida para o Morro da Igreja.","-49.488333","-28.055833",NA,NA,"Cervi","49W29'18''","28S3'21''",NA,"HUEFS0210755","HUEFS0210755","1155","1155",NA,NA,"Angiospermae","Rosanae","Malpighiales"
"16","2020-04-07 16:32:32-03","IAC","IAC","46659","S","Plantae","Passifloraceae-3.Passifloroideae","Passiflora","urubiciensis","Passiflora urubiciensis","H. Lorenzi et al.","2005","10","14","H. Lorenzi; E.F. Souto & L.C. Bernacci","5715","2005","10","14","Brasil","Santa Catarina","Urubici","Beira de rodovia","-49.61375","-28.027833",NA,NA,"Cervi","-49.613750","-28.027833",NA,NA,NA,NA,NA,"28o 01#?# 40.2S, 49o 36#?# 49.5W",NA,NA,NA,NA
"17","2020-04-07 16:32:32-03","IAC","IAC","46749","S","Plantae","Passifloraceae-3.Passifloroideae","Passiflora","urubiciensis","Passiflora urubiciensis","L.C. Bernacci","2005","11","22","L.C. Bernacci","4057","2005","11","22","Brasil","São Paulo","Nova Odessa","Instituto Plantarum","-47.2958","-22.7775",NA,NA,"Cervi","-47.2958","-22.7775",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-19 17:33:22-03","UEL","FUEL","56216","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, AC","2013","12","03","Cervi, AC; Barboza, E; Cordeiro, J","10053","2013","11","05","Brasil","Santa Catarina","Urubici","subida para o Morro da Igreja","-49.488333","-28.055833",NA,NA,"Cervi","-49.488333","-28.055833",NA,"FUEL056216",NA,"1155","1155",NA,NA,"Tracheophyta",NA,"Malpighiales"
"19","2019-11-01 15:07:42-03","UnB","UB",NA,"PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, AC","2013","12","03","Cervi, AC; Barboza, E; Cordeiro, J","10053","2013","11","05","Brasil","Santa Catarina","Urubici","Subida para o Morro da Igreja","-49.488333","-28.055833",NA,NA,"Cervi","-49.488333","-28.055833","Southern America",NA,NA,"1155","1155","Trepadeira, flores de pétalas brancas. Filamentos na base roxa, seguidos alvos e 2/3 roxos.",NA,"Dicotyledoneae",NA,NA
"20","2020-08-20 14:57:26-03","UFSC","FLOR","54854","PreservedSpecimen","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, A.C.","2013","12","03","Cervi, A.C.; Barboza, E. & Cordeiro, J.","10053","2013","11","05","Brasil","Santa Catarina","Urubici","subida para o Morro da Igreja.","-49.488333","-28.055833",NA,NA,"Cervi","49º29'18''W","28º3'21''S",NA,"FLOR0054854",NA,"1155","1155","trepadeira, flores de pétalas brancas, filamentos na base roxos, seguidos alvos e 2/3 roxos",NA,NA,NA,"Malpighiales"
"21","2021-02-08 12:44:35-03","UFRGS","ICN","152310","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, AC",NA,NA,NA,"Lorenz, A; Mäder, G; Fregonezi, J","s.n.","2006","09","29","Brasil","RS","Morro Reuter",NA,"-51.0807991027832","-29.5380992889404","12924","auto","Cervi",NA,NA,"América do Sul","ICN00012603","ICN00012603",NA,NA,"Beira de estrada, pto 28, -29°30'19, -51°03'48",NA,"Dicotyledon",NA,NA
"22","2021-02-08 12:44:35-03","UFRGS","ICN","152309","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, AC",NA,NA,NA,"Lorenz, A; Mäder, G; Fregonezi, J","s.n.","2006","09","29","Brasil","RS","Morro Reuter",NA,"-51.0807991027832","-29.5380992889404","12924","auto","Cervi",NA,NA,"América do Sul","ICN00012604","ICN00012604",NA,NA,"Beira de estrada, pto 28, -29°30'19, -51°03'48",NA,"Dicotyledon",NA,NA
"23","2021-02-08 12:44:35-03","UFRGS","ICN","152308","S","Plantae","Passifloraceae","Passiflora","urubiciensis","Passiflora urubiciensis","Cervi, AC",NA,NA,NA,"Lorenz, A; Ramos, A; Mäder, G","s.n.","2006","09","20","Brasil","RS","Morro Reuter",NA,"-51.0807991027832","-29.5380992889404","12924","auto","Cervi",NA,NA,"América do Sul","ICN00012607","ICN00012607",NA,NA,"Beira de estrada, pto 33, -29°31'58, -51°02'25",NA,"Dicotyledon",NA,NA
