"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","locality","verbatimLongitude","verbatimLatitude","imagecode","individualCount","class","order","minimumElevationInMeters","maximumElevationInMeters","preparationType","fieldNumber"
"1","2021-03-30 12:35:18-03","EAO","IAN","90687","PreservedSpecimen","Plantae","Dicotiledônea","Asteraceae","Wedelia","macedoi","Wedelia macedoi","H. Rob.","Bringel, JB","2011","08","isotipo","Macêdo, A","4234","1956","02","02","Southern America","Brasil","Minas Gerais","Araxá","-46.940601348877","-19.5932998657227","29994","Campestre prostrata, amarelas.","IAN090687","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-01 16:26:12-03","UNICAMP","UEC","117130","S","Plantae","Magnoliopsida","Asteraceae","Wedelia","macedoi","Wedelia macedoi","H.Rob.","Batalha, MA","2000","09",NA,"Batalha, MA","2088","1998","11","01",NA,"Brazil","Goiás","Chapadão do Céu","-52.65","-17.816667",NA,"Herb., 0,2 m altura. Flore amarelas.; Em campo sujo.","UEC130269",NA,"Municípios de Chapadão do Céu e Mineiros, Parque Nacional das Emas.","-52.65","-17.816667","UEC130269",NA,NA,NA,NA,NA,NA,NA
"3","2021-03-01 16:26:12-03","UNICAMP","UEC","111877","S","Plantae","Magnoliopsida","Asteraceae","Wedelia","macedoi","Wedelia macedoi","H.Rob.","Nakajima, JN","1998",NA,NA,"Nakajima, JN; Romero, R; Farinaccio, MA; Roque, N","2908","1997","10","17",NA,"Brazil","Minas Gerais","São Roque de Minas","-46.3657989501953","-20.2453002929688","57119","Herbáceo ca. 0,25 m. Brácteas erverdeadas. Corola e ramos do estilete amarelados. Anteras nigrescentes.; Campo limpo em borda de cerrado, 2 meses após queimada.","UEC130270","auto","Guarita de Sacramento, ca. 3 km em direção a São Roque de Minas, Parque Nacional da Serra da Canastra.",NA,NA,"UEC130270",NA,NA,NA,NA,NA,NA,NA
"4","2009-06-30 11:05:00-03","MO","MOBOT","100197544","PreservedSpecimen","Plantae",NA,"Asteraceae","Wedelia","macedoi","Wedelia macedoi","H. Rob.","J.N. Nakajima",NA,NA,NA,"R. Romero|J.N. Nakajima","Romero 1427","1994","12","6","South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"Próximo da guarita de Sacramento, Parna Serra da Canastra, Sacramento.",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA
"5","2020-09-12 05:00:02-03","US","US","2249168","PreservedSpecimen","Plantae",NA,"Asteraceae","Wedelia","macedoi","Wedelia macedoi","H. Rob.",NA,NA,NA,"Holotype","A. Macedo","4234","1956","2","2","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US00385751",NA,"Mun. Araxa.",NA,NA,"US00385751_01","1","Dicotyledonae","Asterales",NA,NA,NA,NA
"6","2020-09-12 05:00:02-03","US","US","3492002","PreservedSpecimen","Plantae",NA,"Asteraceae","Wedelia","macedoi","Wedelia macedoi","H. Rob.",NA,NA,NA,NA,"R. Romero, J. N. Nakajima, A. Furlan & F. C. Garcia","1172","1994","10","14","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US01764629",NA,"Proximo a guarita de Sacramento, Parna Serra da Canastra, Sacramento",NA,NA,"US01764629_01","1","Dicotyledonae","Asterales",NA,NA,NA,NA
"7","2020-09-12 05:00:02-03","US","US","3492001","PreservedSpecimen","Plantae",NA,"Asteraceae","Wedelia","macedoi","Wedelia macedoi","H. Rob.",NA,NA,NA,NA,"R. Romero, J. N. Nakajima, E. Zanini & D. Simao","3070","1995","11","18","South America - Neotropics","Brazil","Minas Gerais",NA,NA,NA,NA,NA,"US01764628",NA,"Guarita de Sacramento, Sao Roque de Minas",NA,NA,"US01764628_01","1","Dicotyledonae","Asterales",NA,NA,NA,NA
"8","2020-09-02 16:21:49-03","Cenargen","CEN","104281","PreservedSpecimen","Plantae",NA,"Asteraceae","Wedelia","macedoi","Wedelia macedoi","H.Rob.","J. B. Bringel","2014","11",NA,"João Bernardo de Azevedo Bringel Jr.","1091","2014","11","28",NA,"Brasil","MG","SAO ROQUE DE MINAS","-46.745555","-20.144722",NA,NA,"CEN00104281",NA,"PARNA da Serra da Canastra, estrada de Sacramento para São Roque.","-46.745555","-20.144722","CEN00104281","3",NA,NA,"1350","1350","Exsicatas",NA
"9","2020-09-02 16:21:49-03","Cenargen","CEN","79255","PreservedSpecimen","Plantae",NA,"Asteraceae","Wedelia","macedoi","Wedelia macedoi","H.Rob.","J. N. Nakagima","1999","12",NA,"Ana Maria Giulietti",NA,"1994","01","12",NA,"Brasil","MG","SAO ROQUE DE MINAS","-46.3657989501953","-20.2453002929688","57119","Invólucro verde com base amarelada.","CEN00079255","auto","Cerca de 1 km da cidade, em direção à Serra da Canastra.",NA,NA,"CEN00079255","1",NA,NA,NA,NA,"Exsicatas",NA
"10","2018-05-14 16:52:00-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta","Asteraceae","Wedelia","macedoi","Wedelia macedoi",NA,"RRC ID Flag",NA,NA,NA,"R. Romero","1427","1994","12","6","South America","Brazil","Minas Gerais",NA,"-44","-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"1427"
