"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","class","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","656376","PreservedSpecimen","Plantae","Magnoliophyta","Solanales","Solanaceae","Petunia","spathulata","Petunia spathulata","L.B.Sm. & Downs","M. R. Figueroa Romero","G. G. Hatschbach","27538","1971","10","16","South America","Brazil","Santa Catarina","Laguna","-48.781687","-28.480425","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=289951' target='other'> <mi>dwc_moreinfo</mi></a>","NY00656376","NY00656376_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-04 11:20:00-03","ESALQ","ESA","87703","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Solanaceae","Petunia","spathulata","Petunia spathulata","L.B.Sm. & Downs.","Stehmann, J.R.","Mattos, J.","11958.0","1964","11","09",NA,"Brasil","Santa Catarina","Mattos Costa","-51.1483001708984","-26.4731006622314",NA,NA,"ESA087703","ESA087703","1995","08","09","17656","auto",NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-11-21 14:46:04-03","UFJF","CESJ","32336","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","J.R. Stehmann","J.R. Stehmann; A.Ippolito","1671","1995","12","03","América do Sul","Brasil","Paraná","Matos Costa",NA,NA,NA,"Planta prostada, radicante, formando tapete na beira da estrada; flores com corola com limbo magenta, fauce amarela, reticulada.","CESJ032336",NA,NA,NA,NA,NA,NA,"estrada entre PR 153, M.Costa, no alto da Serra, ca. de 3-4 Km antes de Mato Costa.",NA,NA,NA,NA,NA,NA,NA
"4","2019-11-21 14:46:04-03","UFJF","CESJ","32338","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","J.R. Stehmann","J.R. Stehmann; A.Ippolito","1672","1995","12","03","América do Sul","Brasil","Paraná","Matos Costa",NA,NA,NA,"Planta prostada, radicante, formando tapete na beira da estrada; flores com corola com limbo magenta, fauce amarela, reticulada.","CESJ032338",NA,NA,NA,NA,NA,NA,"estrada entre PR 153 M.Costa, na subida da serra.",NA,NA,NA,NA,NA,NA,NA
"5","2019-11-21 14:46:04-03","UFJF","CESJ","32337","PreservedSpecimen","Plantae","Angiosperma",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","J.R. Stehmann","J.R. Stehmann; A.Ippolito","1679","1995","12","03","América do Sul","Brasil","Paraná","Bituruna","-51.5525016784668","-26.1613998413086",NA,"Planta prostada, radicante, formando tapete na beira da estrada; flores com corola com limbo magenta, fauce amarela, reticulada.","CESJ032337",NA,NA,NA,NA,"30743","auto","na estrada PR 170",NA,NA,NA,NA,NA,NA,NA
"6","2021-03-01 16:41:25-03","UNICAMP","UEC","65923","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","Stehmann, JR","Hatschbach, G","30699","1972","11","09",NA,"Brazil","Paraná","General Carneiro","-52.620833","-15.270861",NA,"Reptante, radicante, flor purpúrea.; Lajeados(campo pedregoso).","UEC074280","UEC074280","1996","12",NA,NA,NA,NA,"-52.620833","-15.270861",NA,NA,NA,NA,NA
"7","2021-03-01 16:41:25-03","UNICAMP","UEC","66149","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","Stehmann, JR","Stehmann, JR; Dutilh, JHA; Sciamarelli, A","1180","1993","12","04",NA,"Brazil","Paraná","Ibituruna",NA,NA,NA,"Erva, ramosa, ramos prostrados; corola maravilha, internamente amarela, reticulada.; Acostamento da estrada.","UEC074277","UEC074277",NA,NA,NA,NA,NA,"Estrada Ibituruna -> BR 153 (20km antes da BR) - DER 19.",NA,NA,NA,NA,NA,NA,NA
"8","2021-03-01 16:41:25-03","UNICAMP","UEC","78198","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","Stehmann, JR","Stehmann, JR; Ippolito, A","1679","1995","12","03",NA,"Brazil","Paraná","Ibituruna",NA,NA,NA,"Planta prostrada, radicante, formando tapete na beira da estrada; flores com corola limbo magenta, fauce amarela, reticulada.; Beira da estrada.","UEC074275","UEC074275",NA,NA,NA,NA,NA,"Na estrada PR170.",NA,NA,NA,NA,NA,NA,NA
"9","2021-03-01 16:41:25-03","UNICAMP","UEC","78199","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","Stehmann, JR","Stehmann, JR; Ippolito, A","1678","1995","12","03",NA,"Brazil","Paraná","Ibituruna",NA,NA,NA,"Planta prostrada, radicante, formando tapete na beira da estrada; flores comcorola com limbo magenta, fauce amarela, reticulada.; Beira de estrada.","UEC074279","UEC074279",NA,NA,NA,NA,NA,"Na estrada PR170.",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:41:25-03","UNICAMP","UEC","78207","S","Plantae","Magnoliopsida",NA,"Solanaceae","Calibrachoa","spathulata","Calibrachoa spathulata","(L.B.Sm. & Downs) Stehmann & Semir","Stehmann, JR","Stehmann, JR; Ippolito, A","1675","1995","12","03",NA,"Brazil","Santa Catarina","Matos Costa","-51.1483001708984","-26.4731006622314",NA,"Planta prostrada, radicante, formando tapete na beira da estrada; flores com corola com limbo branco, fauce amarela, reticulada.; Beira de estrada.","UEC074274","UEC074274",NA,NA,NA,"17656","auto","Estrada entre PR153 - M. Costa, na subida da serra.",NA,NA,NA,NA,NA,NA,NA
