"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","individualCount","fieldNumber","class","relatedCatalogItem"
"1","2021-03-15 16:37:00-03","NY","NYBG","00972870","PreservedSpecimen","Plantae","Magnoliophyta","Ericales","Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","B. A. S. Pereira","B. A. S. Pereira","3419","1997","10","09","South America","Brazil","Tocantins","Taguatinga","Córrego que tem nascente no lugar denominado Azuis, na estrada Taguatinga do Tocantins/Aurora do Norte.","-46.5","-12.33","600","600","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1131524' target='other'> <mi>dwc_moreinfo</mi></a>","NY00972870","NY00972870_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-02-08 11:08:04-03","UNESP-IBB","BOTU","30805","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.",NA,"Costa, I.B.C.","4","2014","02","26",NA,"Brasil","Mato Grosso","Cuiabá","Baixada Cuiabana, comunidade rural dos couros","-55.583333","-15.5",NA,NA,NA,NA,"BOTU030805",NA,"55°35'w","15°30's",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2019-09-10 21:42:49-03","UNEMAT","TANG","6039","S","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","Bezerra, AS","Bezerra, AS; Souza Neto, L; Lessa, JEL","39","2017","04","11",NA,"Brasil","Mato Grosso","Itaúba","Resgate de flora da UHE Colíder., Floresta do Planalto dos Parecis, região de ecótono entre a Floresta Amazônica e Cerrado.","-55.642267","-10.957397","267","267",NA,NA,"TANG000006039",NA,"-55.642267","-10.957397","2017","04","11",NA,NA,NA,NA,NA,NA
"4","2019-10-09 11:13:41-03","UFBA","ALCB","80180","PreservedSpecimen","Plantae","Dicotyledon",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart.","Guedes, ML","Guedes, ML; Valadão, RM; Carvalho, G; Gomes, FS","13715","2007","08","29","Southern America","Brasil","Bahia","Cocos","Oeste, Caminho para o rio Itaguari.","-44.533333","-13.4",NA,NA,NA,"de ca 5 m de altura. Folhas membranáceas, quando jovens, ferrugíneas. Botões esverdeados, vilosos.",NA,NA,"-44.533333","-13.4","2007","09",NA,NA,NA,NA,NA,NA,NA
"5","2020-11-04 11:06:13-03","ESALQ","ESA","69414","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart.","Stella, A.","Oliveira, A.A.; Baptista, V.R.; Forster, W.; Ferreira, L.; Cielo Filho, R.; Zidko, A.; Mendonça, C.G.","3672.0","2000","04","23",NA,"Brasil","São Paulo","São Sebastião","Praia da Baleia. R. Olavo Pazzanesi, 100 m da antiga Rio-Santos, remanescente margeando loteamentos. 10 m.s.m. Interior de Floresta de Restinga - Caixetal, com perturbação.","-453.954","-234.627",NA,NA,NA,"Árvore ca. 4 m alt.","ESA069414","ESA069414","-453,954","-234,627",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-11-04 11:06:13-03","ESALQ","ESA","4633","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis",NA,NA,"Catharino, E.L.M.","340.0","1985","08","16",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"ESA004633","ESA004633",NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA
"7","2020-11-04 11:06:13-03","ESALQ","ESA","30898","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis",NA,NA,"Leitão Filho, H.F. et al.","34714.0","1996","01","30",NA,"Brasil","São Paulo","Ubatuba",NA,"-45.0699996948242","-23.4300003051758",NA,NA,NA,NA,"ESA030898","ESA030898",NA,NA,NA,NA,NA,"34265","auto",NA,NA,NA,NA
"8","2020-11-04 10:55:25-03","ESALQ","ESA","134428","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","Pansonato, M.P.",NA,"255.0","2013","01","25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Floresta de Restinga Alta, fragmento no Bairro Gaivotas. Árvore da fitossociologia placa no. 16925. Altura: 6m","ESA134428",NA,"23.38.25",NA,"2014",NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-11-04 11:06:13-03","ESALQ","ESA","4634","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis",NA,NA,"Catharino, E.L.M.","824.0","1986","06","13",NA,"Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,NA,"ESA004634","ESA004634",NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA
"10","2020-11-04 11:06:13-03","ESALQ","ESA","29561","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart.","Ivanauskas, N.M.","Ivanauskas, N.M.","908.0","1995","11","23",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA029561","ESA029561",NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"11","2020-11-04 11:06:13-03","ESALQ","ESA","29590","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart.","Ivanauskas, N.M.","Ivanauskas, N.M.","1102.0","1995","11","22",NA,"Brasil","São Paulo","Pariquera-Açu",NA,"-47.8800010681152","-24.7099990844727",NA,NA,NA,NA,"ESA029590","ESA029590_1 ESA029590_2",NA,NA,NA,NA,NA,"17990","auto",NA,NA,NA,NA
"12","2015-07-02 14:01:39-03","JBP","HPL","2933","S","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","H. Lorenzi","H. Lorenzi","1419","1994","03","21",NA,"Brasil","MG","Campina Verde","Estrada de terra para São Francisco de Paulaa uns 40km, em cerradão próximo a um córrego.","-49.4864","-19.5356",NA,NA,NA,NA,NA,NA,NA,NA,"1994","03","21","79993","auto",NA,NA,NA,NA
"13","2015-07-02 14:01:39-03","JBP","HPL","9094","S","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","H. Lorenzi","H. Lorenzi","134","1992","09","16",NA,"Brasil","SP","Votuporanga","Coletado na estrada entre Votuporanga sentido Cardoso (estrada lateral)","-49.97","-20.42",NA,NA,NA,NA,NA,NA,NA,NA,"1992","09","16","20562","auto",NA,NA,NA,NA
"14","2015-07-02 14:01:39-03","JBP","HPL","9088","S","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","H. Lorenzi","H. Lorenzi","140","1992","11","19",NA,"Brasil","SP","Votuporanga","Coletado na estrafa para Cardoso.","-49.97","-20.42",NA,NA,NA,NA,NA,NA,NA,NA,"1992","11","19","20562","auto",NA,NA,NA,NA
"15","2021-03-24 17:09:01-03","UFES","SAMES","3711","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.",NA,"Jesus,L.M.; Coelho,R.;Folli,D.","26","2014","06","27",NA,"Brasil","Espírito Santo","Linhares","Comboios. Floresta de restinga holocênica, sobre cordões arenosos na zona de amortecimento da Rebio de Comboios.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Habito: Arbusto","SAMES03711",NA,NA,NA,NA,NA,NA,"48094","auto",NA,NA,NA,NA
"16","2021-04-07 11:43:02-03","UFMS","CGMS","58676","PreservedSpecimen","Plantae",NA,NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","A. Pott","A. Pott; V.J. Pott","14170","2006","09","08",NA,"Brasil","Mato Grosso do Sul","Corumbá","Sede da ex-Fazenda Esperança, Parque Estadual do Rio Negro.","-56.6066667","-19.4263889",NA,NA,NA,"Flor esverdeado clara. Fruto ausente. Habitat: Vegetação secundária inicial em antiga pastagem cultivada. Solo arenoso. Relevo plano convexo. Ocasional. Habito: Arbusto. 0,6-1,0m de altura.","CGMS1088591",NA,"-56,6066667","-19,4263889",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-01 16:28:56-03","UNICAMP","UEC","116112","S","Plantae","Magnoliopsida",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","Stella, A","Oliveira, AA; Baptista, VR; Foster, W; Ferreira, L; Cielo-Filho, R; Zidko, A","3672","2000","04","23",NA,"Brazil","São Paulo","São Sebastião","Praia da Baleia. R. Olavo Pazzanesi, 100 m da antiga Rio-Santos, remanescente margeando loteamentos.","-45.665083","-23.774361","10","10",NA,"Árvore ca. 4 m de altura.; Interior da mata. Floresta de Restinga - Caixetal, com perturbação.","UEC077882","UEC077882","-45.665083","-23.774361","2000","04",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-01 16:28:56-03","UNICAMP","UEC","67379","S","Plantae","Magnoliopsida",NA,"Ebenaceae","Diospyros","brasiliensis","Diospyros brasiliensis","Mart. ex Miq.","Santos, MF","Leite, EC; et al.","30169","1993","11","13",NA,"Brazil","São Paulo","Ubatuba","Núcleo de Pincinguaba (sede).","-44.833333","-23.35",NA,NA,NA,"Árvore de 4 m, flores esverdeadas.","UEC077888","UEC077888","-44.833333","-23.35","2007",NA,NA,NA,NA,NA,NA,NA,NA
