"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","day","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","typeStatus","fieldNumber","individualCount"
"1","2021-03-15 16:37:00-03","NY","NYBG","477661","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Collector info in notes","21274","1952","11","South America","Brazil","Rio de Janeiro","Itatiaia","Itataia","-44.617038","-22.371537","2400","2400","sheet","Colletors: Mgf. et Brade <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477661","NY00477661_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","477660","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","G. Eiten","6579","1965","11","South America","Brazil","Rio de Janeiro","Resende","Mt. Itatiáia. planalto","-44.4467010498047","-22.468900680542","2300","2300","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=76662' target='other'> <mi>dwc_moreinfo</mi></a>","NY00477660","NY00477660_01","J. J. Wurdack","04","36089","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-11-13 09:20:13-03","UFRJ","RFA","23023","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","F. Segadas-Vianna",NA,"1943","06",NA,"Brasil","Rio de Janeiro","Itatiaia","Caminho das Prateleiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Espécie nativa do Itatiaia","RFA45262",NA,"R.A.M. Tavares & J.F.A. Baumgratz",NA,"19648","auto","2005",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-13 09:20:13-03","UFRJ","RFA","22995","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","F. Segadas-Vianna",NA,"1943","06",NA,"Brasil","Rio de Janeiro","Itatiaia","Macieiras","-44.5633010864258","-22.4960994720459",NA,NA,NA,"Espécie nativa do Itatiaia","RFA45263",NA,"A. Curt Brade","23","19648","auto","1943","08","10",NA,NA,NA,NA,NA,NA
"5","2020-02-08 10:02:15-03","NBC","NL-BOTANY","L.1086369","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Markgraf F; Brade AC",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1086369 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1086369","NL-L1086369",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"6","2020-02-08 10:02:15-03","NBC","NL-BOTANY","L.1086368","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Markgraf F; Brade AC",NA,NA,NA,"Southern America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1086368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1086368","NL-L1086368",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"7","2020-02-08 10:02:15-03","NBC","NL-BOTANY","U.1385474","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Eiten G; Eiten LT",NA,"1965","11","Southern America","Brazil",NA,NA,"State of Rio de Janeiro. Muncipio de Resende. Mt. Itataia, planalto, East slope of south end of rock outcrop, 'Prateleira'.","-43.341667","-22.425",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1385474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1385474","NL-U1385474",NA,"04",NA,NA,NA,NA,NA,"Magnoliopsidae","-43.341667","-22.425",NA,NA,NA
"8","2020-12-20 21:18:17-03","UFV","VIC","53418","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","Baumgratz, J.F.A.; Bovini, M.G.; Nadruz, M.","1350","2014","06",NA,"Brasil","São Paulo","São José do Barreiro","P.N. da Serra da Bocaina","-44","-22","1469","1469",NA,"Arbusto com 1m de altura, frutos maduros castanhos.","VIC053418",NA,"Baumgratz, J.F.A.","04",NA,NA,"2014","07",NA,NA,"-44","-22",NA,NA,NA
"9","2019-11-21 14:39:22-03","UFJF","CESJ","56820","PreservedSpecimen","Plantae","Angiosperma",NA,"Melastomataceae","Behuria","parvifolia","Behuria parvifolia","Cogn.","L. Menini Neto; F.R.G. Salimena; P.H. Nobre","899","2010","09","América do Sul","Brasil","Minas Gerais","Aiuruoca","Parque Estadual da Serra do Papagaio, Trilha para o Retiro dos Pedros. UTM (23K), 0532265, 7561263. 2134 m.s.m.","-44.603099822998","-21.9755992889404",NA,NA,NA,"Arbusto, ca. 1m alt., no campo. Folhas discolores, flores alvas, matizadas e róseo, anteras amarelas.","CESJ056820",NA,"L.L. Justino","24","27460","auto","2013","04",NA,NA,NA,NA,NA,NA,NA
"10","2021-03-01 16:33:58-03","UNICAMP","UEC","203220","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Huberia","minutifolia","Huberia minutifolia","Bochorny & R.Goldenb.","Bochorny, T; Bacci, LF","161","2015","10",NA,"Brazil","Rio de Janeiro","Itatiaia","Parque Nacional do Itatiaia","-44.633056","-22.369167","2280","2280",NA,"Arbusto, 2m botões rosados, flores com pétalas brancas e estames amarelos, frutos secos.","UEC169549","UEC169549","Bochorny, T","10",NA,NA,"2019","10",NA,NA,"-44.633056","-22.369167",NA,NA,NA
