"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","infraspecificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","continentOcean","country","stateProvince","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","locality","phylum","recordNumber","decimalLongitude","decimalLatitude","minimumElevationInMeters","scientificNameAuthorship","verbatimLongitude","verbatimLatitude","county","maximumElevationInMeters","fieldNumber","preparationType","individualCount","coordinatePrecision","geoFlag"
"1","2020-02-08 09:15:18-03","NBC","NL-BOTANY","L.3977498","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Vicia","pampicola","pampicola","Vicia pampicola pampicola","Hechenleitner P","2015","08","19","Pedersen TM","1977","10","05","Southern America","Argentina","Entre Rios","L 0837511","Grassland on rather low ground, with short grass.<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3977498 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3977498","NL-L3977498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 09:15:18-03","NBC","NL-BOTANY","U.1607647","PreservedSpecimen","Plantae","Magnoliopsidae","Fabales","Leguminosae-Pap.","Vicia","pampicola","pampicola","Vicia pampicola pampicola","Hechenleitner P",NA,NA,NA,"Jörgensen","1915","12","10","Southern America","Argentina","Catamarca","U 0256721","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1607647 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1607647",NA,"El Bandado.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0066995","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Vanni",NA,NA,NA,"E. I. Meza Torres; C. Macluf, W. A. Medina, L. M. I. Chalup","2009","1","22",NA,"Argentina","Tierra del Fuego",NA,"Flores con tonos lilas.",NA,NA,"Rio Grande. Ruta nacional 3, Bahía San Sebastián, aproximadamente a 578 m al N del empalme con la Ruta provincial 1, entre la ruta y el litoral marino.","Magnoliophyta","1077","-68.45986","-53.29536","22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-01 16:31:29-03","UNICAMP","UEC","133014","S","Plantae",NA,NA,"Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Cocucci, AA","2003",NA,NA,"Cocucci, AA; Sérsic, AN; Flügge, A","2003","01","11",NA,"Argentina","Mendonza",NA,"Flor branca algo lilácea.",NA,NA,"Dpto. Luján de Cuyo., Vallecitos cerca del refugio Edelweiss.","Magnoliopsida","2213","-69.3555","-32.980083",NA,"Burkart","-69.3555","-32.980083",NA,NA,NA,NA,NA,NA,NA
"5","2020-10-14 10:01:49-03","FURB","FURB","17353","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Link, O","2015","10","29","Link, O.; Demeda, C.; Gaio, J. & Gonzatti, F.","2015","09","12",NA,"Brasil","Rio Grande do Sul",NA,NA,"FURB47177","FURB47177","Trevo entre Estrada do Mar e RS-030.",NA,"6","-50.2694445","-29.9119444","14","Burkart","-50.2694445","-29.9119444","Osório","14",NA,NA,NA,NA,NA
"6","2021-03-16 17:52:20-03","UCS","HUCS","44525","PreservedSpecimen","Plantae",NA,"Fabales","Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Link, O.","2015","10","29","Link, O.","2015","09","12",NA,"Brasil","Rio Grande do Sul",NA,"erva ereta com flores branco-azuladas; beira de estrada",NA,NA,"Trevo entre Estrada do Mar e RS-030","Angiospermae","6","-50.269417","-29.911889","14","Burkart","-50.269417","-29.911889","Osório","14",NA,NA,NA,NA,NA
"7","2020-12-21 16:28:25-03","MBM","MBM","407880","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Link, O.","2015","10","29","Link, O.; Demeda, C.; Gaio, J.; Gonzatti, F.; Demeda, C.; Gaio, J.; Gonzatti, F.","2015","09","12","Southern America","Brazil","Rio Grande do Sul",NA,"Erva ereta com flores branco-azuladas.; Beira de estrada.","MBM407880","MBM407880","Trevo entre Estrada do Mar e RS-030",NA,"6","-50.269444","-29.911944","14","Burkart","-50.269444","-29.911944","Osório","14",NA,NA,NA,NA,NA
"8","2020-12-21 16:28:25-03","MBM","MBM","280391","PreservedSpecimen","Plantae",NA,NA,"Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Kurtz, D.",NA,NA,NA,"Seijo, G.; et al.; et al.","2002","01","22","Southern America","Argentina",NA,NA,NA,"MBM280391","MBM280391","Salta",NA,"2808",NA,NA,NA,"Burkart",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-01-27 08:44:16-03","MNHN","RECOLNAT_MNHN_P","P00761522","PreservedSpecimen",NA,NA,NA,"Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Hechenleitner",NA,NA,NA,"Sellow, F.",NA,NA,NA,NA,"Brésil",NA,NA,"1833 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00761522' target='other'> <mi>dwc_moreinfo</mi></a>","P00761522","P00761522_01","s.loc.",NA,NA,NA,NA,NA,"Burkart",NA,NA,NA,NA,"1519","hb",NA,NA,NA
"10","2017-01-09 15:21:51-02","MNHN","RECOLNAT_MNHN_P","P00761583","PreservedSpecimen",NA,NA,NA,"Fabaceae","Vicia","pampicola",NA,"Vicia pampicola","Hechenleitner",NA,NA,NA,"Krapovickas, A.|Cristobal, C.L.","1970","10","13",NA,"Argentine",NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00761583' target='other'> <mi>dwc_moreinfo</mi></a>","P00761583","P00761583_01","El Pinar, ayo. Tropa Vieja (bañandos de Carrasco), dpto. Canelones",NA,NA,NA,NA,NA,"Burkart",NA,NA,NA,NA,"16303","hb",NA,NA,NA
