"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","recordNumber","phylum","coordinatePrecision","geoFlag","individualCount","continentOcean","preparationType","previousCatalogNumber","order","infraspecificEpithet","class","relatedCatalogItem","relationshipType","fieldNumber","typeStatus","sex"
"1","2021-04-05 14:33:13-03","UNESC","CRI","10611","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","J. L. Waechter","2001","01","25","Robson dos Santos; Vanilde Citadini-Zanette & Alexandre S. Klein","2000","07","25","Brasil","Santa Catarina","Praia Grande","Aparados da Serra. Trilha das Mulas","-49.950278","-29.198611","49º57'1''W","29º11'55''S","Habito: Herbácea","CRI013714","CRI013714",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-04-05 14:33:13-03","UNESC","CRI","3060","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Vanilde Citadini- Zanette",NA,NA,NA,"Vanilde Citadini Zanette","1989","06","27","Brasil","Santa Catarina","Criciúma","Gruta N. Senhora de Lourdes.","-49.37","-28.678056","49º22'12''W","28º40'41''S",NA,"CRI008049","CRI008049","58","58",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-04-05 14:24:46-03","UNESC","CRI","12557","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Renato Colares & Aline V. Guislon","2017","07","25","Alexandre Medeiros","2017","05","09","Brasil","Santa Catarina","Balneário Camboriú","Quilombola.","-48.599722","-27.042222","48º35'59''W","27º2'32''S","Habito: Herbácea","CRI010764","CRI010764",NA,NA,"313",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-04-05 14:33:13-03","UNESC","CRI","4243","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Vanilde Citadini- Zanette",NA,NA,NA,"Valdemar Boff","1995","11","02","Brasil","Santa Catarina","Jacinto Machado",NA,"-49.763889","-28.998056","49º45'50''W","28º59'53''S","Habitat: mata ciliar Habito: erva","CRI008046","CRI008046",NA,NA,"187",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-04-05 14:33:13-03","UNESC","CRI","8467","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Vanilde C. Zanette",NA,NA,NA,"San Zatta Custódio","2010","04","27","Brasil","Santa Catarina","Cocal do Sul","Próximo a bananal.","-49.326111","-28.601667","49º19'34''W","28º36'6''S","Habitat: borda de mata","CRI008051","CRI008051","63","63",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2021-04-05 14:24:46-03","UNESC","CRI","10140","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","A. L. de Gasper",NA,NA,NA,"A. Stival-Santos; S. Silveira","2009","03","06","Brasil","Santa Catarina","Romelândia","Ouro.","-53.326944","-26.595833","53º19'37''W","26º35'45''S","Floresta Estacional Decidual Habitat: interior da mata Habito: herbácea","CRI008054","CRI008054","610","610","480",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2021-04-05 14:33:13-03","UNESC","CRI","15123","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Renato Colares","2016","08","06","Renato Colares; Felipe Patel & Jader Lima Pereira","2016","08","06","Brasil","Santa Catarina","Treviso","Campo Morozini","-49.454444","-28.5375","49º27'16''W","28º32'15''S","Habito: Herbácea","CRI014537","CRI014537",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2021-04-05 14:33:13-03","UNESC","CRI","11706","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.",NA,NA,NA,NA,"Anderson Zilli Kruger","2002","11","15","Brasil","Santa Catarina","Praia Grande","Rio do Boi, PIC III.","-49.960556","-29.196944","49º57'38''W","29º11'49''S",NA,"CRI008676","CRI008676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2021-04-05 14:24:46-03","UNESC","CRI","10149","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","A. Stival-Santos","2010","01","25","A. Stival-Santos; E. Legal & S. Silveira","2009","12","09","Brasil","Santa Catarina","Tijucas","Oliveira.","-48.779722","-27.180278","48º46'47''W","27º10'49''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: erva terrícola","CRI008055","CRI008055","186","186","1382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-04-05 14:24:46-03","UNESC","CRI","14234","PreservedSpecimen","Plantae","Anemiaceae","Anemia","phyllitidis","Anemia phyllitidis","(L.) Sw.","Verdi, M","2008","11","29","Verdi, M.; Grosch, B. & Klemz, G.","2008","11","29","Brasil","Santa Catarina","Peritiba","Centro / Próximo aos Biscoitos Nani. Centro / Próximo aos Biscoitos Nani.","-51.885","-27.360278","51º53'6''W","27º21'37''S","Herbácea IFFSC 1616/N/1","CRI013333","CRI013333","611","611","1115",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
