"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","occurrenceRemarks","barcode","imagecode","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","yearIdentified","county","coordinatePrecision","geoFlag","class","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","individualCount","fieldNumber","sex"
"1","2021-03-15 16:37:00-03","NY","NYBG","01142260","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","T. D. Pennington","T. D. Pennington","9985","1974","10","16","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575497' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142260","NY01142260_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2021-03-15 16:37:00-03","NY","NYBG","01142259","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","T. D. Pennington","M. Pacheco","223","1989","02","23","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1575493' target='other'> <mi>dwc_moreinfo</mi></a>","NY01142259","NY01142259_01","Distrito Agropecuário, Fazenda Porto Alegre. Reserva 3304 of the WWF/INPA MCS project.","-59.933333","-2.366667","50","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-15 16:37:00-03","NY","NYBG","54110","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.",NA,"G. T. Prance","3061","1966","11","10","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=580032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00054110","NY00054110_01","Road Manau-Caracarai, km. 28.","-60.0450414","-2.7347606",NA,NA,"isotype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-15 16:37:00-03","NY","NYBG","1280238","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","T. D. Pennington","B. M. Boom","8712","1988","12","03","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599048' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280238","NY01280238_01","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA Project. Non-flooded moist forest.","-59.74583","-2.41625","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-15 16:37:00-03","NY","NYBG","1280239","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","T. D. Pennington","B. M. Boom","8712","1988","12","03","South America","Brazil","Amazonas","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1599058' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280239","NY01280239_01","Distrito Agropecuário, Reserva 1501 (km 41) of the WWF/INPA Project. Non-flooded moist forest.","-59.74583","-2.41625","50","125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-20 13:41:58-03","INPA","INPA-CARPOTECA","8961","Carpo","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","Pennington, TD","Rodrigues, WA","2455","1961","05","03","Southern America","Brasil","Amazonas",NA,NA,"INPA0008961","INPA0008961 INPA0008961_e INPA0008961_e1","BR174, Km 46, Km 46 da BR 17. Terra firme, solo argiloso.","-60.0250015258789","-3.10193991661072",NA,NA,NA,"1997","Manaus","138090","auto",NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-02-08 10:30:25-03","NBC","NL-BOTANY","U.1397474","PreservedSpecimen","Plantae",NA,"Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","Penn.",NA,"Pacheco M; Palheta E; Souza S de",NA,"1989","02","23","Southern America","Brazil",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1397474 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1397474","NL-U1397474","Amazonas: Distrito Agropecuário, Fazenda Porto Alegre, Reserva 3304 of the WWF/INPA MCS project.","-59.933333","-2.366667",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","-59.933333","-2.366667",NA,NA,NA,NA,NA
"8","2019-03-16 13:31:08-03","UNEMAT","HERBAM","8159","S","Plantae",NA,NA,"Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","Apóstolo, P","Soares, C.R.A.; Barros, M.; Moura, V.A.; Benetti, E. & Cazini, F.F.","Branco 1516073","2012","04","20",NA,"Brasil","Pará",NA,NA,"HERBAM008159",NA,"Terra Firme.","-56.777222","-9.354444","166","166",NA,"2012","Jacareacanga",NA,NA,NA,"-56.777222","-9.354444","06","07",NA,NA,NA
"9","2020-08-31 09:09:32-03","INPA","INPA","170169","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","Pennington, TD","Pacheco, M","223","1989","02","23","Southern America","Brasil","Amazonas",NA,NA,"INPA0170169","INPA0170169 INPA0170169_e INPA0170169_nd","Distrito Agropecuário, ZF3., Distrito Agropecuário, Fazenda Porto Alegre","-59.933333","-2.366667",NA,NA,NA,"1990","Manaus",NA,NA,NA,"-59.933333","-2.366667",NA,NA,NA,NA,NA
"10","2020-08-31 09:09:32-03","INPA","INPA","18616","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","Pennington, TD","Prance, GT","3061","1996","11","10","Southern America","Brasil","Amazonas",NA,NA,"INPA0018616","INPA0018616 INPA0018616_e","Manaus-Caracarai km 28, Road Manaus-Caracaraí, km 28.","-60.045041","-2.734761",NA,NA,"holotype","1979","Manaus",NA,NA,NA,"-60.045041","-2.734761",NA,NA,NA,NA,NA
"11","2021-01-10 20:47:41-03","INPA","INPA","8961","Carpo","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","Pennington, TD","Rodrigues, WA","2455","1961","05","03","Southern America","Brasil","Amazonas",NA,NA,"INPA0008961","INPA0008961 INPA0008961_e INPA0008961_e1","BR174, Km 46, Km 46 da BR 17. Terra firme, solo argiloso.","-60.047222","-2.95",NA,NA,NA,"1997","Manaus",NA,NA,NA,"-60.047222","-2.95",NA,NA,NA,NA,NA
"12","2021-01-10 20:47:41-03","INPA","INPA","8961","S","Plantae","Dicotyledon Com-Clade","Sapindales","Meliaceae","Guarea","crispa","Guarea crispa","T.D.Penn.","Pennington, TD","Rodrigues, WA","2455","1961","05","03","Southern America","Brasil","Amazonas",NA,NA,"INPA0008961","INPA0008961 INPA0008961_e INPA0008961_e1","BR174, Km 46, Km 46 da BR 17. Terra firme, solo argiloso.","-60.047222","-2.95",NA,NA,NA,"1997","Manaus",NA,NA,NA,"-60.047222","-2.95",NA,NA,NA,NA,NA
