"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","identifiedBy","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","order","imagecode","class","individualCount","preparationType","typeStatus"
"1","2021-03-30 12:48:51-03","EAO","IAN","5298","PreservedSpecimen","Plantae","Dicotiledônea","Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","Martins-da-Silva, RCV","489","Southern America","Brasil","IAN005298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-11-26 18:09:42-03","CPAN-UFMS","COR","17503","PreservedSpecimen","Plantae",NA,"Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","Bortolotto,I.M.; Damasceno, G.","980",NA,"Brasil",NA,"2002","05","14","Mato Grosso do Sul","Corumbá","Mata ciliar do rio Paraguai","-57.475278","-18.548611","57º28'31''W","18º32'55''S","90","90","Árvore. Cor da flor= creme.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-02 16:29:17-03","CPAN-UFMS","COR","17559","PreservedSpecimen","Plantae",NA,"Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","Bortolotto, I.M.; Damasceno - Júnior,G. A.; Pedro; José","980",NA,"Brasil",NA,"2002","05","14","Mato Grosso do Sul","Corumbá","Mata ciliar do rio Paraguai.","-57.475278","-18.548611","57º28'31''W","18º32'55''S",NA,NA,"Flor Creme. Habito: Árvore","Bortolotto, I.M.","2002","05","14",NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-11-04 11:19:22-03","ESALQ","ESA","51896","PreservedSpecimen","Plantae","Magnoliophyta","Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia",NA,"Maria, V.R.B.",NA,NA,"Brasil","ESA051896",NA,NA,NA,"Mato Grosso do Sul","Bonito",NA,"-56.4818992614746","-21.1210994720459",NA,NA,NA,NA,NA,"Maria, V.R.B.",NA,NA,NA,"71352","auto",NA,NA,NA,NA,NA,NA
"5","2019-02-23 11:30:23-03","UNEMAT","HERBAM","10325","S","Plantae",NA,"Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","Soares-Lopes, C.R.A.; Trevisan, L.R.; Fernandes, E.; Filho, J.I. & Da Silva, W.L.","CD 2638283",NA,"Brasil","HERBAM010325","2015","01","07","Mato Grosso","Alta Floresta","PCH Fazenda, Guarita, Terra firme","-8858.66111","50.440556","-8858.66111","50.440556","231","231",NA,"Gvasconcelos","2015","01","15",NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-06-29 09:32:11-03","UFRRJ","RBR","16279","S","Plantae",NA,"Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","J.S. Spada","82",NA,"Brasil","RBR00016279","1978","08","10","Espírito Santo","Linhares","Reserva Florestal da CVRD","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,NA,"G.V. Somner, G.M. Barroso","1983","12","01","48094","auto",NA,NA,NA,NA,NA,NA
"7","2020-08-31 09:10:00-03","INPA","INPA","119951","S","Plantae","Dicotyledon Com-Clade","Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia",NA,"Plowman, T","8474","Southern America","Brasil","INPA0119951","1980","02","08","Pará","Conceição do Araguaia","Range of low hills ca. 20 Km west of Redenção, near Côrrego São João and troncamento Santa Teresa","-50.166667","-8.05","-50.166667","-8.05","350","620",NA,"Acevedo-Rodríguez, P","1986",NA,NA,NA,NA,"Sapindales","INPA0119951 INPA0119951_e INPA0119951_nd",NA,NA,NA,NA
"8","2021-02-25 10:13:23-03","CVRD","CVRD","15978","PreservedSpecimen","Plantae","Magnoliophyta","Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","Folli, D.A.","7639","América do Sul","BRASIL","CVRD015978","2019","06","19","MG","Brumadinho","Lago Capim Branco","-44.1996994018555","-20.1432991027832",NA,NA,"1054","1054","<ll>dwc_commonname:</ll> Camboatá do cerrado","Geovane S. Siqueira","2019","07","16","26639","auto","Sapindales",NA,"Magnoliopsida",NA,NA,NA
"9","2020-09-12 05:00:02-03","US","US","3741032","PreservedSpecimen","Plantae",NA,"Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","R. Borges, N. Pougy & T. Serrano","1020","South America","Brazil",NA,"2010","11","28","Mato Grosso do Sul",NA,"Corumbá. Povoado do Amolar. RPPN Eliezér Batista - estrada da sede da fazenda","-57.4786","-18.0933",NA,NA,NA,NA,NA,"Guimarães, E. F.",NA,NA,NA,NA,NA,"Sapindales",NA,"Dicotyledonae","1",NA,NA
"10","2020-09-12 05:00:02-03","US","US","3354492","PreservedSpecimen","Plantae",NA,"Sapindaceae","Cupania","castaneaefolia","Cupania castaneaefolia","Mart.","P. Acevedo-Rodriguez, J. L. Santos & J. Guedes","8358","South America - Neotropics","Brazil","US00592490","1996","8","15","Amazonas",NA,"Amazonas: Alto Río Negro (west side), ca. 1 km NW of boat. Boat stationed at coordinates.","-63.5542","-0.4794",NA,NA,"100",NA,NA,NA,NA,NA,NA,NA,NA,"Sapindales","US00592490_01","Dicotyledonae","1",NA,NA
