"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","recordNumber","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"1","2021-04-05 14:25:16-03","UNESC","CRI","12618","PreservedSpecimen","Plantae","Fabaceae","Chamaecrista","desvauxii","Chamaecrista desvauxii","(Collad.) Killip","Aline Votri Guislon & Peterson T. Padilha","2017","09","18","Alexandre Medeiros","2017","08","11","Brasil","Santa Catarina","Balneário Camboriú","Praia do Estaleiro","-48.6347007751465","-26.9906005859375","8793","Flor amarela. Coleta 451.","CRI010832","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-09-23 10:40:33-03","E","E","312895","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Stannard, B.; Ganev, W.; Queiroz, R.F.","1992","02","25","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312895 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312895",NA,"51591","E. Tropical South America","herbarium specimen of unspecif","BGBASE:315179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2020-09-23 10:40:33-03","E","E","83682","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Simon, M.F., Proenca, C., Ratter, J.A., Fonseca Filho, J.A.ET., Bridgewater, S.","1996","09","19","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00083682 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00083682",NA,"22","E. Tropical South America","herbarium specimen of unspecif","BGBASE:92660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2020-09-23 10:40:33-03","E","E","281821","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Brooks, R.R.; Reeves, R.D.; Baker, A.J.M.; Diaz Ferreira, H.","1988","04","22","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00281821 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281821",NA,"171","E. Tropical South America","herbarium specimen of unspecif","BGBASE:293830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","2020-09-23 10:40:33-03","E","E","293633","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Lughadha, E. Nic; Queiroz, R.","1992","03","25","BR","Bahia",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00293633 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00293633",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:306742",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","2020-09-23 10:40:33-03","E","E","312798","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Stannard, B.; Silva, T.; Ganev, W.","1992","03","21","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00312798 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00312798",NA,"52750","E. Tropical South America","herbarium specimen of unspecif","BGBASE:314828",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","2020-09-23 10:40:33-03","E","E","206989","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Lima, J.C.M.; Simon, M.F.; Eiten, G.","1999","02","07","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00206989 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00206989",NA,"85","E. Tropical South America","herbarium specimen of unspecif","BGBASE:217747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","2020-09-23 10:40:33-03","E","E","281822","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Brooks, R.R.; Reeves, R.D.","1990","06","20","BR",NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00281822 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00281822",NA,"582","E. Tropical South America","herbarium specimen of unspecif","BGBASE:293829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","2020-09-23 10:40:33-03","E","E","310855","PreservedSpecimen","Plantae","Leguminosae","Chamaecrista","desvauxii","Chamaecrista desvauxii",NA,NA,NA,NA,NA,"Stannard, B.; Queiroz, R.F.","1992","02","01","BR","Bahia",NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00310855 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00310855",NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:316829",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","2021-03-15 16:37:00-03","NY","NYBG","3830","PreservedSpecimen","Plantae","Fabaceae","Cassia","langsdorffii","Cassia langsdorffii tenuis","H.S.Irwin",NA,NA,NA,NA,"J. B. E. Pohl",NA,NA,NA,"Brazil",NA,NA,"Serra de Chrysaës",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=244485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00003830",NA,"906","South America","sheet",NA,"Magnoliophyta","Fabales","tenuis","holotype","NY00003830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA
