"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","verbatimLongitude","verbatimLatitude","barcode","class","order","continentOcean","occurrenceRemarks","imagecode","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","dayIdentified","fieldNumber","preparationType","minimumElevationInMeters","maximumElevationInMeters","individualCount","relatedCatalogItem"
"1","2021-02-18 09:30:19-03","UNESP-IBB","BOTU","9085","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne","Amaral Jr., A.","1972","09","Amaral Jr., A.","1151","1972","09","22","Brasil","São Paulo","São Manuel","Pavuna, póximo ao limite de Botucatu com S. Manuel pela rod. Marechal Rondon","9999","9999","BOTU009085",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2020-02-08 08:46:07-03","NBC","NL-BOTANY","U.1457509","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne",NA,NA,NA,"Lindeman JC; Haas JH de",NA,"1966","08","14","Brazil",NA,NA,"Est. Paraná, 10 km E of Cerro Azul, forest on steep slope on S bank of Rio Ribeira.",NA,NA,"NL-U1457509","Magnoliopsidae","Asparagales","Southern America","<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1457509 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1457509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","2021-03-31 13:40:49-03","MN","R","56409","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne","Sánchez MI",NA,NA,"Alston, A.H.G.; Lutz, B.M.J. 163",NA,"1938","10","22","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2021-03-31 13:40:49-03","MN","R","35675","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne","Sánchez, M.I.",NA,NA,"Passarelli, A.",NA,"1938","09",NA,"Brasil","Rio de Janeiro","Duque de Caxias",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-43.3116989135742","-22.7856006622314","34388","auto",NA,NA,NA,NA,NA,NA,NA,NA
"5","2021-03-31 13:40:49-03","MN","R","56417","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne","Sánchez, M.I.",NA,NA,"Lutz, B.M.J.","164","1938","10","22","Brasil","Rio de Janeiro","Rio de Janeiro","Recreio dos Bandeirantes",NA,NA,NA,NA,NA,NA,NA,NA,"-43.2075004577637","-22.9027996063232","57442","auto",NA,NA,NA,NA,NA,NA,NA,NA
"6","2019-02-15 11:46:53-02","IPA","IPA","20393","S","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.)Hoehne","Félix, L.P.","1988","07","Tenório, E.C.","1142","1969","09","19","Brasil","Pernambuco","Buíque","Vale do Catimbau, Sítio Cajueiro. Sobre ouricuri.",NA,NA,"IPA0020393",NA,NA,"Southern America","Caatinga",NA,"-37.1557998657227","-8.62306022644043","38964","auto","Plantae","13",NA,NA,NA,NA,NA,NA
"7","2019-02-15 11:46:53-02","IPA","IPA","20392","S","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.)Hoehne","Félix, L.P.","1988","07","Tenório, E.C.","1142","1969","09","19","Brasil","Pernambuco","Buíque","Sítio Cajueiro. Sobre ouricuri.",NA,NA,"IPA0020392",NA,NA,"Southern America",NA,NA,"-37.1557998657227","-8.62306022644043","38964","auto","Plantae","13",NA,NA,NA,NA,NA,NA
"8","2020-04-22 16:26:35-03","UFPB","JPB","35872","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne","Felix, LP","2005","06","Gadelha Neto, PC; Dantas, DHM; Emeri, WWS","1300","2004","11","13","Brasil","Paraíba","Lagoa Seca","Mata do Centro de Eventos Marista.",NA,NA,NA,NA,"Monocotyledon","Southern America","; DESC: Epífita. Raízes brancas fasciculadas. Bulbo com ca. de 1,2m.",NA,"-35.8535995483398","-7.17082977294922","10323","auto","Angiosperma","01",NA,NA,NA,NA,NA,NA
"9","2021-02-12 18:12:25-03","UFES","VIES","3210","S","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne",NA,NA,NA,"Silva, C.S.; Milaneze, M.A. & Lorenzoni, D.","s.n.","1985","05","13","Brasil","Espírito Santo","Fundão","BR 101 Norte.",NA,NA,"VIES003210",NA,NA,NA,NA,"VIES003210","-40.4067001342773","-19.9325008392334","27186","auto",NA,NA,NA,NA,NA,NA,NA,NA
"10","2019-06-27 10:26:05-03","UFES","VIES","6073","S","Plantae","Orchidaceae","Cyrtopodium","gigas","Cyrtopodium gigas","(Vell.) Hoehne",NA,NA,NA,"Pereira, O.J.","2464","1991","10","04","Brasil","Espírito Santo","Guarapari","Parque Estadual de Setiba.",NA,NA,"VIES006073",NA,NA,NA,NA,"VIES006073","-40.5110015869141","-20.6580009460449","28401","auto",NA,NA,NA,NA,NA,NA,NA,NA
