"record_id","modified","institutionCode","collectionCode","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag"
"1","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS","O","Plantae","Orchidaceae","Selenipedium","isabelianum","Selenipedium isabelianum","Barb.Rodr.","Rand, ES","s.n.","Southern America","Brazil","Pará","in sylvis densis prope Pará.","P03P4N0002",NA,NA,NA,NA,NA
"2","2017-09-11 17:12:17-03","UnB","HBVIRTFLBRAS","O","Plantae","Orchidaceae","Selenipedium","isabelianum","Selenipedium isabelianum","Barb.Rodr.","Barbosa Rodrigues, J","s.n.","Southern America","Brazil","Pará ","habitat in sylvis humidis prope Bragança prov Pará.","P03P4N0002","Bragança","-46.7656","-1.05361","56429","auto"
