X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,individualCount,occurrenceRemarks,geoFlag,continentOcean,preparationType,barcode,imagecode,typeStatus,dayIdentified,class,previousCatalogNumber,fieldNumber,infraspecificEpithet,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.5699996948242,-22.6399993896484,"1",2019-06-10 10:10:51-03,FZB-BH,CVJBFZB,"2585",S,Plantae,Magnoliophyta,Solanales,Solanaceae,Solanum,melissarum,Solanum melissarum,Bohs.,"Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.",AGRA7381,"2011","05","04",Brasil,São Paulo,São José do Barreiro,Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento past Fazenda Das Posses. Turnoff on trail to Fazenda do Simeon.,-44.5699996948242,-22.6399993896484,"44º36'15,82","22º47'04,76","30784","1198","1198","1","254",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"2",2019-06-10 10:10:51-03,FZB-BH,CVJBFZB,"2584",S,Plantae,Magnoliophyta,Solanales,Solanaceae,Solanum,melissarum,Solanum melissarum,Bohs.,"Bohs, L.","2011","05","Agra, M.F.; Bohs, L.; Giacomin, L. L.;Guidicelli, G. C.; Jorge, T. B.",AGRA7381,"2011","05","04",Brasil,São Paulo,São José do Barreiro,Parque Nacional Serra da Bocaina. Main road through park from entrance at alojamento past Fazenda Das Posses. Turnoff on trail to Fazenda do Simeon.,-44.5699996948242,-22.6399993896484,"44º36'15,82","22º47'04,76","30784","1198","1198","1","254",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"63",2020-11-04 11:19:54-03,ESALQ,ESA,"35893",PreservedSpecimen,Plantae,Magnoliophyta,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,NA,NA,NA,NA,"Souza, J.P. et al.","1046.0","1996","12","19",Brasil,São Paulo,Cunha,NA,-44.9599990844727,-23.0699996948242,NA,NA,"38855",NA,NA,NA,NA,auto,NA,NA,ESA035893,ESA035893,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"64",2020-11-04 11:19:54-03,ESALQ,ESA,"35895",PreservedSpecimen,Plantae,Magnoliophyta,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,NA,NA,NA,NA,"Souza, J.P. et al.","1048.0","1996","12","18",Brasil,São Paulo,Cunha,NA,-44.9599990844727,-23.0699996948242,NA,NA,"38855",NA,NA,NA,NA,auto,NA,NA,ESA035895,ESA035895,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"66",2020-11-04 11:19:54-03,ESALQ,ESA,"52180",PreservedSpecimen,Plantae,Magnoliophyta,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,(Mart.) Sendtn.,NA,NA,NA,"Lima, R.A.F.","520.0",NA,NA,NA,Brasil,São Paulo,Sete Barras,Parcela permanente - Parque Estadual de Carlos Botelho,-47.9199981689453,-24.3799991607666,NA,NA,"34059","400","400",NA,NA,auto,NA,NA,ESA052180,ESA052180,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48,-24.416667,"84",2021-03-01 16:41:30-03,UNICAMP,UEC,"43871",S,Plantae,Magnoliopsida,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,(Mart.) Sendtn.,"Stehmann, JR","1994","12","Ratter, JA; Argent, GCG; Shepherd, GJ; Tamashiro, JY","4983","1983","11","24",Brazil,São Paulo,Carlos Botelho,"Reserva de Carlos Botelho, nr Sete Barras.",-48,-24.416667,"-48","-24.416667",NA,NA,NA,NA,"Small spreading shrub, 80cm tall. Exterior of petals waxy blue-violet, inside pale with green venation. Anthers blue-violet. Flowers with an extremely strong smell like Cyphomandra fruits.; In Atlantic rain forest.",NA,NA,NA,UEC033563,UEC033563,NA,"13",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"87",2021-03-01 16:41:30-03,UNICAMP,UEC,"80106",S,Plantae,Magnoliopsida,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,(Mart.) Sendtn.,NA,NA,NA,"Sazima, M","29990","1993","12","04",Brazil,São Paulo,Campinas,Fazenda Santa Genébra.,-47.060001373291,-22.8999996185303,NA,NA,"23900",NA,NA,NA,"Arbusto, 0,5m de altura; início da florada. Flores esverdeadas e anteras arroxeadas. Odor de fezes.",auto,NA,NA,UEC033564,UEC033564,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"88",2021-03-01 16:41:30-03,UNICAMP,UEC,"80109",S,Plantae,Magnoliopsida,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,(Mart.) Sendtn.,NA,NA,NA,"Sazima, M","29987","1993","10","10",Brazil,São Paulo,Campinas,Fazenda Santa Genébra.,-47.060001373291,-22.8999996185303,NA,NA,"23900",NA,NA,NA,"Arbusto, 0,5m de altura; início da florada. Flores esverdeadas e anteras arroxeadas. Odor de fezes.",auto,NA,NA,UEC033565,UEC033565,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"89",2021-03-01 16:41:30-03,UNICAMP,UEC,"91182",S,Plantae,Magnoliopsida,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,(Mart.) Sendtn.,"Souza, VC","1996","12","Souza, JP; Souza, VC; Rodrigues, RR; Tamashiro, JY; Ivanauskas, NM","1048","1996","12","18",Brazil,São Paulo,Cunha,Parque Estadual da Serra do Mar - Núcleo Cunha. Estrada em direção à Trilha do Rio Bonito. Beira do Rio Paraíba.,-44.9599990844727,-23.0699996948242,NA,NA,"38855",NA,NA,NA,"Erva, 1m de altura; flores roxas, frutos verde-claros com estrias verde-escuras.; Floresta Ombrófila Densa Montana, Floresta à beira da estrada, na beira do Rio Paraíba.",auto,NA,NA,UEC033557,UEC033557,NA,"18",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.8800010681152,-23.1800003051758,"90",2019-08-20 10:26:30-03,UNICAMP,UEC,"69834",S,Plantae,Magnoliopsida,NA,Solanaceae,Cyphomandra,divaricata,Cyphomandra divaricata,(Mart.) Sendtn.,"Stehmann, JR","1994","12","Vasconcellos-Neto, J","31531","1991","11",NA,Brazil,São Paulo,Jundiaí,Serra do Japí.,-46.8800010681152,-23.1800003051758,NA,NA,"17840",NA,NA,NA,NA,auto,NA,NA,UEC033566,UEC033566,NA,"13",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
