X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,individualCount,occurrenceRemarks,geoFlag,continentOcean,preparationType,barcode,imagecode,class,previousCatalogNumber,typeStatus,fieldNumber,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.7799987792969,-24.1800003051758,"32",2020-09-12 05:00:02-03,US,US,"1616745",PreservedSpecimen,Plantae,NA,Solanales,Solanaceae,Cyphomandra,heterophylla,Cyphomandra heterophylla,Donn. Sm.,NA,NA,NA,NA,A. Gehrt,s.n.,"1920","11","3",Brazil,São Paulo,Itanhaém,Ilha Queimada Grande,-46.7799987792969,-24.1800003051758,NA,NA,"26998",NA,NA,"1",NA,auto,South America - Neotropics,NA,US01935971,US01935971_01 US01935971_02,Dicotyledonae,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7799987792969,-24.1800003051758,"44",2020-02-06 10:42:10-03,IBt,SP,"4661",S,Plantae,NA,NA,Solanaceae,Solanum,paralum,Solanum paralum,Bohs,"Mentz, LA","2006","10",NA,"Gehrt, A",s.n.,"1920","12","03",Brasil,São Paulo,Itanhaém,Ilha da Queimada Grande,-46.7799987792969,-24.1800003051758,NA,NA,"26998",NA,NA,NA,NA,auto,NA,NA,SP116903,SP116903,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4099998474121,-23.7600002288818,"45",2020-02-06 10:42:10-03,IBt,SP,"130004",S,Plantae,NA,NA,Solanaceae,Solanum,paralum,Solanum paralum,Bohs,"Mentz, LA","2006","10",NA,"Mattos, J; Mattos, N","15716","1971","12","27",Brasil,São Paulo,São Sebastião,NA,-45.4099998474121,-23.7600002288818,NA,NA,"41977",NA,NA,NA,NA,auto,NA,NA,SP116902,SP116902,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
