X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,class,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,recordedBy,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,individualCount,occurrenceRemarks,geoFlag,recordNumber,year,month,day,continentOcean,locality,preparationType,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.29,-22.77,"6",2015-07-02 14:00:12-03,JBP,HPL,"13181",S,Plantae,NA,NA,NA,Amaryllidaceae,Griffinia,liboniana,Griffinia liboniana,NA,NA,NA,A. Campos-Rocha,Brasil,SP,Nova Odessa,-47.29,-22.77,"8440",NA,NA,auto,"1155","2013","03","24",NA,Coletado em cultivo no JBP.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"23",2019-08-20 09:58:56-03,UNICAMP,UEC,"171094",S,Plantae,Liliopsida,NA,NA,Amaryllidaceae,Griffinia,liboniana,Griffinia liboniana,E.Morren,"Dutilh, JHA","2014","Dutilh, JHA",Brazil,São Paulo,Campinas,-47.060001373291,-22.8999996185303,"23900",NA,NA,auto,s.n.,"2000","04","07",NA,"Cultivada, sem procedência.",NA,UEC045171,UEC045171,NA,NA,"03",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"58",2019-11-21 09:58:06-03,IBt,SP,"332795",S,Plantae,NA,NA,NA,Amaryllidaceae,Griffinia,liboniana,Griffinia liboniana,C.Morren,"Kirizawa, M","2005","Kirizawa, M",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",NA,NA,auto,"3373","1998","12","18",NA,Instituto de Botânica,NA,NA,NA,NA,NA,"05","10",NA,NA,NA,"35",São Paulo,SP,Sudeste
