X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,identifiedBy,imagecode,minimumElevationInMeters,maximumElevationInMeters,county,decimalLongitude,decimalLatitude,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.060001373291,-22.8999996185303,"24",2021-03-15 16:37:00-03,NY,NYBG,"594112",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,L. P. de Queiroz,"2861","1990","10","16",South America,Brazil,São Paulo,NA,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331276' target='other'> <mi>dwc_moreinfo</mi></a>,NY00594112,Magnoliophyta,Fabales,(Vell.) Allemão ex Benth.,L. P. de Queiroz,NY00594112_01,NA,NA,Campinas,-47.060001373291,-22.8999996185303,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"25",2021-03-15 16:37:00-03,NY,NYBG,"594113",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,M. Koscinsky,"273","1934","12",NA,South America,Brazil,São Paulo,NA,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=331278' target='other'> <mi>dwc_moreinfo</mi></a>,NY00594113,Magnoliophyta,Fabales,(Vell.) Allemão ex Benth.,F. C. Hoehne,NY00594113_01,NA,NA,Sao Paulo,-46.6300010681152,-23.5400009155273,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8199996948242,-22.25,"43",2021-03-15 16:37:00-03,NY,NYBG,"03075491",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,G. M. Antar,"896","2015","10","14",South America,Brazil,São Paulo,NA,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3303207' target='other'> <mi>dwc_moreinfo</mi></a>,NY03075491,Magnoliophyta,Fabales,(Vell.) Allemão ex Benth.,NA,NA,"758",NA,Itirapina,-47.8199996948242,-22.25,"22843",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.743278,-22.813944,"52",2021-02-18 09:29:41-03,UNESP-IBB,BOTU,"23782",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Campos, C.J.","197","2003","01","09",NA,Brasil,São Paulo,Reserva Particular Palmeira da Serra,NA,NA,"Cerradão. Árvore de 4m de altura, flores violáceas.; Coleção: Biota - Cerrado Pratânia",BOTU023782,NA,NA,(Jacq.) Hoffsgg.,NA,NA,NA,NA,Pratânia,-48.743278,-22.813944,NA,NA,"48°44'35,8w","22°48'50,2s",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"93",2019-10-09 11:15:55-03,UFBA,ALCB,"029341",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Queiroz, LP de","2861","1990","10","16",Southern America,Brasil,São Paulo,Campus UNICAMP.,NA,NA,"Ca. 3,0m. Folhas membranáceas, concolores a face abaxial verde-escura, a abaxial verde fosca. Flores com cálice verde-claro e pétalas brancas, com odor de jasmim.",ALCB030444,Dicotyledon,NA,(Vell.) Allemão ex Benth.,"Queiroz, LP de",ALCB030444,NA,NA,Campinas,-47.060001373291,-22.8999996185303,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8300018310547,-23.0499992370605,"104",2020-11-04 11:09:19-03,ESALQ,ESA,"8006",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Mello, L.C.B.",NA,"1992","10","01",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA008006,Magnoliophyta,NA,NA,NA,ESA008006,NA,NA,Laranjal Paulista,-47.8300018310547,-23.0499992370605,"21547",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8300018310547,-23.0499992370605,"105",2020-11-04 11:09:19-03,ESALQ,ESA,"8013",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Sargemayez, P.N.",NA,"1992","09","10",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA008013,Magnoliophyta,NA,NA,NA,ESA008013,NA,NA,Laranjal Paulista,-47.8300018310547,-23.0499992370605,"21547",auto,NA,NA,"1992","01","01",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"106",2020-11-04 11:09:19-03,ESALQ,ESA,"51350",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Santin, R.C. ; Beltrame-Neto, E.","2.0","2003","10","15",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA051350,Magnoliophyta,NA,NA,"Santin, R.C.",ESA051350,NA,NA,Piracicaba,-47.6399993896484,-22.7199993133545,"44778",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"107",2020-11-04 11:09:19-03,ESALQ,ESA,"10826",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Barreto, K.D. et al.","487.0","1993","05","14",NA,Brasil,São Paulo,NA,NA,NA,NA,ESA010826,Magnoliophyta,NA,(Vell.) Fr.All. ex Benth.,NA,ESA010826,NA,NA,Piracicaba,-47.6399993896484,-22.7199993133545,"44778",auto,NA,NA,"1993","05","28",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.310001373291,-22.9400005340576,"108",2020-11-04 11:09:19-03,ESALQ,ESA,"64192",PreservedSpecimen,Plantae,Fabaceae,Dalbergia,nigra,Dalbergia nigra,"Souza, J.P.","2153.0","1998","03","01",NA,Brasil,São Paulo,Haras Vanguarda. Módulo 1,NA,NA,"Árvore, frutos imaturos verdes",ESA064192,Magnoliophyta,NA,NA,NA,ESA064192,NA,NA,Monte Mor,-47.310001373291,-22.9400005340576,"12206",auto,NA,NA,"1998","05","26",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
