X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,class,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5,-22.75,"1",2021-03-15 16:37:00-03,NY,NYBG,"615653",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,L. R. Landrum,L. R. Landrum,"2820","1977","12","05",South America,Brazil,São Paulo,Campos do Jordao,Reserva florestal de Campos de Jordao. ALong road and stream about 1-2 km past administration and nursery into the Reserva,-45.5,-22.75,"1600","1600",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274571' target='other'> <mi>dwc_moreinfo</mi></a>,NY00615653,NY00615653_01,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5,-22.75,"2",2021-03-15 16:37:00-03,NY,NYBG,"615654",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,L. R. Landrum,L. R. Landrum,"2830","1977","12","05",South America,Brazil,São Paulo,Campos do Jordao,Reserva florestal de Campos de Jordao. Along road and stream about 1-2 km past administration and nursery into the Reserva,-45.5,-22.75,"1600","1600",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=274572' target='other'> <mi>dwc_moreinfo</mi></a>,NY00615654,NY00615654_01,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"4",2019-02-15 11:46:20-02,IPA,IPA,"50549",S,Plantae,Plantae,NA,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D. Legrand & Kausel,"Lima, M.P.M. de","Barreto, R.A.A.","158","1980","08","18",Southern America,Brasil,São Paulo,Campos do Jordão,Parque Estadual de Campos do Jordão,-45.5900001525879,-22.7299995422363,"1570","1570",NA,"Árvore ca. 8m; frutos de maturação verde. Frequência mediana.; Floresta Ombrófila Mista.",IPA0050549,NA,"1981","10","21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5,-22.75,"9",2018-03-08 09:13:18-03,ASU,ASU-PLANTS,ASU0019693,PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,NA,L. R. Landrum,"2830","1977","12","5",NA,Brazil,Sao Paulo,NA,Campos de Jordao. Along road and stream about 1-2km past administration and nursery into the Reserva.,-45.5,-22.75,NA,NA,NA,"Shrub 2m tall; growing on the edge of wet campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"10",2020-12-21 16:36:57-03,MBM,MBM,"119964",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,"Fonseca Vaz, A.M.S. da","Fonseca Vaz, A.M.S. da","318","1979","11","23",Southern America,Brazil,São Paulo,Campos do Jordão,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM119964,MBM119964,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"11",2020-12-21 16:36:57-03,MBM,MBM,"212017",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,"Landrum, L.R.","Mattos, J.","14736","1966","12","17",Southern America,Brazil,São Paulo,Campos do Jordão,Reserva Florestal,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM212017,MBM212017,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"12",2020-12-21 16:36:57-03,MBM,MBM,"66304",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,"Landrum, L.R.","Landrum, L.R.","2830","1977","12","05",Southern America,Brazil,São Paulo,Campos do Jordão,Reserva Florestal de Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM066304,MBM066304,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"13",2020-12-21 16:36:57-03,MBM,MBM,"66020",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,"Landrum, L.R.","Landrum, L.R.","2822","1977","12","05",Southern America,Brazil,São Paulo,Campos do Jordão,Reserva Florestal de Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,MBM066020,MBM066020,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"14",2019-11-01 15:28:29-03,PUC-RIO,FCAB,"7155",PreservedSpecimen,Plantae,NA,Angiospermae,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,"D. Legrand; Kausel",P. Capell S.J.,"1368","1952","12","15",NA,Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,"Nossa floresta, plantio de três a quatro mestros.","007155",NA,NA,NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"18",2019-11-13 11:26:54-03,USP,SPF,"121379",PreservedSpecimen,Plantae,NA,NA,Myrtaceae,Myrceugenia,brevipedicellata,Myrceugenia brevipedicellata,(Burret) D.Legrand & Kausel,"Landrum, LR","Mattos, J","14736","1966","12","17",NA,Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,SPF00121379,NA,"1977",NA,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
