X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,year,month,day,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,fieldNumber,dayIdentified,individualCount,class,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.6,"4",2021-03-15 16:37:00-03,NY,NYBG,"1017665",PreservedSpecimen,Plantae,Magnoliophyta,Asterales,Asteraceae,Austrocritonia,angulicaulis,Austrocritonia angulicaulis,(Sch.Bip. ex Baker) R.M.King & H.Rob.,C. G. Fonseca,"10",South America,Brazil,São Paulo,"Parque do Estado (on old maps Parque de Agua Funda), grounds of the Instituto de Botanica. Ca. 10 km S of center of So Paulo (Praça da Sé)",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1221528' target='other'> <mi>dwc_moreinfo</mi></a>,NY01017665,NY01017665_01,H. E. Robinson,"1961","02","06",São Paulo,-46.63,-23.6,"800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.4599990844727,-22.9200000762939,"41",2019-11-21 09:59:50-03,IBt,SP,"294057",S,Plantae,NA,NA,Asteraceae,Austrocritonia,angulicaulis,Austrocritonia angulicaulis,(Baker) R.M.King & H.Rob.,"Nicolau, SA; Kakuta, FY; Guedes Souza, H","686",NA,Brasil,São Paulo,"Fazenda São Sebastião do Ribeirão Grande, talhão 4, topo do morro.",NA,NA,SP031154,SP031154,"Esteves, RL","1993","07","01",Pindamonhangaba,-45.4599990844727,-22.9200000762939,NA,NA,"2001",NA,NA,NA,"24176",auto,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
