X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,recordNumber,year,month,day,verbatimLongitude,occurrenceRemarks,barcode,phylum,monthIdentified,dayIdentified,recordedBy,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,imagecode,geoFlag,locality,minimumElevationInMeters,maximumElevationInMeters,typeStatus,continentOcean,verbatimLatitude,preparationType,class,order,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.9900016784668,-23.8700008392334,"2",2020-11-04 11:12:04-03,ESALQ,ESA,"105461",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,NA,"Baitello, J.B.","2002",NA,"2002","03","13",NA,NA,ESA105461,Magnoliophyta,"03","17","Aguiar, O.T.",Brasil,São Paulo,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,"27904",ESA105461,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"3",2020-11-04 11:12:04-03,ESALQ,ESA,"51982",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,Mez,"Baitello, J.B.",NA,"404.0",NA,NA,NA,NA,em clareira,ESA051982,Magnoliophyta,NA,NA,"Lima, R.A.F.",Brasil,São Paulo,Sete Barras,-47.9199981689453,-24.3799991607666,"34059",ESA051982,auto,Parcela permanente - Parque Estadual de Carlos Botelho,"400","400",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-24.3799991607666,"4",2020-11-04 11:12:04-03,ESALQ,ESA,"109606",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,NA,"Baitello, J.B.","2008","812.0","2008","05","17",NA,NA,ESA109606,Magnoliophyta,"06",NA,"Lima, R.A.F. ; Ivanauskas, N.M.",Brasil,São Paulo,Sete Barras,-47.9199981689453,-24.3799991607666,"34059",ESA109606,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.1300010681152,-23.2999992370605,"9",2021-03-01 16:32:40-03,UNICAMP,UEC,"70176",S,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,Mez,"Baitello, JB","1997",s.n.,"1972","05","20",NA,"Árvore, 5m, flores creme. Nativo.",UEC133658,Magnoliopsida,"05","22","Daniel, A",Brazil,São Paulo,Cabreúva,-47.1300010681152,-23.2999992370605,"16877",UEC133658,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"14",2020-12-21 16:31:04-03,MBM,MBM,"121169",PreservedSpecimen,Plantae,Lauraceae,Ocotea,conferta,Ocotea conferta,Coe-Teixeira,"Hoehne, W.",NA,"695","1941","08",NA,NA,NA,MBM121169,NA,NA,NA,"Hoehne, W.",Brazil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",MBM121169,auto,Cidade Jardim,NA,NA,NA,Southern America,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"23",2019-11-13 11:21:13-03,USP,SPF,"13109",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,Mez,"Baitello, JB","1997","695","1941","08",NA,NA,NA,SPF00013109,NA,"03","10","Hoehne, W",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",NA,auto,Cidade Jardim.,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"24",2019-11-13 11:21:13-03,USP,SPF,"115383",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,Mez,"Baitello, JB","1997","678","1985","08","23",NA,NA,SPF00115383,NA,"09","02","Coelho, JCR",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",NA,auto,Parque Morumbi.,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"25",2019-11-13 11:21:13-03,USP,SPF,"13111",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,Mez,"Baitello, JB","1997",s.n.,"1934","07","23",NA,NA,SPF00013111,NA,"12","10","Gehrt, A",Brasil,São Paulo,São Paulo,-46.6300010681152,-23.5400009155273,"53584",NA,auto,Pinheiros.,NA,NA,isotype,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9900016784668,-23.8700008392334,"33",2021-03-04 15:44:14-03,IF,SPSF,"35370",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,NA,J.B.Baitello,"2007","1787","2005","09","30",NA,"COLETA: XLS: SPSFNovo; Árvore frondosa; GEOGRAFIA: estrada interna&nf;;",NA,Magnoliophyta,"09","05",J.B.Baitello & N.M.Ivanauskas & G.A.D.C.Francfo,Brasil,SP,São Miguel Arcanjo,-47.9900016784668,-23.8700008392334,"27904",NA,auto,P.E.Carlos Botelho,NA,NA,NA,América do Sul,NA,NA,Magnoliopsida,Laurales,NA,"35",São Paulo,SP,Sudeste
-46.7,-23.583333,"35",2021-03-04 15:44:14-03,IF,SPSF,"22912",PreservedSpecimen,Plantae,Lauraceae,Ocotea,mosenii,Ocotea mosenii,Mez,J.B.Baitello,"1998","571","1994","10","07",NA,"COLETA: XLS: SPSFAntigo&nf;Árvore 15m altura; flores cor amarelo-alaranjada.;",NA,Magnoliophyta,"08","15",S.Aragaki & J.A.Correa,Brasil,SP,São Paulo,-46.7,-23.583333,NA,NA,NA,parque municipal Alfredo Volpi,NA,NA,NA,América do Sul,NA,NA,Magnoliopsida,Laurales,NA,"35",São Paulo,SP,Sudeste
