X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,verbatimLongitude,verbatimLatitude,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,typeStatus,individualCount,class,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.733333,-22.95,"32",2019-11-13 11:30:09-03,USP,SPF,"203519",PreservedSpecimen,Plantae,NA,NA,Rubiaceae,Guettarda,platyphylla,Guettarda platyphylla,Müll.Arg.,"Zappi, DC","Pizo, MA","1","2002","10","27",NA,Brasil,São Paulo,Itatiba,NA,-46.733333,-22.95,"800","800",NA,NA,SPF00203519,NA,"-46.733333","-22.95","2010",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.333333,-21.833333,"48",2019-11-01 15:09:15-03,UnB,UB,"176518",PreservedSpecimen,Plantae,Dicotyledoneae,NA,Rubiaceae,Guettarda,platyphylla,Guettarda platyphylla,Müll.Arg.,Incógnito,"Proença, CEB; Bean, MF","486","1985","04","06",Southern America,Brasil,São Paulo,NA,Estrada entre Orlandia e Jaborandi,-48.333333,-21.833333,NA,NA,NA,"Trepadeira lenhosa com espinhos. Frutos vermelhos escarlate.; Mata de galeria perturbada",NA,NA,"-48.333333","-21.833333","2000",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
