X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,day,county,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,typeStatus,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.060001373291,-22.3099994659424,"119",2021-04-08 17:41:36-03,EAO,IAN,"177000",PreservedSpecimen,Plantae,Dicotiledônea,NA,Leguminosae-Pap.,Dipteryx,alata,Dipteryx alata,Vogel,"Itoman, MK","15","1991","02",Southern America,Brasil,São Paulo,"Estação Experimental, Instituto Florestal.",-49.060001373291,-22.3099994659424,NA,"Árvore de 15m; caule rugoso claro; flores de corola amarelo-alaranjada.",IAN177000,NA,"Carvalho, C","05",Bauru,NA,NA,NA,NA,"29186",auto,"2016","12",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-52.1599998474121,-22.5300006866455,"167",2020-11-04 11:09:20-03,ESALQ,ESA,"129189",PreservedSpecimen,Plantae,Magnoliophyta,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,NA,"Colletta, G.D.","1605.0","2014","05",NA,Brasil,São Paulo,Parque Estadual Morro do Diabo,-52.1599998474121,-22.5300006866455,NA,"Árvore, 10, frutoa acastanhados",ESA129189,NA,"Colletta, G.D. & Flores, T.B.","21",Teodoro Sampaio,NA,NA,NA,NA,"54606",auto,"2014",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2900009155273,-22.7700004577637,"168",2020-11-04 11:09:20-03,ESALQ,ESA,"129104",PreservedSpecimen,Plantae,Magnoliophyta,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,NA,"Colletta, G.D.","1520.0","2014","05",NA,Brasil,São Paulo,Plantarum,-47.2900009155273,-22.7700004577637,NA,"Árvore, 5m",ESA129104,NA,"Colletta, G.D. et al.","15",Nova Odessa,NA,NA,NA,NA,"8440",auto,"2014",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"354",2021-03-01 16:30:30-03,UNICAMP,UEC,"192319",S,Plantae,Magnoliopsida,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Geremias, A",IAC41504,"2001","01",NA,Brazil,São Paulo,"Fazenda Santa Elisa, Quadra do abacateiro.",-47.060001373291,-22.8999996185303,NA,"Árvore de 7 m, flores com sépalas cor creme esverdeada pétalas arroxeadas.",UEC126706,UEC126706,NA,"03",Campinas,NA,NA,NA,NA,"23900",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-51.3400001525879,-20.4300003051758,"355",2019-08-20 10:13:25-03,UNICAMP,UEC,"127202",S,Plantae,Magnoliopsida,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Pereira-Noronha, MR","1507","1995","08",NA,Brazil,São Paulo,"Fazenda Santa Isabel, Antiga Fazenda Lagoinha.",-51.3400001525879,-20.4300003051758,NA,"fruto, Árvore de cerca de 15 m de altura, frutos imaturos verdes acastanhados. Mata mesófila alta, cortada por córrego, relativamente bem preservada. Nome vulgar: barú ou cumarú.",NA,NA,"Pereira-Noronha, MR","03",Ilha Solteira,NA,NA,NA,NA,"31913",auto,"1996","03",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9421997070312,-22.372200012207,"356",2021-03-01 16:30:30-03,UNICAMP,UEC,"193051",S,Plantae,Magnoliopsida,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Cordeiro, L",HRCB5832,"1985","07",NA,Brazil,São Paulo,"Instituto florestal, Fazenda Campininha.",-46.9421997070312,-22.372200012207,NA,"Árvore com frutos.; Cultivada.",UEC126204,UEC126204,"Gianotti, E","24",Mogi Guaçu,NA,NA,NA,NA,"39309",auto,"1985","07","30",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9500007629395,-22.4300003051758,"357",2019-08-20 10:13:25-03,UNICAMP,UEC,"58082",S,Plantae,Magnoliopsida,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Carvalho, RM","21949","1989","05",NA,Brazil,São Paulo,Horto Florestal,-46.9500007629395,-22.4300003051758,NA,"fruto, Árvore, frutos maduros.",NA,NA,NA,"03",Mogi Mirim,NA,NA,NA,NA,"19575",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"391",2020-12-21 16:26:23-03,MBM,MBM,"353697",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Peres, F.S.; et al.; et al.","3","2003","01",Southern America,Brazil,São Paulo,"Parque Estadual Alberto Löfgren, próximo da casa 4, área administrativa",-46.6300010681152,-23.5400009155273,NA,"Árvore 4 a 5 m altura, flores com pétalas brancas e fundo roxo.",MBM353697,MBM353697,"Franco, G.A.D.C.","20",São Paulo,NA,NA,NA,NA,"53584",auto,"2001","01","20",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.939998626709,-20.4899997711182,"412",2020-12-21 16:26:23-03,MBM,MBM,"207657",PreservedSpecimen,Plantae,NA,NA,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Pastore, J.A.; et al.; et al.","788",NA,NA,Southern America,Brazil,São Paulo,Ribeirão Grande,-48.939998626709,-20.4899997711182,NA,NA,MBM207657,MBM207657,"Franco, G.A.D.C.",NA,Guaraci,NA,NA,NA,NA,"39378",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.24638889,-20.54361111,"595",2020-06-22 14:18:01-03,UNESP-IBILCE,SJRP,"33824",PreservedSpecimen,Plantae,Tracheophyta,Fabales,Fabaceae,Dipteryx,alata,Dipteryx alata,Vogel,"Almeida Neto, A. & Ranga, N. T.","237.0","2009","05",America do Sul,Brasil,São Paulo,Fazenda São João,-49.24638889,-20.54361111,NA,"Árvore, P-D 73, I-828. Biota",NA,NA,NA,"13",Nova Granada (G6),NA,NA,"-49.24638889","-20.54361111",NA,NA,NA,NA,NA,Magnoliopsida,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
