X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,order,scientificNameAuthorship,recordNumber,year,month,stateProvince,county,locality,decimalLongitude,decimalLatitude,imagecode,day,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,identifiedBy,yearIdentified,monthIdentified,dayIdentified,class,verbatimLongitude,verbatimLatitude,typeStatus,fieldNumber,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.555556,-24.165833,"163",2019-12-19 16:18:50-03,UFMG,BHCB-SL,"163029",PreservedSpecimen,Plantae,Anemiaceae,Anemia,blechnoides,Anemia blechnoides,"Almeida, TE; Salino, A; Bettinardi, ML; Mello, FNA; Flores, TB; Braga, DPP",América,Brasil,NA,NA,Erva terrestre/rupícola a beira de trilha no interior de floresta. Prensado em álcool. Curso de Taxonomia de Campo USP/ESALQ - UNICAMP.,NA,NA,NA,Sm.,"3219","2013","03",São Paulo,Juquiá,"Reserva Votorantim, Complexo Juquiá, Trilha Casa da Pedra. UHE Serraria. Floresta Ombrófila Densa.",-47.555556,-24.165833,NA,"28","102","102",NA,NA,"Salino, A",NA,NA,NA,NA,"-47.555556","-24.165833",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7099990844727,-21.9300003051758,"170",2019-11-07 11:13:45-03,UFMG,BHCB-SL,"32055",PreservedSpecimen,Plantae,Anemiaceae,Anemia,blechnoides,Anemia blechnoides,"Salino, A",América,Brasil,NA,NA,NA,NA,NA,NA,Sm.,"2730","1996","05",São Paulo,Águas da Prata,Fonte Platina,-46.7099990844727,-21.9300003051758,NA,"13",NA,NA,"13435",auto,"Salino, A","2007","11",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.265594,-22.835274,"173",2016-08-23 09:46:44-03,NHMLondon,NHM-LONDON-BOT,BM000800373,S,Plantae,Schizaeaceae,Anemia,blechnoides,Anemia blechnoides,"Collaboration; A.H.G. Alston & B.M.J. Lutz",NA,Brasil,NA,NHMUK:ecatalogue:4876660,NA,NA,Pteridophyta,NA,Sm.,"332","1938","10",NA,NA,NA,-47.265594,-22.835274,NA,"27",NA,NA,NA,NA,"John Thomas Mickel; New York Botanical Garden; b.1934; Mickel","2006",NA,NA,NA,"-47.265594","-22.835274",NA,NA,NA,"35",São Paulo,SP,Sudeste
