X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,class,typeStatus,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.059444,-23.671944,"23",2020-10-29 16:35:19-03,MBML,MBML-HERBARIO,"54319",NA,Plantae,NA,NA,Begoniaceae,Begonia,dentatiloba,Begonia dentatiloba,A.DC.,Kollmann,"L.Kollmann; M.Peixoto & H.Lorenzi","13600","2020","03","20",NA,Brasil,São Paulo,Moji das Cruzes,Estrada da torre,-46.059444,-23.671944,NA,NA,NA,"Erva rupicola na meia sombra, frutos verdes.",MBML054319,MBML054319,NA,NA,NA,NA,NA,46W3'34,23S40'19,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0699996948242,-23.4300003051758,"24",2020-06-17 15:24:49-03,UNESP-RC,HRCB,"13310",PreservedSpecimen,Plantae,NA,NA,Begoniaceae,Begonia,dentatiloba,Begonia dentatiloba,A. DC.,S. J. Gomes da Silva,"Furlan, A.",NA,NA,NA,NA,NA,Brasil,São Paulo,Ubatuba,Picinguaba - Parque Estadual da Serra do Mar,-45.0699996948242,-23.4300003051758,NA,NA,NA,NA,NA,NA,"34265",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
