X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,barcode,imagecode,occurrenceRemarks,phylum,order,continentOcean,preparationType,infraspecificEpithet,coordinatePrecision,geoFlag,class,relatedCatalogItem,relationshipType,individualCount,fieldNumber,typeStatus,previousCatalogNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.492222,-22.881111,"104",2021-02-08 11:10:15-03,UNESP-IBB,BOTU,"27718",PreservedSpecimen,Plantae,Siparunaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Magalhães, J.H.R.","2010",NA,NA,"Magalhães, J.H.R.","26","2010","01","29",Brasil,São Paulo,Botucatu,Distrito de Rubião Júnior,-48.492222,-22.881111,48°29'32w,22°52'52s,NA,NA,BOTU027718,NA,"Arvoreta 4m., conjunto de frutos aderidos a um receptáculo, deixando cicatrizes ao caírem, planta com a copa decumbente",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.433333,-22.866667,"106",2021-02-08 11:10:15-03,UNESP-IBB,BOTU,"29951",PreservedSpecimen,Plantae,Siparunaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,NA,NA,NA,NA,"Bignotto, R.B.","303","2004","05","19",Brasil,São Paulo,Botucatu,NA,-48.433333,-22.866667,48°26'w,22°52's,NA,NA,BOTU029951,NA,"Árvore 2m de altura, frutos imaturos verdes e maduros negros; Coleção: Jardim Botânico UNESP Botucatu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"123",2020-01-20 14:40:39-03,UPM,MACK,"1676",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,NA,NA,NA,NA,"A. M. Campos; et al.","13","2012","09","13",Brasil,SP,Campos do Jordão,"Colônia Umuarama, Trilha das sete quedas",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"124",2020-01-20 14:40:39-03,UPM,MACK,"1736",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,NA,NA,NA,NA,V. Mendez,"11","2012","09","19",Brasil,SP,Campos do Jordão,"Colônia Umuarama, Trilha das sete quedas",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"125",2020-01-20 14:40:39-03,UPM,MACK,"1780",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,D. Sampaio,"2012",NA,NA,G. Ambrosino,"10","2012","09","19",Brasil,SP,Campos do Jordão,"Colônia Umuarama, Trilha das sete quedas",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"126",2020-01-20 14:40:39-03,UPM,MACK,"883",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,NA,NA,NA,NA,"Camila; Eduardo; Rodrigo",s/n,"2010","07","20",Brasil,SP,Peruíbe,Restinga alta.,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-24.3199996948242,"171",2020-11-04 11:14:07-03,ESALQ,ESA,"11331",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,cyathantha,Mollinedia cyathantha,Perk.,"Peixoto, A.L.",NA,NA,NA,"Souza, V.C. ; Eterovic, A.","521.0","1989","04","01",Brasil,São Paulo,Peruíbe,NA,-46.9900016784668,-24.3199996948242,NA,NA,NA,NA,ESA011331,ESA011331,NA,Magnoliophyta,NA,NA,NA,NA,"21922",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9199981689453,-25.0100002288818,"172",2020-11-04 11:14:07-03,ESALQ,ESA,"95179",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Rando, J.G.",NA,NA,NA,"Carboni, M. et al.","138.0","2005","03","26",Brasil,São Paulo,Cananéia,NA,-47.9199981689453,-25.0100002288818,NA,NA,NA,NA,ESA095179,ESA095179,NA,Magnoliophyta,NA,NA,NA,NA,"37574",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.3400001525879,-24.1100006103516,"173",2020-11-04 11:14:07-03,ESALQ,ESA,"40538",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,(Spreng.) Perkins,"Lírio, E.J.","2016",NA,NA,"Chung, F. et.al.","56.0","1997","12","11",Brasil,São Paulo,Itararé,NA,-49.3400001525879,-24.1100006103516,NA,NA,NA,NA,ESA040538,ESA040538,NA,Magnoliophyta,NA,NA,NA,NA,"27729",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.8800010681152,-24.7099990844727,"174",2020-11-04 11:14:07-03,ESALQ,ESA,"76161",PreservedSpecimen,Plantae,Monimiaceae,Mollinedia,schottiana,Mollinedia schottiana,NA,"Franco, G.A.D.C. & Sztutman, M.",NA,NA,NA,"Sztutman, M. ; Valmir","75.0","1998","11","23",Brasil,São Paulo,Pariquera-Açu,NA,-47.8800010681152,-24.7099990844727,NA,NA,NA,NA,ESA076161,ESA076161,NA,Magnoliophyta,NA,NA,NA,NA,"17990",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
