X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,phylum,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordNumber,year,month,day,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,geoFlag,class,order,imagecode,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,relatedCatalogItem,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5900001525879,-22.7299995422363,"6",2020-12-20 21:18:55-03,UFV,VIC,"051125",PreservedSpecimen,Plantae,Poaceae,Chusquea,anelythra,Chusquea anelythra,NA,"Clark, L.G.",NA,Brasil,NA,NA,Em mata planta robusta.,VIC051125,NA,Nees,NA,NA,NA,NA,"16061","1990","01","19",São Paulo,Campos do Jordão,"São José dos Alpes, Parque Estadual.",-45.5900001525879,-22.7299995422363,"21048",NA,NA,auto,NA,NA,VIC051125,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.3199996948242,-22.6800003051758,"12",2020-12-11 11:45:01-03,UFMG,BHCB,"131199",PreservedSpecimen,Plantae,Poaceae,Chusquea,anelythra,Chusquea anelythra,NA,"Viana, PL; Mota, NFO; Giacomin, LL",Southern America,Brasil,NA,NA,"Bambu escandente. Frequente.; Em beira de riacho.",BHCB045603,Monocotyledon,Nees,NA,"2018","03","21","4186","2009","04","08",São Paulo,Bananal,Estação Ecológica de Bananal,-44.3199996948242,-22.6800003051758,"26795",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46,-23.55,"111",2019-11-21 10:15:03-03,IBt,SP,"238210",S,Plantae,Poaceae,Chusquea,anelythra,Chusquea anelythra,NA,"Clark, L; Morel, M",NA,Brasil,NA,NA,NA,SP042253,NA,Nees,NA,NA,NA,NA,"655","1990","02","03",São Paulo,Biritiba-Mirim,"road Biritiba Mirim - Salesópolis, SP-88, km 84-85",-46,-23.55,NA,"730","730",NA,NA,NA,SP042253,"-46","-23.55",NA,NA,NA,"35",São Paulo,SP,Sudeste
-46,-23.55,"112",2019-11-21 10:15:03-03,IBt,SP,238210a,S,Plantae,Poaceae,Chusquea,anelythra,Chusquea anelythra,NA,"Clark, L; Morel, M",NA,Brasil,NA,NA,NA,SP042265,NA,Nees,NA,NA,NA,NA,"655","1990","02","03",São Paulo,Biritiba-Mirim,"road Biritiba Mirim - Salesópolis, SP-88, km 84-85",-46,-23.55,NA,"730","730",NA,NA,NA,SP042265,"-46","-23.55",NA,NA,NA,"35",São Paulo,SP,Sudeste
