X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,recordedBy,recordNumber,continentOcean,country,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,year,month,day,phylum,scientificNameAuthorship,stateProvince,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,identifiedBy,county,typeStatus,imagecode,yearIdentified,monthIdentified,verbatimLongitude,verbatimLatitude,coordinatePrecision,geoFlag,order,individualCount,fieldNumber,class,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.589722,-22.73,"29",2019-05-02 10:55:13-03,IBt,SP-BRYOPHYTA,"191860",S,Plantae,Polytrichaceae,Itatiella,ulei,Itatiella ulei,"Yano, O.; Watanabe, H.M.","9238",Southern America,BRASIL,NA,NA,"no barranco arenoso, próximo da estrada",SP086933,"1984","09","29",NA,(Broth. ex Müll. Hal.) G.L. Smith,São Paulo,Parque Estadual de Campos do Jordão,-45.589722,-22.73,"2000","2000","Peralta, D.F.",Campos do Jordão,NA,NA,"2006","06","-45.589722","-22.73",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.589722,-22.73,"30",2019-05-02 10:55:13-03,IBt,SP-BRYOPHYTA,"191863",S,Plantae,Polytrichaceae,Itatiella,ulei,Itatiella ulei,"Yano, O.; Watanabe, H.M.","9241",Southern America,BRASIL,NA,NA,No solo arenoso úmido junto da estrada,SP086936,"1984","09","29",NA,(Broth. ex Müll. Hal.) G.L. Smith,São Paulo,Parque Estadual de Campos do Jordão,-45.589722,-22.73,"2000","2000","Peralta, D.F.",Campos do Jordão,NA,NA,"2006","06","-45.589722","-22.73",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.023333,-22.644722,"67",2019-11-01 14:50:30-03,UnB,UB,NA,PreservedSpecimen,Plantae,Polytrichaceae,Itatiella,ulei,Itatiella ulei,"Alkimim-Faria, AL","1210",Southern America,Brasil,NA,NA,"Associado a Anomobryum julaceum; Sobre rocha, campos de altitude",NA,"2019","03","11",Bryophyta,(Broth. ex Müll. Hal.),Rio de Janeiro,Parque Nacional do Itatiaia - parte alta,-45.023333,-22.644722,"1300","1300","Alkimim-Faria, AL",Itatiaia,NA,NA,NA,NA,"-45.023333","-22.644722",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.026111,-22.755278,"68",2020-07-29 09:02:58-03,UnB,UB,NA,PreservedSpecimen,Plantae,Polytrichaceae,Itatiella,ulei,Itatiella ulei,"Silva, AL","466",Southern America,Brasil,NA,NA,"Sobre solo, Campo de altitude, parte alta do parque, próximo ao abrigo Rebouça",NA,"2019","03","12",Bryophyta,(Broth. ex Müll. Hal.),Rio de Janeiro,Parque Nacional do Itatiaia - parte baixa,-45.026111,-22.755278,"1300","1300","Peralta, DF",Itatiaia,NA,NA,NA,NA,"-45.026111","-22.755278",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
