X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,typeStatus,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,monthIdentified,county,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.886229,-23.65179,"1",2021-03-15 16:37:00-03,NY,NYBG,"251410",PreservedSpecimen,Plantae,Magnoliophyta,Piperales,Piperaceae,Piper,kuhlmannii,Piper kuhlmannii,Yunck.,isotype,M. Kuhlmann,"2331","1950","02","15",South America,Brazil,São Paulo,"Salesopolis, Boraceia",-45.886229,-23.65179,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=350751' target='other'> <mi>dwc_moreinfo</mi></a>,NY00251410,NY00251410_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45,-23,"2",2019-11-21 10:14:25-03,IBt,SP,"195652",S,Plantae,NA,NA,Piperaceae,Piper,kuhlmannii,Piper kuhlmannii,Yunck.,NA,"Custodio Filho, A","1833","1983","11","14",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, 23°38'-23°49' S, 45°52'-45°53' W.",-45,-23,NA,NA,NA,NA,"Carvalho Silva, M","2011","08",Biritiba-Mirim,"-45","-23","890","950",NA,NA,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"3",2019-11-21 10:14:25-03,IBt,SP,"55646",S,Plantae,NA,NA,Piperaceae,Piper,kuhlmannii,Piper kuhlmannii,Yunck.,Holotype,"Kuhlmann, M","2331","1950","02","15",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, Cerrados úmidos",-45.8400001525879,-23.5300006866455,NA,NA,SP001483,SP001483,"Yuncker, TG","1961",NA,Salesópolis,NA,NA,NA,NA,"18032",auto,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"4",2019-11-21 10:14:25-03,IBt,SP,"292578",S,Plantae,NA,NA,Piperaceae,Piper,kuhlmannii,Piper kuhlmannii,Yunck.,NA,"Shirasuna, RT; Simão Bianchini, R; Rossi, L; Kiyama, CY","36","1994","09","05",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, Estrada para a barragem da SABESP no Rio Guaratuba.",-45.8400001525879,-23.5300006866455,NA,NA,NA,NA,"Guimarães, EF","2012",NA,Salesópolis,NA,NA,NA,NA,"18032",auto,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"5",2019-11-21 10:14:25-03,IBt,SP,"157931",S,Plantae,NA,NA,Piperaceae,Piper,kuhlmannii,Piper kuhlmannii,Yunck.,NA,"Mattos, J; Mattos, N","14265","1967","11","29",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, Perto do Rio Coruja.",-45.8400001525879,-23.5300006866455,NA,NA,NA,NA,"Carvalho Silva, M","2011","08",Salesópolis,NA,NA,NA,NA,"18032",auto,"35",São Paulo,SP,Sudeste
-45.8400001525879,-23.5300006866455,"6",2019-11-21 10:14:25-03,IBt,SP,"115974",S,Plantae,NA,NA,Piperaceae,Piper,kuhlmannii,Piper kuhlmannii,Yunck.,NA,"Mattos, J","13869","1966","08","26",NA,Brasil,São Paulo,"Estação Biológica de Boracéia, Perto do Rio Coruja.",-45.8400001525879,-23.5300006866455,NA,NA,NA,NA,"Carvalho Silva, M","2011","08",Salesópolis,NA,NA,NA,NA,"18032",auto,"35",São Paulo,SP,Sudeste
