X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,typeStatus,recordedBy,recordNumber,continentOcean,country,stateProvince,preparationType,previousCatalogNumber,occurrenceRemarks,barcode,year,month,day,locality,phylum,order,scientificNameAuthorship,county,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,identifiedBy,imagecode,yearIdentified,monthIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"8",2021-03-15 16:37:00-03,NY,NYBG,"781588",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,Hoehne,s.n.,South America,Brazil,São Paulo,sheet,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=706511' target='other'> <mi>dwc_moreinfo</mi></a>,NY00781588,"1924","01","24",Parque Jabaquara.,Magnoliophyta,Asterales,Baker,Sao Paulo,-46.63,-23.5403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-50.8899993896484,-22.2199993133545,"109",2020-12-21 16:14:07-03,MBM,MBM,"14727",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Hatschbach, G.","23495",Southern America,Brazil,São Paulo,NA,NA,"Planta 70 cm, capítulos amarelos.; Cerrado.",MBM014727,"1970","02","14",NA,NA,NA,(Gardner) Baker,Rancharia,-50.8899993896484,-22.2199993133545,NA,NA,"Magenta, M.",MBM014727,"2002","03","50606",auto,NA,NA,"25",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.440278,-22.880556,"133",2021-02-12 12:24:31-03,UFMA,MAR,"1734",S,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,Ilse S. Gottsberger,"193",NA,Brasil,São Paulo,NA,NA,"Cerrado vegetation, xeromorphic tree and scrub woodland form, on gentle slope. Alt. 550m",NA,"1970","05","21",NA,NA,NA,(Gardner) Baker,Botucatu,-48.440278,-22.880556,NA,NA,NA,NA,"2015","08",NA,NA,48º26'25W,22º52'50S,"21",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.440278,-22.880556,"134",2021-02-12 12:24:31-03,UFMA,MAR,"467",S,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,I. S. Gottsberger,"124",NA,Brasil,São Paulo,NA,NA,"Cerrado vegetation, xeromorphic tree and scrub woodland form, on gentle slope.",NA,"1973","01","18",NA,NA,NA,(Gardner) Baker,Botucatu,-48.440278,-22.880556,NA,NA,NA,NA,"2015","08",NA,NA,48º26'25W,22º52'50S,"21",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"157",2020-06-15 15:28:42-03,UNESP-RC,HRCB,"1952",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Noronha, M.R.P.","1",NA,Brasil,São Paulo,NA,NA,"Arbusto ca. 1,2m altura. Flores amarelas.",NA,"1978","10","27",Fazenda Treze de Maio,NA,NA,Baker,Botucatu,-48.416667,-22.75,"550","550","Gottsberger, G.",NA,NA,NA,NA,NA,48º25'W,22º45'S,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"231",2019-11-01 14:53:09-03,UnB,UB,"123335",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Gottsberger, IS",2037124R,Southern America,Brasil,São Paulo,NA,NA,Cerrado,NA,"1973","01","18",18km north of Botucatu,Dicotyledoneae,NA,(Gardner) Baker,Botucatu,-48.416667,-22.75,NA,NA,"Gottsberger, IS",NA,"1974",NA,NA,NA,"-48.416667","-22.75",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"234",2019-11-01 14:53:09-03,UnB,UB,"123338",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Gottsberger, IS","193",Southern America,Brasil,São Paulo,NA,NA,"Flowers yellow.; Shrub.",NA,"1970","05","21",18km north of Botucatu,Dicotyledoneae,NA,(Gardner) Baker,Botucatu,-48.416667,-22.75,NA,NA,"Barroso, GM",NA,"1973",NA,NA,NA,"-48.416667","-22.75",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"235",2019-11-01 14:53:09-03,UnB,UB,"123340",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Gottsberger, IS",203778B,Southern America,Brasil,São Paulo,NA,NA,NA,NA,"1971","03","15",18km north of Botucatu,Dicotyledoneae,NA,(Gardner) Baker,NA,-48.416667,-22.75,NA,NA,"Gottsberger, IS",NA,"1974",NA,NA,NA,"-48.416667","-22.75",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"236",2019-11-01 14:53:09-03,UnB,UB,"173468",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Gottsberger, IS","931",Southern America,Brasil,São Paulo,NA,NA,"N9 - Empréstimo.; Vegetation, xeromorphic tree & scrub woodland form, on gentle slope.; Cerrado.",NA,"1971","01","11",Município de Botucatu: 18 km north of Botucatu (14 km east of São Manuel). Along the São Manuel Piracicaba highway. Near ex- RR station.,Dicotyledoneae,NA,(Gardner) Baker,Botucatu,-48.416667,-22.75,"550","550","Barroso, GM",NA,"1973",NA,NA,NA,"-48.416667","-22.75",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.416667,-22.75,"237",2019-11-01 14:53:09-03,UnB,UB,"173469",PreservedSpecimen,Plantae,Asteraceae,Aspilia,floribunda,Aspilia floribunda,NA,"Gottsberger, IS",15B,Southern America,Brasil,São Paulo,NA,NA,"N9 - Empréstimo.; Vegetation, xeromorphic tree & scrub woodland form, on gentle slope.; Cerrado.",NA,"1972","02","01",Município de Botucatu: 18 km north of Botucatu (14 km east of São Manuel). Along the São Manuel Piracicaba highway. Near ex- RR station.,Dicotyledoneae,NA,(Gardner) Baker,Botucatu,-48.416667,-22.75,"550","550","Gottsberger, IS",NA,"1973",NA,NA,NA,"-48.416667","-22.75",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
