X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,continentOcean,fieldNumber,preparationType,order,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5900001525879,-22.7299995422363,"5",2021-03-01 16:23:59-03,UNICAMP,UEC,"38513",S,Plantae,Magnoliopsida,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,"Teles, AM","2007","09","17","Sart, SJ; Santos Filho, DS","16597","1984","08","15",Brazil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"Árvore até 3m, flores amareladas.; Em mata e campo.",UEC122456,UEC122456,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"6",2021-03-01 16:23:59-03,UNICAMP,UEC,"113458",S,Plantae,Magnoliopsida,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,"Teles, AM","2007","09","17","Robim, MJ",s.n.,"1986","09","09",Brazil,São Paulo,Campos do Jordão,"Parque Estadual, região de São José dos Alpes.",-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"Árvore 8m altura, flores amarelas, forte odor azedo.",UEC122458,UEC122458,"21048",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"7",2021-03-01 16:23:59-03,UNICAMP,UEC,"29100",S,Plantae,Magnoliopsida,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,"Teles, AM","2005","03","15","Martins, FR; Dias, AC; Custódio-Filho, A","12375","1980","07","11",Brazil,São Paulo,Cunha,NA,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,"Árvore de 15 m, com botões.; Interior de mata.",UEC122459,UEC122459,"38855",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"8",2021-03-01 16:23:59-03,UNICAMP,UEC,"84473",S,Plantae,Magnoliopsida,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,"Teles, AM","2007","09","17","Kawazaki, ML; Franco, GADC",s.n.,"1994","08","18",Brazil,São Paulo,Cunha,Parque Estadual da Serra do Mar.,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,"Árvore 6m altura, flores amarelas, páleas verdes.; Pedreira.",UEC122452,UEC122452,"38855",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"9",2021-03-01 16:23:59-03,UNICAMP,UEC,"113462",S,Plantae,Magnoliopsida,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,"Teles, AM","2007","09","17","Custódio-Filho, A; Dias, AC; Franco, GADC",SPSF6165,"1980","08","11",Brazil,São Paulo,Cunha,P.E. Serra do Mar.,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,Árvore de 15m de altura.,UEC122453,UEC122453,"38855",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"10",2021-03-01 16:23:59-03,UNICAMP,UEC,"23401",S,Plantae,Magnoliopsida,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,"Teles, AM","2005","03","15","Custódio-Filho, A",s.n.,"1980","07","11",Brazil,São Paulo,Cunha,Reserva Florestal.,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,"Árvore 15m, em botão.",UEC122455,UEC122455,"38855",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"11",2020-12-21 16:15:45-03,MBM,MBM,"262552",PreservedSpecimen,Plantae,NA,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C. Jeffrey,"Rodrigues, T.S.",NA,NA,NA,"Robim, M.J.","413","1986","09","09",Brazil,São Paulo,Campos do Jordão,Parque Estadual,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,MBM262552,MBM262552,"21048",auto,Southern America,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.9599990844727,-23.0699996948242,"13",2020-12-21 16:15:45-03,MBM,MBM,"69142",PreservedSpecimen,Plantae,NA,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C. Jeffrey,"Matzenbacher, N.I.",NA,NA,NA,"Custodio, A.","293","1980","07","11",Brazil,São Paulo,Cunha,Reserva Florestal,-44.9599990844727,-23.0699996948242,NA,NA,NA,NA,NA,MBM069142,MBM069142,"38855",auto,Southern America,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.7308,-22.6889,"22",2019-06-24 08:12:22-03,IAC,IAC,"51486",S,Plantae,NA,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,G. Piassa,"2017","08","15",B.C. Pereira,s/nº,NA,NA,NA,Brasil,São Paulo,São Bento do Sapucaí,NA,-45.7308,-22.6889,"-45.7308","-22.6889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5914,-22.7394,"23",2019-06-24 08:12:22-03,IAC,IAC,"53796",S,Plantae,NA,Asteraceae,Dendrophorbium,glaziovii,Dendrophorbium glaziovii,(Baker) C.Jeffrey,G. Piassa,"2017","08","15",M.J. Robim,"413","1986","09","09",Brasil,São Paulo,Campos do Jordão,"Parque Estadual, região de São José dos Alpes",-45.5914,-22.7394,"-45.5914","-22.7394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
