X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,minimumElevationInMeters,maximumElevationInMeters,preparationType,occurrenceRemarks,barcode,imagecode,class,yearIdentified,monthIdentified,dayIdentified,coordinatePrecision,geoFlag,verbatimLongitude,verbatimLatitude,individualCount,typeStatus,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-44.678829,-22.840477,"1",2021-03-15 16:37:00-03,NY,NYBG,"478267",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O.Berg ex Triana) Cogn.,A. C. Brade,A. C. Brade,"20722","1951","04","24",South America,Brazil,São Paulo,Sao José do Barreiro,Serra da Bocaina,-44.678829,-22.840477,"1650","1650",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286846' target='other'> <mi>dwc_moreinfo</mi></a>,NY00478267,NY00478267_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.61657,-22.73318,"3",2021-03-15 16:37:00-03,NY,NYBG,"02098952",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O.Berg ex Triana) Cogn.,M. Reginato,F. Almeda,"9832","2009","03","16",South America,Brazil,São Paulo,São José do Barreiro,Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.,-44.61657,-22.73318,"1439","1509",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500281' target='other'> <mi>dwc_moreinfo</mi></a>,NY02098952,NY02098952_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.678829,-22.840477,"5",2021-03-15 16:37:00-03,NY,NYBG,"478266",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O.Berg ex Triana) Cogn.,A. C. Brade,A. C. Brade,"20722","1951","04","24",South America,Brazil,São Paulo,Sao José do Barreiro,Serra da Bocaina,-44.678829,-22.840477,"1650","1650",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=286845' target='other'> <mi>dwc_moreinfo</mi></a>,NY00478266,NY00478266_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.61657,-22.73318,"6",2021-03-15 16:37:00-03,NY,NYBG,"02098967",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O.Berg ex Triana) Cogn.,M. Reginato,F. Almeda,"9839","2009","03","16",South America,Brazil,São Paulo,São José do Barreiro,Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.,-44.61657,-22.73318,"1439","1509",sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500322' target='other'> <mi>dwc_moreinfo</mi></a>,NY02098967,NY02098967_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"18",2021-02-11 17:19:42-03,UFPR,UPCB,"84292",PreservedSpecimen,Plantae,NA,NA,Melastomataceae,Leandra,calvescens,Leandra calvescens,(Triana) Cogn.,NA,"Reginato, M.","1436","2013","02","08",NA,Brasil,São Paulo,São José do Barreiro,P. N. da Bocaina,-44.5699996948242,-22.6399993896484,NA,NA,NA,"Arbusto 30 cm. Frutos verdes, pétalas alvas, filetes alvos, anteras amarelas. Em barranco sombreado, Campo de Altitude..",UPCB0013287,UPCB0013287,NA,NA,NA,NA,"30784",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.5699996948242,-22.6399993896484,"20",2018-05-15 10:21:00-03,MO,MOBOT,"101046150",PreservedSpecimen,Plantae,NA,NA,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O. Berg ex Triana) Cogn.,M. Reginato,Marcelo Reginato|J. B. Pereira|Paulo H. Labiak,Reginato 1436,"2013","2","8",South America,Brazil,São Paulo,São José do Barreiro,P.N. da Bocaina.,-44.5699996948242,-22.6399993896484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30784",auto,NA,NA,"1",NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"23",2020-07-10 09:47:22-03,MBML,MBML-HERBARIO,"19746",NA,Plantae,NA,NA,Melastomataceae,Leandra,calvescens,Leandra calvescens,Cogn.,in dupl.: Baumgratz (SP)/2015,"E. L. C. Marzola; et al","150","1994","11","28",NA,Brasil,São Paulo,São Bernardo do Campo,Parque Caminhos do Mar,-46.560001373291,-23.6900005340576,NA,NA,NA,"Arbusto 1,0m alt., botões jovens com calice verde, corola alva, androceu com filetes alvos e anteras amarelas, gineceu alvo.",MBML019746,MBML019746,NA,NA,NA,NA,"31119",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-44.61657,-22.73318,"30",2014-12-02 11:36:26-02,CAS,CAS-BOT,"410700",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O. Berg ex Triana) Cogn.,M. Reginato,"Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9839","2009","3",NA,South America,Brazil,São Paulo,NA,Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.,-44.61657,-22.73318,"1493","1509",NA,Shrub to 3 dm tall. Infructescences pendent. Mature berries bluish purple. Occasional.,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,44.61657° W,22.73318° S,NA,NA,"35",São Paulo,SP,Sudeste
-44.61657,-22.73318,"31",2014-12-02 11:39:20-02,CAS,CAS-BOT,"410692",PreservedSpecimen,Plantae,Magnoliophyta,Myrtales,Melastomataceae,Leandra,calvescens,Leandra calvescens,(O. Berg ex Triana) Cogn.,M. Reginato,"Almeda, F.; Martins, A. B.; Fritsch, P. W.; Aranha Filho, J. L.M.; Bush, C.; Belinello, R.","9832","2009","3",NA,South America,Brazil,São Paulo,NA,Municipio São Jose do Barreiro. Road from São Jose do Barreiro (SP-221) to the entrance of Parque Nacional Serra da Bocaina between Km 24 and Km 27.,-44.61657,-22.73318,"1493","1509",NA,Shrub 0.5 m tall. Mature berries bluish purple. Uncommon.,NA,NA,Magnoliopsida,NA,NA,NA,NA,NA,44.61657° W,22.73318° S,NA,NA,"35",São Paulo,SP,Sudeste
-46.560001373291,-23.6900005340576,"32",2019-11-21 10:09:47-03,IBt,SP,"293866",S,Plantae,NA,NA,Melastomataceae,Leandra,calvescens,Leandra calvescens,(Triana) Cogn.,"Souza, MLD; Baumgratz, JF","Marzola, ELC; Silva, EL; Godoi, JV; Machado, SPM","150","1994","11","28",NA,Brasil,São Paulo,São Bernardo do Campo,"Parque Caminhos do Mar, Estrada velha do Caminho do Mar, próximo Pouso de Paranapiacaba",-46.560001373291,-23.6900005340576,NA,NA,NA,NA,NA,NA,NA,"2005",NA,NA,"31119",auto,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
