X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,phylum,order,recordNumber,continentOcean,preparationType,imagecode,typeStatus,minimumElevationInMeters,maximumElevationInMeters,class,relatedCatalogItem,coordinatePrecision,geoFlag,fieldNumber,individualCount,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.060001373291,-22.8999996185303,"12",2021-03-01 16:38:42-03,UNICAMP,UEC,"53753",S,Plantae,Rhamnaceae,Gouania,corylifolia,Gouania corylifolia,Raddi,"Lima, R","2003","04",NA,"Egler, SG","1989","12","06",Brazil,São Paulo,Campinas,"Joaquim Egidio, beira de estrada.",-47.060001373291,-22.8999996185303,NA,NA,"Liana, flores brancas.; Mata secundária. Solo arenoso.",UEC148782,Magnoliopsida,NA,"22156",NA,NA,UEC148782,NA,NA,NA,NA,NA,"23900",auto,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"53",2015-09-05 12:10:54-03,MNHN,RECOLNAT_MNHN_P,P06788245,PreservedSpecimen,NA,Rhamnaceae,Gouania,petiolaris,Gouania petiolaris,Reissek,NA,NA,NA,NA,Mosén,"1875","6","1",Brasil,São Paulo,Campinas,NA,-47.060001373291,-22.8999996185303,NA,NA,"donné par Mme Simard, sa fille en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06788245' target='other'> <mi>dwc_moreinfo</mi></a>",P06788245,NA,NA,NA,NA,hb,P06788245_01,NA,NA,NA,NA,NA,"23900",auto,"3853",NA,NA,"35",São Paulo,SP,Sudeste
