X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,geoFlag,class,yearIdentified,monthIdentified,dayIdentified,typeStatus,infraspecificEpithet,fieldNumber,verbatimLongitude,verbatimLatitude,individualCount,minimumElevationInMeters,maximumElevationInMeters,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.724373,-23.565521,"3",2021-03-15 16:37:00-03,NY,NYBG,"498501",PreservedSpecimen,Plantae,Magnoliophyta,Escalloniales,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,H. O. Sleumer,F. C. Hoehne,"252","1917","06",NA,South America,Brazil,São Paulo,Sao Paulo,Butantan,-46.724373,-23.565521,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219671' target='other'> <mi>dwc_moreinfo</mi></a>,NY00498501,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"13",2021-03-15 16:37:00-03,NY,NYBG,"498559",PreservedSpecimen,Plantae,Magnoliophyta,Escalloniales,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,NA,O. Handro,"818","1958","10","13",South America,Brazil,São Paulo,Sao Paulo,"Sao paulo, nativa no Jardim Botânico",-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=219670' target='other'> <mi>dwc_moreinfo</mi></a>,NY00498559,NY00498559_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2200012207031,-23.6499996185303,"25",2020-11-04 11:07:12-03,ESALQ,ESA,"87608",PreservedSpecimen,Plantae,Magnoliophyta,NA,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schldl.,"Lima, M.I.R.G.","Cordeiro, I.","1758.0","1998","06","30",NA,Brasil,São Paulo,Ibiuna,NA,-47.2200012207031,-23.6499996185303,NA,NA,ESA087608,ESA087608,"43112",auto,NA,"1999","09","28",NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"27",2020-11-04 11:07:12-03,ESALQ,ESA,"31395",PreservedSpecimen,Plantae,Magnoliophyta,NA,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,"Lima, M.I.R.G.","Hoehne, F.C.",NA,"1917","11","16",NA,Brasil,São Paulo,São Paulo,NA,-46.6300010681152,-23.5400009155273,NA,NA,ESA031395,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.5099983215332,-22.1299991607666,"29",2021-01-14 15:33:34-03,MN,R,"8841",PreservedSpecimen,Plantae,NA,NA,Saxifragaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,NA,"Glaziou, A.F.M.",8248 a,"1876","01","05",NA,Brasil,São Paulo,Bocaina,NA,-48.5099983215332,-22.1299991607666,NA,Plantas do Brasil Central,R000008841,R000008841_001,"18396",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7400016784668,-23.3600006103516,"48",2019-08-20 10:11:04-03,UNICAMP,UEC,"192822",S,Plantae,Magnoliopsida,NA,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla canescens,A.St.-Hil. ex Engl.,"Hoehne, W","Hoehne, W",s.n.,"1945","10","29",NA,Brazil,São Paulo,Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,UEC129927,UEC129927,"9448",auto,NA,NA,NA,NA,NA,canescens,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7400016784668,-23.3600006103516,"55",2019-08-16 08:39:13-03,UTFPR,HCF,"26277",S,Plantae,NA,NA,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,W. Hoehne,W. Hoehne,NA,"1945","10","29",NA,Brasil,SP,Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,NA,NA,"9448",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.0499992370605,-23.5900001525879,"80",2015-09-04 04:54:42-03,MNHN,RECOLNAT_MNHN_P,P02529197,PreservedSpecimen,NA,NA,NA,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,NA,"Loefgren, A.",NA,"1987","11","15",NA,Brasil,São Paulo,Itapetininga,NA,-48.0499992370605,-23.5900001525879,hb,<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02529197' target='other'> <mi>dwc_moreinfo</mi></a>,P02529197,P02529197_01,"40712",auto,NA,NA,NA,NA,NA,NA,"383",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.2200012207031,-23.6499996185303,"87",2010-08-26 08:25:00-03,MO,MOBOT,"100299557",PreservedSpecimen,Plantae,NA,NA,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla,Cham. & Schltdl.,F. Zapata (MO),I. Cordeiro,Cordeiro 1758,"1998","6","30",South America,Brazil,São Paulo,Ibiúna,"Proximidades da Rodovia SP-250, km 63, às margens da rua Caeiras, campo alterado com cobertura de gramíneas, entremeado de Eringeum.",-47.2200012207031,-23.6499996185303,NA,NA,NA,NA,"43112",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,"35",São Paulo,SP,Sudeste
-46.7400016784668,-23.3600006103516,"92",2020-08-31 08:55:06-03,INPA,INPA,"281989",S,Plantae,Dicotyledon Asterids,Escalloniales,Escalloniaceae,Escallonia,chlorophylla,Escallonia chlorophylla canescens,A.St.-Hil. ex Engl.,"Hoehne, W","Hoehne, W",s.n.,"1945","10","29",Southern America,Brasil,São Paulo,Caieiras,NA,-46.7400016784668,-23.3600006103516,NA,NA,INPA0281989,NA,"9448",auto,NA,NA,NA,NA,NA,canescens,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
