X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,barcode,imagecode,yearIdentified,monthIdentified,dayIdentified,locality,recordNumber,minimumElevationInMeters,maximumElevationInMeters,occurrenceRemarks,continentOcean,preparationType,previousCatalogNumber,phylum,order,coordinatePrecision,geoFlag,infraspecificEpithet,class,relatedCatalogItem,relationshipType,typeStatus,individualCount,fieldNumber,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-49.27,-24.13,"14",2021-03-15 16:37:00-03,NY,NYBG,"561605",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,NA,L. B. Smith,"1965","01","18",Brazil,Paraná,Jaguariaíva,-49.27,-24.13,NA,NA,NY00561605,NY00561605_01,NA,NA,NA,"Barra do Rio das Mortes, Rio Jaguariaiva","14762","810","810",<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86358' target='other'> <mi>dwc_moreinfo</mi></a>,South America,sheet,NA,Magnoliophyta,Myrtales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.511111,-22.8375,"45",2021-02-08 11:09:32-03,UNESP-IBB,BOTU,"27308",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,"Santos, L. B.","Santos, L.B.","2009","10","13",Brasil,São Paulo,Botucatu,-46.511111,-22.8375,46°30'40w,22°50'15s,BOTU027308,NA,"2010","08",NA,NA,"394",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-49.1399993896484,-24.3099994659424,"63",2021-03-30 12:45:44-03,EAO,IAN,"183302",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,"Santos, MF","Souza, VC; Sakuragui, CM; Souza, JP","1995","08","19",Brasil,São Paulo,Bom Sucesso de Itararé,-49.1399993896484,-24.3099994659424,NA,NA,IAN183302,NA,"2012","06","27",Estrada entre Bom Sucesso de Itararé e Lageadinho. Ca. 5-10Km de Bom Sucesso de Itararé. Beira da mata.,"8892",NA,NA,"Arbusto, ca. 2m de altura; frutos imaturos verdes.",Southern America,NA,NA,Dicotiledônea,NA,"14955",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.9000015258789,-21.1800003051758,"64",2021-03-30 12:45:44-03,EAO,IAN,"55335",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,widgreniana,Calyptranthes widgreniana,Berg,"Sobral, M","Mendes, OT","1938","11","09",Brasil,São Paulo,Pindorama,-48.9000015258789,-21.1800003051758,NA,NA,IAN055335,NA,"2015",NA,NA,NA,"4654",NA,NA,Árvore.,Southern America,NA,NA,Dicotiledônea,NA,"14884",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"65",2020-01-20 14:40:42-03,UPM,MACK,"2078",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,F. F. Mazine,A. Buccaran,"2011","07","05",Brasil,SP,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,NA,A165,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"66",2020-01-20 14:40:42-03,UPM,MACK,"3332",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,NA,A. Buccaran,"2011","07","05",Brasil,SP,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,"HMACK00003332-A.Buccaran165-5/7/2011,ColôniadeFériasMackenzie-Umuarama,CamposdoJordão,SP,Brasil",NA,NA,NA,NA,Colônia de Férias Mackenzie - Umuarama,"165",NA,NA,Trilha das Samambaias,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"67",2020-01-20 14:40:42-03,UPM,MACK,"2017",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,O. T. Aguiar,M. Fascina,"2011","05","07",Brasil,SP,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,"Colônia Umuarama, floresta ombrófila mista.",A137,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"68",2020-01-20 14:40:42-03,UPM,MACK,"2005",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,O. T. Aguiar,M. Fascina,"2011","04","05",Brasil,SP,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,"Colônia Umuarama, floresta ombrófila mista.",A164,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"69",2020-01-20 14:40:42-03,UPM,MACK,"2003",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,O. T. Aguiar,M. Fascina,"2011","03","26",Brasil,SP,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,"Colônia Umuarama, floresta ombrófila mista.",A6,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"70",2020-01-20 14:40:42-03,UPM,MACK,"2004",PreservedSpecimen,Plantae,Myrtaceae,Calyptranthes,concinna,Calyptranthes concinna,DC.,O. T. Aguiar,M. Fascina,"2011","07","06",Brasil,SP,Campos do Jordão,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,NA,NA,NA,"Colônia Umuarama, floresta ombrófila mista.",A241,NA,NA,NA,NA,NA,NA,NA,NA,"21048",auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
