X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,recordNumber,year,month,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,coordinatePrecision,occurrenceRemarks,barcode,geoFlag,phylum,infraspecificEpithet,continentOcean,imagecode,day,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,order,preparationType,typeStatus,fieldNumber,individualCount,class,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.3499984741211,-23.7700004577637,"49",2021-03-04 15:44:35-03,IF,SPSF,"51849",PreservedSpecimen,Plantae,Euphorbiaceae,Algernonia,brasiliensis,Algernonia brasiliensis,Baill.,I.Cordeiro,NA,NA,NA,A.G. Aguirre & J. Teixeira,"16","2014","02",Brasil,SP,Ilhabela,Sul da ilha,-45.3499984741211,-23.7700004577637,"23719","COLETA: Árvore 5m, com látex, flor de coloração branca.; GEOGRAFIA: Floresta ombrófila densa;",NA,auto,Magnoliophyta,NA,América do Sul,NA,"15",NA,NA,NA,NA,Malpighiales,NA,NA,NA,NA,Magnoliopsida,NA,"35",São Paulo,SP,Sudeste
-46.7799987792969,-24.1800003051758,"58",2021-02-04 09:01:43-03,IBt,SP,"296923",S,Plantae,Euphorbiaceae,Algernonia,brasiliensis,Algernonia brasiliensis,Baill.,"Cordeiro, I","2011","03",NA,"Souza, VC; Souza, JP; Ivanauskas, NM; Duarte, AR; Eterovic, A; Marques, OAV","11087","1996","04",Brasil,São Paulo,Itanhaém,Ilha da Queimada Grande,-46.7799987792969,-24.1800003051758,"26998",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7799987792969,-24.1800003051758,"59",2019-11-21 10:03:53-03,IBt,SP,"4576",S,Plantae,Euphorbiaceae,Algernonia,brasiliensis,Algernonia brasiliensis,Baill.,"Croizat, L","1940",NA,NA,"Gehrt, A",s.n.,"1920","11",Brasil,São Paulo,Itanhaém,Ilha da Queimada Grande,-46.7799987792969,-24.1800003051758,"26998",NA,NA,auto,NA,NA,NA,NA,"07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
