X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,verbatimLongitude,verbatimLatitude,yearIdentified,coordinatePrecision,geoFlag,monthIdentified,dayIdentified,class,relatedCatalogItem,fieldNumber,individualCount,typeStatus,sex,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-48.590278,-24.580556,"18",2021-01-06 11:41:55-03,UFPI-MRV,HDELTA,"5816",PreservedSpecimen,Plantae,NA,NA,Araceae,Rhodospatha,oblongata,Rhodospatha oblongata,Poepp.,"Bonafé, F.","Bonafé, F. ; Bernardo, Selmo",NA,NA,NA,NA,NA,Brasil,São Paulo,Iporanga,NA,-48.590278,-24.580556,NA,NA,HDELTA005816,NA,NA,NA,"48°35'25,00''W","24°34'50,00''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.1275,-23.42,"45",2021-03-01 16:19:01-03,UNICAMP,UEC,"68171",S,Plantae,Liliopsida,NA,Araceae,Rhodospatha,oblongata,Rhodospatha oblongata,Poepp. & Endl.,"Gonçalves, EG","Goldenberg, R; et al.","29848","1993","11","12",NA,Brazil,São Paulo,Ubatuba,"Estação Experimental do Instituto Agronômico, Trilha da Sucem.",-45.1275,-23.42,NA,"Epífita. Inflorescência creme.; Mata de encosta.",UEC054646,UEC054646,NA,NA,"-45.1275","-23.42","2000",NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
