X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,locality,preparationType,occurrenceRemarks,barcode,imagecode,identifiedBy,yearIdentified,monthIdentified,dayIdentified,county,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.8400001525879,-23.7099990844727,"14",2019-11-21 09:59:50-03,IBt,SP,"35296",S,Plantae,NA,NA,Asteraceae,Austroeupatorium,rosmarinaceum,Austroeupatorium rosmarinaceum,(Cabrera & Vittet) R.M.King & H.Rob.,s.col.,s.n.,"1936","05","06",NA,Brasil,São Paulo,NA,NA,NA,SP031158,SP031158,"King, RM; Robinson, HE","1987",NA,NA,Itapecerica da Serra,-46.8400001525879,-23.7099990844727,NA,NA,NA,NA,"12011",auto,"35",São Paulo,SP,Sudeste
-46.5499992370605,-23.6200008392334,"15",2020-11-19 09:28:47-03,IBt,SP,"6152",S,Plantae,NA,NA,Asteraceae,Austroeupatorium,rosmarinaceum,Austroeupatorium rosmarinaceum,(Cabrera & Vittet) R.M.King & H.Rob.,"Brade, AC","7151","1914","03","28",NA,Brasil,São Paulo,NA,NA,NA,NA,NA,"Esteves, RL","2007","06",NA,São Caetano do Sul,-46.5499992370605,-23.6200008392334,NA,NA,NA,NA,"4028",auto,"35",São Paulo,SP,Sudeste
