X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,yearIdentified,monthIdentified,dayIdentified,class,relatedCatalogItem,verbatimLongitude,verbatimLatitude,fieldNumber,typeStatus,individualCount,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.7797,-24.1803,"2",2021-03-15 16:37:00-03,NY,NYBG,"390954",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",E. Pereira,"8162","1964","01","11",South America,Brazil,São Paulo,Itanhaém,"Itanhaem, Suarao",-46.7797,-24.1803,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672585' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390954,NY00390954_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.5497,-24.7003,"3",2021-03-15 16:37:00-03,NY,NYBG,"390964",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",E. L. M. Catharino,"1540","1990","11","22",South America,Brazil,São Paulo,Iguape,"Iquape, proximidades do maciço da Jureia, Estaçao Ecológica Jureia-Itatins, restinga do Rio Verde",-47.5497,-24.7003,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672577' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390964,NY00390964_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.0697,-23.4303,"5",2021-03-15 16:37:00-03,NY,NYBG,"390956",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",O. Handro,"2301","1981","11","02",South America,Brazil,São Paulo,Ubatuba,NA,-45.0697,-23.4303,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672582' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390956,NY00390956_01 NY00390956_02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.621883,-23.654505,"7",2021-03-15 16:37:00-03,NY,NYBG,"00390961",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",W. Hoehne,s.n.,"1944","10","17",South America,Brazil,São Paulo,Sao Paulo,Parque do Estado de Sao Paulo,-46.621883,-23.654505,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672596' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390961,NY00390961_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.4,-24,"10",2021-03-15 16:37:00-03,NY,NYBG,"390960",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",W. Hoehne,NA,"1951","01","21",South America,Brazil,São Paulo,Praia Grande,Mongaguá. Praia Grande,-46.4,-24,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672595' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390960,NY00390960_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.71323,-23.771129,"13",2021-03-15 16:37:00-03,NY,NYBG,"390940",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",P. E. Gibbs,"3514","1976","11","10",South America,Brazil,São Paulo,NA,Sao Sebastiao - Bertioga,-45.71323,-23.771129,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672573' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390940,NY00390940_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.7797,-24.1803,"19",2021-03-15 16:37:00-03,NY,NYBG,"390942",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",E. Pereira,"8162","1964","01","11",South America,Brazil,São Paulo,Itanhaém,"Itanhaem, Suarao",-46.7797,-24.1803,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672574' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390942,NY00390942_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"20",2021-03-15 16:37:00-03,NY,NYBG,"390951",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,R. C. Barneby,M. C. Camara,NA,"1976","12","15",South America,Brazil,São Paulo,Sao Paulo,"Parque Estadual das Fontes do Ipiranga, Jardim Botanico. Area 6",-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672593' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390951,NY00390951_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"23",2021-03-15 16:37:00-03,NY,NYBG,"390955",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,"R. C. Barneby; J. W. Grimes",O. Handro,NA,"1943","03","01",South America,Brazil,São Paulo,Sao Paulo,Jardim Botanico,-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672588' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390955,NY00390955_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.618358,-23.646109,"24",2021-03-15 16:37:00-03,NY,NYBG,"390952",PreservedSpecimen,Plantae,Magnoliophyta,Fabales,Fabaceae,Abarema,brachystachya,Abarema brachystachya,(DC.) Barneby & J.W.Grimes,R. C. Barneby,M. Kirizawa,NA,"1977","05","04",South America,Brazil,São Paulo,Sao Paulo,"Parque Estadual das Fontes do Ipiranga, Jardim Botanico",-46.618358,-23.646109,sheet,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=672592' target='other'> <mi>dwc_moreinfo</mi></a>,NY00390952,NY00390952_01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
