X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,yearIdentified,monthIdentified,dayIdentified,recordedBy,year,month,day,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,verbatimLongitude,verbatimLatitude,occurrenceRemarks,barcode,imagecode,recordNumber,minimumElevationInMeters,maximumElevationInMeters,coordinatePrecision,geoFlag,phylum,order,continentOcean,preparationType,class,individualCount,fieldNumber,infraspecificEpithet,typeStatus,relatedCatalogItem,previousCatalogNumber,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-46.63,-23.5403,"9",2016-09-27 18:15:00-03,NY,NYBG,"656058",PreservedSpecimen,Plantae,Solanaceae,Datura,suaveolens,Datura suaveolens,NA,W. Hoehne,NA,NA,NA,W. Hoehne,"1956","01","20",Brazil,São Paulo,Sao Paulo,Cidade Universitária.,-46.63,-23.5403,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199606' target='other'> <mi>dwc_moreinfo</mi></a>,NY00656058,NY00656058_01,s.n.,NA,NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-48.4397,-22.88,"11",2021-03-15 16:37:00-03,NY,NYBG,"656059",PreservedSpecimen,Plantae,Solanaceae,Datura,suaveolens,Datura suaveolens,Humb. & Bonpl. ex Willd.,M. H. Nee,NA,NA,NA,I. Silberbauer-Gottsberger,"1977","01","08",Brazil,São Paulo,Botucatu,"Rubiao Junior, jardim do Campus Universitário de Botucatu.",-48.4397,-22.88,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=199605' target='other'> <mi>dwc_moreinfo</mi></a>,NY00656059,NY00656059_01,11-8177,NA,NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.9197,-25.0103,"35",2021-03-15 16:37:00-03,NY,NYBG,"687488",PreservedSpecimen,Plantae,Solanaceae,Datura,suaveolens,Datura suaveolens,Humb. & Bonpl. ex Willd.,NA,NA,NA,NA,D. A. de Grande,"1978","11","08",Brazil,São Paulo,Cananéia,"Ilha do Cardoso, margem direita do Rio Cachoeirinha",-47.9197,-25.0103,NA,NA,<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=875920' target='other'> <mi>dwc_moreinfo</mi></a>,NY00687488,NY00687488_01,"166",NA,NA,NA,NA,Magnoliophyta,Solanales,South America,sheet,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.060001373291,-22.8999996185303,"61",2021-03-30 12:49:51-03,EAO,IAN,"37238",PreservedSpecimen,Plantae,Solanaceae,Datura,suaveolens,Datura suaveolens,Humb. & Bonpl. ex Willd.,"Santoro, J",NA,NA,NA,"Barbosa, AM","1947","08","08",Brasil,São Paulo,Campinas,"Herbáceo, R. Barão de Jaguara.",-47.060001373291,-22.8999996185303,NA,NA,NA,IAN037238,IAN037238 IAN037238_e,"8708",NA,NA,"23900",auto,Dicotiledônea,NA,Southern America,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.6399993896484,-22.7199993133545,"64",2020-01-20 14:40:51-03,UPM,MACK,"962",PreservedSpecimen,Plantae,Solanaceae,Brugmansia,suaveolens,Brugmansia suaveolens,(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,L. L. Giacomin,"2009","08",NA,C. Audi,"1995","11","20",Brasil,SP,Piracicaba,NA,-47.6399993896484,-22.7199993133545,NA,NA,NA,NA,NA,"5",NA,NA,"44778",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"65",2020-01-20 14:40:51-03,UPM,MACK,"716",PreservedSpecimen,Plantae,Solanaceae,Brugmansia,suaveolens,Brugmansia suaveolens,(Humb. & Bonpl. ex Willd.) Bercht. & J.Presl,G. M. P. Ferreira,"2008","10","20",J. L. Vidigal,"2008","10","20",Brasil,SP,São Paulo,"Vila Prudente, r. São Cirilo",-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,s/n,NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"66",2020-01-20 14:40:51-03,UPM,MACK,"2490",PreservedSpecimen,Plantae,Solanaceae,Brugmansia,suaveolens,Brugmansia suaveolens,(Willd.) Bercht & Presl,R. J. F. Garcia,"2011","12","01",P. C. Lapini,"2009","05","19",Brasil,SP,São Paulo,Viveiro Manequinho Lopes - Quadra das medicinais,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,"58",NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"67",2020-01-20 14:40:51-03,UPM,MACK,"2482",PreservedSpecimen,Plantae,Solanaceae,Brugmansia,suaveolens,Brugmansia suaveolens,(Willd.) Bercht & Presl,F. S. Siqueira,"2009","10","09",P. C. Lapini,"2009","05","19",Brasil,SP,São Paulo,Viveiro Manequinho Lopes - Quadra das medicinais,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,"58",NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"68",2020-01-20 14:40:51-03,UPM,MACK,"2486",PreservedSpecimen,Plantae,Solanaceae,Brugmansia,suaveolens,Brugmansia suaveolens,(Willd.) Bercht & Presl,B. F. Mellado,"2012","03","02",P. C. Lapini,"2009","05","19",Brasil,SP,São Paulo,Viveiro Manequinho Lopes - Quadra das medicinais,-46.6300010681152,-23.5400009155273,NA,NA,NA,NA,NA,"58",NA,NA,"53584",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9900016784668,-22.9699993133545,"69",2020-01-20 14:40:51-03,UPM,MACK,"717",PreservedSpecimen,Plantae,Solanaceae,Datura,suaveolens,Datura suaveolens,Humb. & Bonpl. ex Willd.,J. M. Raduan,"2006","10","27",J. M. Raduan,"2006","09","17",Brasil,SP,Valinhos,NA,-46.9900016784668,-22.9699993133545,NA,NA,NA,NA,NA,"2",NA,NA,"12075",auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
