X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,order,family,genus,specificEpithet,scientificName,scientificNameAuthorship,identifiedBy,recordedBy,recordNumber,year,month,day,continentOcean,country,stateProvince,county,locality,decimalLongitude,decimalLatitude,preparationType,occurrenceRemarks,barcode,imagecode,coordinatePrecision,minimumElevationInMeters,maximumElevationInMeters,geoFlag,yearIdentified,class,monthIdentified,dayIdentified,verbatimLongitude,verbatimLatitude,fieldNumber,individualCount,typeStatus,infraspecificEpithet,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-45.5900001525879,-22.7299995422363,"16",2021-01-14 15:19:08-03,MN,R,"120150",PreservedSpecimen,Plantae,NA,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart.,NA,"Lutz, A. 1604; Lutz, B.M.J.",NA,"1921","02","12",NA,Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"21048",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"17",2021-01-14 15:19:08-03,MN,R,"50325",PreservedSpecimen,Plantae,NA,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart.,NA,"Lutz, B.M.J.",NA,"1921","02","12",NA,Brasil,São Paulo,Campos do Jordão,NA,-45.5900001525879,-22.7299995422363,NA,NA,NA,NA,"21048",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.55,-22.566667,"23",2019-08-20 09:58:52-03,UNICAMP,UEC,"59618",S,Plantae,Liliopsida,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart.,"Assis, MC","Buzato, S; Sazima, M","28015","1993","01","28",NA,Brazil,São Paulo,Campos do Jordão,Horto Florestal de Campos do Jordão,-47.55,-22.566667,NA,"flor, Herbácea 1m de altura, flores amarelo-alaranjadas de bordo avermelhado.",UEC090521,UEC090521,NA,NA,NA,NA,"1994",NA,NA,NA,"-47.55","-22.566667",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.55,-22.566667,"29",2019-08-20 09:58:52-03,UNICAMP,UEC,"86581",S,Plantae,Liliopsida,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart.,"Assis, MC","Sazima, M; Sazima, I","35328","1995","02","02",NA,Brazil,São Paulo,Campos do Jordão,Parque Estadual de Campos do Jordão,-47.55,-22.566667,NA,"flor, Erva ca. 60cm, flores alaranjadas com manchas acastanhadas.",UEC090522,UEC090522,NA,NA,NA,NA,"2001",NA,"09",NA,"-47.55","-22.566667",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-47.55,-22.566667,"30",2019-08-20 09:58:52-03,UNICAMP,UEC,"86534",S,Plantae,Liliopsida,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart.,"Assis, MC","Sazima, M; Sazima, I","32317","1995","02","02",NA,Brazil,São Paulo,Campos do Jordão,Parque Estadual de Campos do Jordão,-47.55,-22.566667,NA,"flor, Erva, ca. 60cm, flores alaranjadas com manchas acastanhadas.",UEC090519,UEC090519,NA,NA,NA,NA,"2001",NA,"09",NA,"-47.55","-22.566667",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-45.5900001525879,-22.7299995422363,"47",2020-12-21 16:11:18-03,MBM,MBM,"60173",PreservedSpecimen,Plantae,NA,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart. ex Schult & Schult f.,"Assis, M.C.","Occhioni, P.","8058","1977","01","17",Southern America,Brazil,São Paulo,Campos do Jordão,Pico Itapeva,-45.5900001525879,-22.7299995422363,NA,NA,MBM060173,MBM060173,"21048",NA,NA,auto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6828,-22.1158,"92",2019-01-25 15:33:22-02,IAC,IAC,"36309",S,Plantae,NA,NA,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Mart. ex Schult. & Schult.f.,J.M. Veauvy,J.M. Veauvy,"815","1995","04","10",NA,Brasil,São Paulo,Espírito Santo do Pinhal,NA,-46.6828,-22.1158,NA,No. Introd. I-17454,NA,NA,NA,NA,NA,NA,"1995",NA,"04","10","-46.6828","-22.1158",NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.824167,-24.041111,"97",2021-03-04 15:42:02-03,IF,SPSF,"29276",PreservedSpecimen,Plantae,Magnoliophyta,Liliales,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Kunth,W.Thomas,G.O.Romão & C.Herrerias & M.Pereira Neto & P.Zevallos & R.R.Rodrigues & V.C.Souza & J.Y.Tamashiro & S.Gandolfi & A.A.Oliveira & J.P.Souza & N.M.Ivanauskas & A.G.Nave & E.Furlan,"692","2001","04","17",América do Sul,Brasil,SP,Itanhaém,"Parque Estadual da Serra do Mar, Núcleo Curucutu",-46.824167,-24.041111,NA,"COLETA: Erva.; GEOGRAFIA: Entorno do Vale dos Rios Mambu e dos Macacos.&nf;Floresta Ombrófila Densa Baixomontana e Montana.;",NA,NA,NA,"180","180",NA,"2014",Liliopsida,"02","13",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.5299987792969,-23.6599998474121,"98",2021-03-04 15:42:02-03,IF,SPSF,"06118",PreservedSpecimen,Plantae,Magnoliophyta,Liliales,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Kunth,W.Thomas,J.R.Guillaumon,"11","1980","07","30",América do Sul,Brasil,SP,Santo André,Paranapiacaba,-46.5299987792969,-23.6599998474121,NA,"GEOGRAFIA: Alto da Serra, próximo da estação ferroviária.;",NA,NA,"27258",NA,NA,auto,"2014",Liliopsida,"02","13",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.6300010681152,-23.5400009155273,"99",2021-03-04 15:42:02-03,IF,SPSF,"46929",PreservedSpecimen,Plantae,Magnoliophyta,Liliales,Alstroemeriaceae,Alstroemeria,foliosa,Alstroemeria foliosa,Kunth,S.Honda,N.S.Chukr,"568","1997","05","14",América do Sul,Brasil,SP,São Paulo,Parque Estadual da Serra do Mar - Núcleo Curucutu,-46.6300010681152,-23.5400009155273,NA,"COLETA: Erva rizomatosa. Espiguetas pardas.; GEOGRAFIA: Trilha do Mirante. Mata Nebular.;",NA,NA,"53584",NA,NA,auto,"2010",Liliopsida,"12","30",NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
