X,Y,record_id,modified,institutionCode,collectionCode,catalogNumber,basisOfRecord,kingdom,phylum,family,genus,specificEpithet,scientificName,identifiedBy,yearIdentified,recordedBy,recordNumber,year,month,day,country,stateProvince,county,decimalLongitude,decimalLatitude,coordinatePrecision,barcode,imagecode,geoFlag,scientificNameAuthorship,locality,occurrenceRemarks,continentOcean,class,order,monthIdentified,dayIdentified,CD_UF,NM_UF,SIGLA_UF,NM_REGIAO
-47.060001373291,-22.8999996185303,"1",2020-11-04 11:06:26-03,ESALQ,ESA,"111067",PreservedSpecimen,Plantae,Magnoliophyta,Elaeocarpaceae,Sloanea,petalata,Sloanea petalata,"Sampaio, D.","2009","Leitão Filho, H.F.","12087.0","1980","12","12",Brasil,São Paulo,campinas,-47.060001373291,-22.8999996185303,"23900",ESA111067,ESA111067,auto,NA,NA,NA,NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9421997070312,-22.372200012207,"2",2021-03-01 16:29:00-03,UNICAMP,UEC,"4105",S,Plantae,Magnoliopsida,Elaeocarpaceae,Sloanea,petalata,Sloanea petalata,"Sampaio, D; Souza, VC","2009","Gibbs, PE; Leitão Filho, HF","3553","1976","11","16",Brazil,São Paulo,Mogi Guaçu,-46.9421997070312,-22.372200012207,"39309",UEC060394,UEC060394,auto,D.Sampaio,"Estação experimental de Mogi Guaçu, 25 Km. NW de Mogi-Guaçu. Fazenda Campininha).","Árvore até 15 m., flores vinosas internamente, calice esverdeado, anteras amareladas, apiculadas.",NA,NA,NA,NA,NA,"35",São Paulo,SP,Sudeste
-46.9421997070312,-22.372200012207,"5",2020-06-22 14:18:58-03,UNESP-IBILCE,SJRP,"34111",PreservedSpecimen,Plantae,Tracheophyta,Elaeocarpaceae,Sloanea,petalata,Sloanea petalata,"Sampaio, D.","2015","Sampaio, D.","1801.0","2007","08","13",Brasil,São Paulo,Mogi Guaçu,-46.9421997070312,-22.372200012207,"39309",NA,NA,auto,D.Sampaio e V.C.Souza,Posto Varanda,Com,America do Sul,Magnoliopsida,Oxalidales,"05","11","35",São Paulo,SP,Sudeste
